Follower Athlete ID,Follow Status,Created At
69393,Accepted,"Jun 15, 2013, 6:23:37 PM"
2354170,Accepted,"Jun 15, 2013, 6:28:46 PM"
2109261,Accepted,"Jun 24, 2013, 12:38:05 PM"
2423795,Accepted,"Jun 26, 2013, 10:42:05 AM"
4418889,Accepted,"Apr 10, 2014, 5:48:41 PM"
2852303,Accepted,"May 1, 2014, 12:46:04 AM"
1670010,Accepted,"May 1, 2014, 12:47:16 AM"
2785184,Accepted,"May 1, 2014, 9:02:29 AM"
3612776,Accepted,"May 26, 2014, 8:19:57 PM"
5154860,Accepted,"Jun 10, 2014, 4:48:46 PM"
2427833,Accepted,"Jul 3, 2014, 10:27:15 PM"
2836633,Accepted,"Jul 3, 2014, 11:42:22 PM"
6035901,Accepted,"Sep 12, 2014, 8:53:00 AM"
2754616,Accepted,"Apr 5, 2015, 6:05:09 PM"
9208643,Accepted,"May 16, 2015, 8:37:09 AM"
7868656,Accepted,"Jun 8, 2015, 3:06:44 AM"
2428199,Accepted,"Jun 9, 2015, 11:13:21 AM"
10230285,Accepted,"Jul 13, 2015, 6:37:24 PM"
4694329,Accepted,"Jul 18, 2015, 10:10:38 AM"
5675264,Accepted,"Aug 4, 2015, 9:47:20 AM"
9220317,Accepted,"Sep 2, 2015, 7:48:42 AM"
13100337,Accepted,"Jan 31, 2016, 2:22:23 PM"
7924528,Accepted,"Mar 31, 2016, 1:54:03 PM"
2133552,Accepted,"Apr 18, 2016, 2:03:52 PM"
4582437,Accepted,"May 21, 2016, 1:33:07 PM"
6886832,Accepted,"Jun 1, 2016, 4:13:51 PM"
8476773,Accepted,"Jun 1, 2016, 4:41:07 PM"
14334364,Accepted,"Jun 24, 2016, 7:47:58 AM"
16273544,Accepted,"Jul 11, 2016, 5:03:54 PM"
2660055,Accepted,"Aug 13, 2016, 3:14:33 PM"
9384708,Accepted,"Aug 19, 2016, 12:28:27 AM"
14878333,Accepted,"Sep 16, 2016, 12:49:57 PM"
10724748,Accepted,"Jan 22, 2017, 1:43:09 PM"
10512761,Accepted,"Feb 15, 2017, 9:36:15 AM"
20714016,Accepted,"Mar 26, 2017, 2:38:53 PM"
21387962,Accepted,"Apr 22, 2017, 6:17:00 PM"
9185160,Accepted,"Apr 30, 2017, 5:01:01 AM"
1326254,Accepted,"Jun 19, 2017, 7:56:59 AM"
16860973,Accepted,"Jun 21, 2017, 10:54:52 AM"
3440222,Accepted,"Jun 23, 2017, 11:44:00 AM"
10115386,Accepted,"Jul 7, 2017, 9:00:33 PM"
8985541,Accepted,"Jul 8, 2017, 8:30:21 PM"
5969436,Accepted,"Jul 23, 2017, 10:16:52 AM"
15826121,Accepted,"Aug 8, 2017, 2:23:03 PM"
6450441,Accepted,"Sep 13, 2017, 7:47:05 AM"
25859029,Accepted,"Oct 24, 2017, 5:36:08 AM"
16285323,Accepted,"Dec 7, 2017, 5:12:52 PM"
27436794,Accepted,"Jan 17, 2018, 10:25:31 AM"
3138888,Accepted,"Mar 31, 2018, 5:56:26 PM"
25047684,Accepted,"Apr 23, 2018, 2:59:24 AM"
19642331,Accepted,"May 1, 2018, 7:17:23 PM"
23484232,Accepted,"May 10, 2018, 3:30:26 PM"
2848850,Accepted,"Jun 22, 2018, 12:14:34 PM"
5650881,Accepted,"Jul 16, 2018, 4:35:07 AM"
32908572,Accepted,"Jul 20, 2018, 7:40:16 PM"
32883711,Accepted,"Sep 3, 2018, 5:41:14 PM"
499807,Accepted,"Nov 23, 2018, 9:23:27 PM"
23402903,Accepted,"Jan 22, 2019, 7:37:52 PM"
9435879,Accepted,"Jan 31, 2019, 8:51:17 PM"
22400577,Accepted,"May 28, 2019, 5:40:25 PM"
9027050,Accepted,"Jun 6, 2019, 8:45:59 PM"
4671921,Accepted,"Jun 10, 2019, 5:47:01 PM"
43369351,Accepted,"Jun 28, 2019, 9:34:09 PM"
10399971,Accepted,"Sep 8, 2019, 12:36:22 PM"
32075261,Accepted,"May 11, 2020, 5:55:36 PM"
23859590,Accepted,"May 17, 2020, 12:31:12 PM"
49423583,Accepted,"Jul 17, 2020, 6:52:15 AM"
34201224,Accepted,"Jul 28, 2020, 10:17:39 PM"
69535737,Accepted,"Oct 1, 2020, 3:14:08 PM"
427961,Accepted,"Jan 16, 2021, 12:04:54 PM"
