date,activity_type,date,favorite,title,distance,calories,time,avg_hr,max_hr,avg_run_cadence,max_run_cadence,avg_speed,max_speed,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_bike_cadence,max_bike_cadence,training_stress_scoreâ,grit,flow,total_strokes,total_reps,total_sets,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,athlete_id,filetype,is_race,avg_pace,best_pace
2021-01-25 18:38:24,Indoor Cycling,2021-01-25 18:38:24,False,Indoor Cycling,0,325,0:45:01,132,160,0,0,0,0,0,0,0.0,0,0,60,116,0,0,0,2745,0,0,1:21:01,0:00,0,0:00,No,45:01.39,1,0,10,garmin,0,00:00:00,00:00:00
2021-01-22 18:45:36,Yoga,2021-01-22 18:45:36,False,Yoga,0,54,0:30:01,74,119,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1:6:01:00.000,0:00,0,0:00,No,30:00.76,1,0,10,garmin,0,00:00:00,00:00:00
2021-01-22 18:03:29,Running,2021-01-22 18:03:29,False,Longview Running,3.01,311,0:32:18,162,182,167,180,10:45,9:01,102,125,0.9,0,0,0,0,0,0,0,0,0,0,1:8:18:00.000,0:00,0,0:00,No,00:03.99,4,0,10,garmin,0,0 days 00:10:45,0 days 00:10:45
2021-01-20 17:33:28,Treadmill Running,2021-01-20 17:33:28,False,Treadmill Running,2.67,305,0:30:01,167,179,148,173,11:14,8:46,0,0,0.97,0,0,0,0,0,0,0,0,0,0,1:6:01:00.000,0:00,0,0:00,No,07:43.89,3,0,10,garmin,0,0 days 00:11:14,0 days 00:11:14
2021-01-19 12:36:37,Strength Training,2021-01-19 12:36:37,False,Strength,0,44,0:10:00,104,112,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,5,1,10:00,0:00,0,0:00,No,10:00.37,1,0,10,garmin,0,00:00:00,00:00:00
2021-01-19 12:03:56,Indoor Cycling,2021-01-19 12:03:56,False,Indoor Cycling,0,197,0:30:00,126,163,0,0,0,0,0,0,0.0,0,0,59,94,0,0,0,1798,0,0,1:6,0:00,0,0:00,No,30:00.43,1,0,10,garmin,0,00:00:00,00:00:00
2021-01-18 12:21:23,Strength Training,2021-01-18 12:21:23,False,Strength,0,116,0:15:01,134,171,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,6,1,15:01,0:00,0,0:00,No,15:00.66,1,0,10,garmin,0,00:00:00,00:00:00
2021-01-18 12:00:48,Running,2021-01-18 12:00:48,False,Longview Running,1.5,150,0:16:11,154,177,167,175,10:48,9:25,59,52,0.9,0,0,0,0,0,0,0,0,0,0,16:11,0:00,0,0:00,No,05:24.65,2,0,10,garmin,0,0 days 00:10:48,0 days 00:10:48
2021-01-14 18:29:55,Strength Training,2021-01-14 18:29:55,False,Strength,0,37,0:10:03,95,103,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,5,1,10:03,0:00,0,0:00,No,10:03.45,1,0,10,garmin,0,00:00:00,00:00:00
2021-01-14 17:56:52,Indoor Cycling,2021-01-14 17:56:52,False,Indoor Cycling,0,161,0:30:00,116,151,0,0,0,0,0,0,0.0,0,0,66,106,0,0,0,1978,0,0,1:6,0:00,0,0:00,No,30:00.42,1,0,10,garmin,0,00:00:00,00:00:00
2021-01-13 18:40:36,Treadmill Running,2021-01-13 18:40:36,False,Treadmill Running,1.55,159,0:17:14,153,180,154,173,11:07,6:29,0,0,0.94,0,0,0,0,0,0,0,0,0,0,17:14,0:00,0,0:00,No,06:05.42,2,0,10,garmin,0,0 days 00:11:07,0 days 00:11:07
2021-01-12 19:02:59,Indoor Cycling,2021-01-12 19:02:59,False,Indoor Cycling,0,206,0:30:01,128,157,0,0,0,0,0,0,0.0,0,0,65,105,0,0,0,1953,0,0,1:6:01:00.000,0:00,0,0:00,No,30:00.55,1,0,10,garmin,0,00:00:00,00:00:00
2021-01-11 19:22:45,Strength Training,2021-01-11 19:22:45,False,Strength,0,52,0:10:46,109,159,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,11,1,10:46,0:00,0,0:00,No,10:46.20,1,0,10,garmin,0,00:00:00,00:00:00
2021-01-11 18:39:13,Running,2021-01-11 18:39:13,False,Longview Running,3.01,313,0:33:35,157,175,168,176,11:10,9:51,92,118,0.86,0,0,0,0,0,0,0,0,0,0,1:9:35,0:00,0,0:00,No,00:05.88,4,0,10,garmin,0,0 days 00:11:10,0 days 00:11:10
2021-01-08 17:45:12,Indoor Cycling,2021-01-08 17:45:12,False,Indoor Cycling,0,332,0:40:01,142,168,0,0,0,0,0,0,0.0,0,0,55,101,0,0,0,2233,0,0,1:16:01,0:00,0,0:00,No,40:01.11,1,0,10,garmin,0,00:00:00,00:00:00
2021-01-06 18:07:19,Treadmill Running,2021-01-06 18:07:19,False,Treadmill Running,2.7,286,0:30:00,156,183,150,174,11:06,7:51,0,0,0.97,0,0,0,0,0,0,0,0,0,0,1:6,0:00,0,0:00,No,07:53.70,3,0,10,garmin,0,0 days 00:11:06,0 days 00:11:06
2021-01-05 18:41:16,Strength Training,2021-01-05 18:41:16,False,Strength,0,50,0:10:03,109,149,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,13,1,10:03,0:00,0,0:00,No,10:03.19,1,0,10,garmin,0,00:00:00,00:00:00
2021-01-05 18:08:06,Indoor Cycling,2021-01-05 18:08:06,False,Indoor Cycling,0,243,0:30:01,140,170,0,0,0,0,0,0,0.0,0,0,62,97,0,0,0,1876,0,0,1:6:01:00.000,0:00,0,0:00,No,30:00.69,1,0,10,garmin,0,00:00:00,00:00:00
