,index,date,activity_type,date.1,favorite,title,distance,calories,time,avg_hr,max_hr,avg_run_cadence,max_run_cadence,avg_speed,max_speed,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_bike_cadence,max_bike_cadence,training_stress_scoreâ,grit,flow,total_strokes,total_reps,total_sets,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,athlete_id,filetype,is_race,avg_pace,best_pace,ft_per_mile,intensity,spd_ft_s,spd_mph,GAP_ft_s,GAP_by_intensity
0,2,2021-01-22 18:03:29,Running,2021-01-22 18:03:29,False,Longview Running,3.01,311,0:32:18,162,182,167,180,10:45,9:01,102,125,0.9,0,0,0,0,0,0,0,0,0,0,1:8:18:00.000,0:00,0,0:00,No,00:03.99,4,0,10,garmin,0,0 days 00:10:45,0 days 00:10:45,33.887043189368775,0.8140703517587939,8.186046511627907,5.5813953488372094,8.186215104514801,10.05590620863238
1,7,2021-01-18 12:00:48,Running,2021-01-18 12:00:48,False,Longview Running,1.5,150,0:16:11,154,177,167,175,10:48,9:25,59,52,0.9,0,0,0,0,0,0,0,0,0,0,16:11,0:00,0,0:00,No,05:24.65,2,0,10,garmin,0,0 days 00:10:48,0 days 00:10:48,39.333333333333336,0.7738693467336684,8.148148148148147,5.555555555555555,8.14837423565041,10.529392681132672
2,13,2021-01-11 18:39:13,Running,2021-01-11 18:39:13,False,Longview Running,3.01,313,0:33:35,157,175,168,176,11:10,9:51,92,118,0.86,0,0,0,0,0,0,0,0,0,0,1:9:35,0:00,0,0:00,No,00:05.88,4,0,10,garmin,0,0 days 00:11:10,0 days 00:11:10,30.56478405315615,0.7889447236180904,7.880597014925373,5.373134328358209,7.880729053340969,9.988949564425814
3,18,2021-01-04 12:03:26,Running,2021-01-04 12:03:26,False,Longview Running,2.0,204,0:21:32,158,173,168,176,10:44,9:20,62,36,0.89,0,0,0,0,0,0,0,0,0,0,21:32,0:00,0,0:00,No,00:03.20,3,0,10,garmin,0,0 days 00:10:44,0 days 00:10:44,31.0,0.7939698492462312,8.198757763975156,5.590062111801243,8.19889907298702,10.326461490660867
4,23,2020-12-29 17:58:26,Running,2020-12-29 17:58:26,False,Longview Running,3.12,321,0:35:01,153,171,166,172,11:13,2:27,125,95,0.87,0,0,0,0,0,0,0,0,0,0,1:11:01,0:00,0,0:00,No,01:22.17,4,0,10,garmin,0,0 days 00:11:13,0 days 00:11:13,40.06410256410256,0.7688442211055276,7.845468053491826,5.349182763744428,7.8456939063570195,10.204529982778084
5,26,2020-12-27 16:31:28,Running,2020-12-27 16:31:28,False,Longview Running,1.5,153,0:16:15,156,172,165,178,10:49,9:06,56,59,0.9,0,0,0,0,0,0,0,0,0,0,16:15,0:00,0,0:00,No,05:35.16,2,0,10,garmin,0,0 days 00:10:49,0 days 00:10:49,37.333333333333336,0.7839195979899497,8.135593220338983,5.546995377503852,8.135796586875754,10.378355902488943
6,27,2020-12-26 15:46:21,Running,2020-12-26 15:46:21,False,Longview Running,1.0,98,0:10:39,150,168,166,173,10:36,9:27,36,30,0.91,0,0,0,0,0,0,0,0,0,0,10:39,0:00,0,0:00,No,00:02.44,2,0,10,garmin,0,0 days 00:10:36,0 days 00:10:36,36.0,0.7537688442211056,8.30188679245283,5.660377358490567,8.302079757620183,11.014092478442775
7,33,2020-12-22 19:24:25,Running,2020-12-22 19:24:25,False,Longview Running,1.03,95,0:10:26,151,165,168,185,10:09,1:25,36,36,0.94,0,0,0,0,0,0,0,0,0,0,10:26,0:00,0,0:00,No,00:16.82,2,0,10,garmin,0,0 days 00:10:09,0 days 00:10:09,34.95145631067961,0.7587939698492462,8.669950738916256,5.911330049261084,8.670140691228191,11.426211904333842
8,40,2020-12-17 18:18:14,Running,2020-12-17 18:18:14,False,Longview Running,2.2,222,0:25:01,151,166,167,175,11:23,10:05,75,82,0.85,0,0,0,0,0,0,0,0,0,0,1:1:01,0:00,0,0:00,No,02:15.74,3,0,10,garmin,0,0 days 00:11:23,0 days 00:11:23,34.090909090909086,0.7587939698492462,7.730600292825769,5.27086383601757,7.73076142713333,10.188222013241939
9,47,2020-12-12 15:20:16,Running,2020-12-12 15:20:16,False,Longview Running,2.0,198,0:21:39,153,171,166,173,10:48,9:47,30,43,0.9,0,0,0,0,0,0,0,0,0,0,21:39,0:00,0,0:00,No,00:02.63,3,0,10,garmin,0,0 days 00:10:48,0 days 00:10:48,15.0,0.7688442211055276,8.148148148148147,5.555555555555555,8.14818102897406,10.597960946181948
