,index,date,activity_type,date.1,favorite,title,distance,calories,time,avg_hr,max_hr,aerobic_te,avg_run_cadence,max_run_cadence,avg_pace,best_pace,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_ground_contact_time,avg_gct_balance,avg_run_cadence_1,max_run_cadence_1,normalized_powerâ_npâ,training_stress_scoreâ,max_avg_power_20_min,avg_power,max_power,grit,flow,total_strokes,avg__swolf,avg_stroke_rate,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,avg_resp,min_resp,max_resp,athlete_id,filetype,is_race,ft_per_mile,intensity,spd_ft_s,spd_mph,GAP_ft_s,GAP_by_intensity
0,0,2021-01-31 10:36:00,Running,1/31/2021 10:36,False,Untitled,8.06,717,1:16:50,121,142,2.5,163,175,0 days 00:09:32,0 days 00:07:58,502,417,1.03,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1:16:50,0:00,39.2,0:00,No,00:32.2,9,0,32,14,45,1,garmin,0,62.282878411910666,0.657608695652174,9.23076923076923,6.293706293706294,9.231411418933225,14.037848769286887
1,1,2021-01-29 11:39:00,Running,1/29/2021 11:39,False,Untitled,7.12,637,1:06:18,122,142,2.5,164,176,0 days 00:09:19,0 days 00:07:54,407,341,1.05,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1:06:18,0:00,62.6,0:00,No,01:02.4,8,0,33,23,44,1,garmin,0,57.162921348314605,0.6630434782608695,9.445438282647585,6.440071556350627,9.445991811648685,14.246413879863592
2,2,2021-01-28 11:10:00,Running,1/28/2021 11:10,False,Untitled,6.43,587,1:02:07,120,143,2.4,158,171,0 days 00:09:39,0 days 00:08:11,361,367,1.06,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1:02:07,0:00,62.6,0:00,No,04:13.9,7,0,30,12,42,1,garmin,0,56.143079315707624,0.6521739130434783,9.119170984455957,6.217616580310881,9.119686495175904,13.983519292603052
3,3,2021-01-27 13:24:00,Running,1/27/2021 13:24,False,Untitled,6.39,692,0:59:04,133,150,3.1,162,171,0 days 00:09:15,0 days 00:08:09,404,397,1.07,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59:04:00,0:00,53.6,0:00,No,03:42.5,7,0,31,14,39,1,garmin,0,63.223787167449146,0.7228260869565217,9.513513513513514,6.486486486486487,9.514195520064021,13.162496057832932
4,6,2021-01-24 13:17:00,Running,1/24/2021 13:17,False,Untitled,10.48,943,1:36:55,127,145,3.0,159,170,0 days 00:09:15,0 days 00:07:56,587,548,1.09,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1:36:55,0:00,50.0,0:00,No,04:34.4,11,0,32,15,40,1,garmin,0,56.01145038167939,0.6902173913043478,9.513513513513514,6.486486486486487,9.514048797828911,13.784133691342676
5,10,2021-01-21 13:32:00,Running,1/21/2021 13:32,False,Untitled,6.23,599,0:58:07,127,143,2.7,160,223,0 days 00:09:20,0 days 00:08:06,358,351,1.08,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58:07:00,0:00,50.0,0:00,No,02:08.9,7,0,31,17,40,1,garmin,0,57.46388443017656,0.6902173913043478,9.428571428571427,6.428571428571428,9.429129802529614,13.661101446184638
6,11,2021-01-20 11:27:00,Running,1/20/2021 11:27,False,Untitled,7.2,759,1:08:33,132,145,3.1,158,207,0 days 00:09:31,0 days 00:07:56,413,427,1.07,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1:08:33,0:00,51.8,0:00,No,01:55.3,8,0,31,13,40,1,garmin,0,57.36111111111111,0.717391304347826,9.24693520140105,6.304728546409807,9.247480861591638,12.890427867673193
7,12,2021-01-19 17:41:00,Running,1/19/2021 17:41,False,Untitled,3.2,410,0:28:10,0,0,0.0,0,0,0 days 00:08:48,0 days 00:00:00,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28:10:00,0:00,0.0,0:00,No,28:10.0,1,0,0,0,0,1,garmin,0,0.0,0.0,9.999999999999998,6.8181818181818175,9.999999999999998,inf
8,13,2021-01-19 13:44:00,Running,1/19/2021 13:44,False,Untitled,3.18,379,0:31:16,134,149,2.8,155,169,0 days 00:09:49,0 days 00:08:32,174,112,1.06,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31:16:00,0:00,66.2,0:00,No,01:41.0,4,0,31,19,39,1,garmin,0,54.71698113207547,0.7282608695652174,8.96434634974533,6.112054329371817,8.964827691330672,12.309912650782415
9,14,2021-01-15 15:31:00,Running,1/15/2021 15:31,False,Untitled,8.32,839,1:13:35,136,177,3.4,168,181,0 days 00:08:51,0 days 00:07:33,315,364,1.09,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1:13:35,0:00,48.2,0:00,No,02:46.7,9,0,33,12,45,1,garmin,0,37.86057692307692,0.7391304347826086,9.943502824858758,6.779661016949153,9.943758454042518,13.453320261351642
