date,activity_type,date,favorite,title,distance,calories,time,avg_hr,max_hr,avg_run_cadence,max_run_cadence,avg_pace,best_pace,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,training_stress_score,grit,flow,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,athlete_id,filetype,is_race
2020-05-29 08:43:31,Running,2020-05-29 08:43:31,False,Philadelphia Running,10.15,649,01:29:10,146,180,192,236,0 days 00:08:47,0 days 00:06:22,438,418,0.95,0.0,0.0,0.0,0.0,0.0,1:29:10,0:00,0.0,0:00,No,01:25.39,11,0.0,2,garmin,0
2020-05-28 07:39:57,Running,2020-05-28 07:39:57,False,Philadelphia Running,7.9,592,01:04:58,150,198,196,202,0 days 00:08:14,0 days 00:04:05,106,110,1.0,0.0,0.0,0.0,0.0,0.0,1:04:58,0:00,0.0,0:00,No,07:26.88,8,0.0,2,garmin,0
2020-05-27 08:12:33,Running,2020-05-27 08:12:33,False,Philadelphia Running,8.01,584,01:06:32,148,164,196,204,0 days 00:08:19,0 days 00:06:07,188,206,0.98,0.0,0.0,0.0,0.0,0.0,1:06:32,0:00,0.0,0:00,No,00:03.14,9,0.0,2,garmin,0
2020-05-26 06:45:42,Running,2020-05-26 06:45:42,False,Philadelphia Running,7.2,537,01:00:14,149,167,188,200,0 days 00:08:22,0 days 00:03:55,170,170,1.02,0.0,0.0,0.0,0.0,0.0,1:00:14,0:00,0.0,0:00,No,01:49.06,8,0.0,2,garmin,0
2020-05-25 08:02:30,Running,2020-05-25 08:02:30,False,Philadelphia Running,7.28,513,01:00:11,148,161,194,202,0 days 00:08:16,0 days 00:00:27,130,134,1.0,0.0,0.0,0.0,0.0,0.0,1:00:11,0:00,0.0,0:00,No,02:41.30,8,0.0,2,garmin,0
2020-05-24 08:33:30,Running,2020-05-24 08:33:30,False,Philadelphia Running,7.03,582,00:58:40,160,202,194,200,0 days 00:08:21,0 days 00:03:17,194,198,0.49,0.0,0.0,0.0,0.0,0.0,58:40,0:00,0.0,0:00,No,04:00.73,4,0.0,2,garmin,0
2020-05-23 10:03:16,Running,2020-05-23 10:03:16,False,Philadelphia Running,12.58,920,01:47:38,149,179,192,200,0 days 00:08:33,0 days 00:00:25,586,587,0.94,0.0,0.0,0.0,0.0,0.0,1:47:38,0:00,0.0,0:00,No,00:39.54,13,0.0,2,garmin,0
2020-05-22 17:06:03,Running,2020-05-22 17:06:03,False,Philadelphia Running,5.95,424,00:49:00,150,168,192,202,0 days 00:08:14,0 days 00:01:25,162,143,1.02,0.0,0.0,0.0,0.0,0.0,49:00,0:00,0.0,0:00,No,07:42.03,6,0.0,2,garmin,0
2020-05-21 07:38:53,Running,2020-05-21 07:38:53,False,Philadelphia Running,10.2,866,01:28:31,163,200,196,204,0 days 00:08:41,0 days 00:01:44,198,186,0.95,0.0,0.0,0.0,0.0,0.0,1:28:31,0:00,0.0,0:00,No,01:53.69,11,0.0,2,garmin,0
2020-05-18 17:52:45,Treadmill Running,2020-05-18 17:52:45,False,Treadmill Running,0.01,3,00:00:46.8,100,123,160,182,0 days 00:00:00,0 days 00:09:54,0,0,0.08,0.0,0.0,0.0,0.0,0.0,0:46.8,0:00,0.0,0:00,No,00:00.00,1,0.0,2,garmin,0
2020-05-18 06:36:54,Treadmill Running,2020-05-18 06:36:54,False,Treadmill Running,6.26,481,01:02:37,141,174,178,236,0 days 00:10:00,0 days 00:07:54,0,0,0.9,0.0,0.0,0.0,0.0,0.0,1:02:37,0:00,0.0,0:00,No,02:25.58,7,0.0,2,garmin,0
2020-05-17 08:18:27,Running,2020-05-17 08:18:27,False,Philadelphia Running,9.0,815,01:20:47,166,202,196,202,0 days 00:08:59,0 days 00:05:35,153,158,0.58,0.0,0.0,0.0,0.0,0.0,1:20:47,0:00,0.0,0:00,No,04:15.43,6,0.0,2,garmin,0
2020-05-16 08:58:40,Running,2020-05-16 08:58:40,False,Philadelphia Running,10.31,508,01:31:28,125,147,192,202,0 days 00:08:52,0 days 00:04:11,221,209,0.94,0.0,0.0,0.0,0.0,0.0,1:31:28,0:00,0.0,0:00,No,03:02.88,11,0.0,2,garmin,0
2020-05-15 07:33:08,Running,2020-05-15 07:33:08,False,Philadelphia Running,7.98,459,01:11:46,133,161,192,200,0 days 00:09:00,0 days 00:02:05,203,197,0.93,0.0,0.0,0.0,0.0,0.0,1:11:46,0:00,0.0,0:00,No,08:37.90,8,0.0,2,garmin,0
2020-05-14 08:02:24,Running,2020-05-14 08:02:24,False,Philadelphia Running,8.27,362,01:16:06,117,144,190,200,0 days 00:09:12,0 days 00:04:20,166,183,0.93,0.0,0.0,0.0,0.0,0.0,1:16:06,0:00,0.0,0:00,No,03:00.27,9,0.0,2,garmin,0
2020-05-13 07:37:02,Running,2020-05-13 07:37:02,False,Philadelphia Running,8.02,377,01:11:55,120,126,194,202,0 days 00:08:58,0 days 00:06:22,160,171,0.93,0.0,0.0,0.0,0.0,0.0,1:11:55,0:00,0.0,0:00,No,00:13.50,9,0.0,2,garmin,0
2020-05-12 07:16:59,Running,2020-05-12 07:16:59,False,Philadelphia Running,7.25,355,01:09:06,119,139,188,198,0 days 00:09:32,0 days 00:03:29,188,188,0.9,0.0,0.0,0.0,0.0,0.0,1:09:06,0:00,0.0,0:00,No,02:39.56,8,0.0,2,garmin,0
2020-05-11 08:33:42,Running,2020-05-11 08:33:42,False,Philadelphia Running,6.0,308,00:57:58,121,144,188,198,0 days 00:09:39,0 days 00:02:46,143,144,0.88,0.0,0.0,0.0,0.0,0.0,57:58,0:00,0.0,0:00,No,00:01.89,7,0.0,2,garmin,0
2020-05-09 06:40:53,Running,2020-05-09 06:40:53,False,Philadelphia Running,50.01,"4,299",08:24:38,169,205,186,234,0 days 00:10:05,0 days 00:02:34,"1,854","1,845",0.86,0.0,0.0,0.0,0.0,0.0,8:24:38,0:00,0.0,0:00,No,00:03.27,51,0.0,2,garmin,0
2020-05-07 07:52:17,Running,2020-05-07 07:52:17,False,Philadelphia Running,3.56,208,00:28:42,131,149,198,214,0 days 00:08:03,0 days 00:01:13,116,120,1.01,0.0,0.0,0.0,0.0,0.0,28:42,0:00,0.0,0:00,No,04:39.97,4,0.0,2,garmin,0
2020-05-06 07:13:07,Running,2020-05-06 07:13:07,False,Philadelphia Running,6.97,401,01:04:02,130,151,194,202,0 days 00:09:11,0 days 00:01:39,174,179,0.9,0.0,0.0,0.0,0.0,0.0,1:04:02,0:00,0.0,0:00,No,08:22.68,7,0.0,2,garmin,0
2020-05-05 07:21:09,Running,2020-05-05 07:21:09,False,Philadelphia Running,7.1,722,01:00:18,188,210,194,202,0 days 00:08:30,0 days 00:00:51,169,175,0.97,0.0,0.0,0.0,0.0,0.0,1:00:18,0:00,0.0,0:00,No,01:01.35,8,0.0,2,garmin,0
2020-05-04 08:32:36,Running,2020-05-04 08:32:36,False,Philadelphia Running,7.04,551,01:01:22,154,200,196,204,0 days 00:08:43,0 days 00:01:28,157,160,0.94,0.0,0.0,0.0,0.0,0.0,1:01:22,0:00,0.0,0:00,No,00:27.69,8,0.0,2,garmin,0
2020-05-03 07:32:35,Running,2020-05-03 07:32:35,False,Philadelphia Running,10.05,818,01:31:30,152,155,188,202,0 days 00:09:06,0 days 00:00:26,252,244,0.94,0.0,0.0,0.0,0.0,0.0,1:31:30,0:00,0.0,0:00,No,00:28.55,11,0.0,2,garmin,0
2020-05-02 08:37:15,Running,2020-05-02 08:37:15,False,Philadelphia Running,7.11,449,01:01:51,135,170,194,204,0 days 00:08:42,0 days 00:01:10,124,126,0.95,0.0,0.0,0.0,0.0,0.0,1:01:51,0:00,0.0,0:00,No,01:16.38,8,0.0,2,garmin,0
2020-05-01 07:57:27,Running,2020-05-01 07:57:27,False,Philadelphia Running,14.85,803,02:12:45,140,161,194,212,0 days 00:08:56,0 days 00:03:47,570,576,0.93,0.0,0.0,0.0,0.0,0.0,2:12:45,0:00,0.0,0:00,No,07:45.87,15,0.0,2,garmin,0
2020-04-29 07:49:35,Running,2020-04-29 07:49:35,False,Philadelphia Running,8.0,663,01:05:57,170,203,196,206,0 days 00:08:14,0 days 00:02:00,154,160,1.0,0.0,0.0,0.0,0.0,0.0,1:05:57,0:00,0.0,0:00,No,00:02.61,9,0.0,2,garmin,0
2020-04-28 07:24:56,Running,2020-04-28 07:24:56,False,Philadelphia Running,7.98,567,01:07:02,152,190,196,202,0 days 00:08:24,0 days 00:00:50,169,172,0.97,0.0,0.0,0.0,0.0,0.0,1:07:02,0:00,0.0,0:00,No,07:47.81,8,0.0,2,garmin,0
2020-04-27 08:01:33,Running,2020-04-27 08:01:33,False,Philadelphia Running,7.99,814,01:07:44,189,195,196,212,0 days 00:08:29,0 days 00:05:29,91,104,0.97,0.0,0.0,0.0,0.0,0.0,1:07:44,0:00,0.0,0:00,No,07:35.15,8,0.0,2,garmin,0
2020-04-26 10:02:50,Running,2020-04-26 10:02:50,False,Philadelphia Running,1.64,344,00:41:32,150,190,148,212,0 days 00:25:24,0 days 00:00:25,31,28,0.43,0.0,0.0,0.0,0.0,0.0,41:32,0:00,0.0,0:00,No,19:10.25,2,0.0,2,garmin,0
2020-04-26 09:51:07,Running,2020-04-26 09:51:07,False,Philadelphia Running,0.06,14,00:01:47.1,134,140,118,118,0 days 00:29:05,0 days 00:06:39,0,0,0.47,0.0,0.0,0.0,0.0,0.0,1:47.1,0:00,0.0,0:00,No,00:00.00,1,0.0,2,garmin,0
2020-04-25 09:09:38,Running,2020-04-25 09:09:38,False,Philadelphia Running,15.24,745,02:13:51,137,164,192,212,0 days 00:08:47,0 days 00:03:15,532,539,0.95,0.0,0.0,0.0,0.0,0.0,2:13:51,0:00,0.0,0:00,No,02:03.75,16,0.0,2,garmin,0
2020-04-23 07:43:31,Running,2020-04-23 07:43:31,False,Philadelphia Running,8.08,660,01:12:25,154,176,192,212,0 days 00:08:58,0 days 00:04:14,165,163,0.93,0.0,0.0,0.0,0.0,0.0,1:12:25,0:00,0.0,0:00,No,01:08.44,9,0.0,2,garmin,0
2020-04-22 07:48:12,Running,2020-04-22 07:48:12,False,Philadelphia Running,8.0,617,01:09:45,150,172,198,204,0 days 00:08:43,0 days 00:00:49,179,179,0.93,0.0,0.0,0.0,0.0,0.0,1:09:45,0:00,0.0,0:00,No,08:10.16,8,0.0,2,garmin,0
2020-04-21 07:54:16,Running,2020-04-21 07:54:16,False,Philadelphia Running,8.02,643,01:08:59,154,184,200,208,0 days 00:08:36,0 days 00:00:57,134,137,0.94,0.0,0.0,0.0,0.0,0.0,1:08:59,0:00,0.0,0:00,No,00:18.89,9,0.0,2,garmin,0
