date,activity_type,date,favorite,title,distance,calories,time,avg_hr,max_hr,aerobic_te,avg_run_cadence,max_run_cadence,avg_pace,best_pace,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_run_cadence_1,max_run_cadence_1,normalized_powerâ_npâ,lr_balance,training_stress_scoreâ,max_avg_power_20_min,avg_power,max_power,grit,flow,total_strokes,avg__swolf,avg_stroke_rate,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,athlete_id,filetype,is_race
2021-02-01 16:57:42,Running,2021-02-01 16:57:42,False,Morton Running,3.29,356,00:24:15,158,177,3.0,170,179,0 days 00:07:22,0 days 00:06:17,18,15,1.29,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,24:15,0:00,0.0,0:00,No,02:11.51,4,0.0,4,garmin,0
2021-01-30 13:31:55,Running,2021-01-30 13:31:55,False,Morton Running,1.88,214,00:20:02,130,144,1.7,166,172,0 days 00:10:39,0 days 00:09:18,20,16,0.91,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,20:02,0:00,0.0,0:00,No,09:22.95,2,0.0,4,garmin,0
2021-01-29 15:54:41,Running,2021-01-29 15:54:41,False,Morton Running,2.91,321,00:24:07,145,154,2.6,169,179,0 days 00:08:16,0 days 00:07:04,40,37,1.15,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,24:07,0:00,0.0,0:00,No,07:27.09,3,0.0,4,garmin,0
2021-01-28 09:43:06,Running,2021-01-28 09:43:06,False,Morton - Fartlek 1H1E x 15,9.00,999,01:08:56,162,177,4.6,170,181,0 days 00:07:39,0 days 00:05:59,60,56,1.23,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,1:08:56,0:00,0.0,0:00,No,01:00.00,44,0.0,4,garmin,0
2021-01-26 16:33:47,Running,2021-01-26 16:33:47,False,Morton Running,3.21,426,00:23:23,0,0,0.0,171,179,0 days 00:07:17,0 days 00:06:37,26,17,1.3,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,23:23,0:00,0.0,0:00,No,01:28.40,4,0.0,4,garmin,0
2021-01-24 10:45:06,Running,2021-01-24 10:45:06,False,Morton Running,2.87,383,00:22:13,0,0,0.0,169,179,0 days 00:07:45,0 days 00:07:01,22,18,1.23,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,22:13,0:00,0.0,0:00,No,06:12.04,3,0.0,4,garmin,0
2021-01-23 14:34:53,Running,2021-01-23 14:34:53,False,Morton Running,6.05,673,00:48:50,154,166,3.5,168,176,0 days 00:08:04,0 days 00:06:55,57,48,1.19,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,48:50,0:00,0.0,0:00,No,00:25.57,7,0.0,4,garmin,0
2021-01-21 12:26:38,Running,2021-01-21 12:26:38,False,Morton - Fartlek ladder,6.95,861,00:57:25,166,182,4.4,168,179,0 days 00:08:16,0 days 00:05:47,53,46,1.16,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,57:25,0:00,0.0,0:00,No,00:30.00,19,0.0,4,garmin,0
2021-01-20 13:59:27,Running,2021-01-20 13:59:27,False,Morton Running,2.16,233,00:21:20,133,147,2.0,167,186,0 days 00:09:54,0 days 00:07:28,20,25,0.98,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,21:20,0:00,0.0,0:00,No,01:25.16,3,0.0,4,garmin,0
2021-01-19 12:03:34,Running,2021-01-19 12:03:34,False,Morton Running,2.26,302,00:21:52,0,0,0.0,168,178,0 days 00:09:40,0 days 00:08:11,23,17,0.99,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,21:52,0:00,0.0,0:00,No,02:29.77,3,0.0,4,garmin,0
2021-01-18 15:45:28,Running,2021-01-18 15:45:28,False,Morton Running,3.59,429,00:31:56,149,164,3.0,169,178,0 days 00:08:54,0 days 00:08:30,28,33,1.07,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,31:56,0:00,0.0,0:00,No,05:18.14,4,0.0,4,garmin,0
2021-01-16 14:50:59,Running,2021-01-16 14:50:59,False,Dunlap Running,5.05,616,00:43:12,155,172,3.5,170,182,0 days 00:08:33,0 days 00:06:25,68,71,1.11,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,43:12,0:00,0.0,0:00,No,00:24.64,6,0.0,4,garmin,0
2021-01-15 07:39:25,Running,2021-01-15 07:39:25,False,Morton Running,2.86,372,00:24:03,160,178,3.2,169,177,0 days 00:08:25,0 days 00:07:45,53,45,1.13,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,24:03,0:00,0.0,0:00,No,07:09.73,3,0.0,4,garmin,0
2021-01-14 09:02:05,Running,2021-01-14 09:02:05,False,Morton Running,7.06,811,00:53:52,160,183,4.0,170,190,0 days 00:07:38,0 days 00:05:40,33,29,1.24,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,53:52,0:00,0.0,0:00,No,02:07.38,15,0.0,4,garmin,0
2021-01-12 07:26:28,Running,2021-01-12 07:26:28,False,Morton Running,3.21,345,00:24:59,148,164,3.0,169,175,0 days 00:07:48,0 days 00:07:18,25,13,1.22,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,24:59,0:00,0.0,0:00,No,01:35.03,4,0.0,4,garmin,0
2021-01-09 15:15:21,Running,2021-01-09 15:15:21,False,Morton Running,5.03,583,00:41:08,152,163,3.4,168,176,0 days 00:08:10,0 days 00:07:47,42,33,1.17,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,41:08,0:00,0.0,0:00,No,00:16.66,6,0.0,4,garmin,0
2021-01-08 08:35:53,Running,2021-01-08 08:35:53,False,Morton Running,4.83,583,00:39:06,158,172,3.7,169,177,0 days 00:08:06,0 days 00:07:32,35,31,1.18,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,39:06,0:00,0.0,0:00,No,06:22.75,5,0.0,4,garmin,0
2021-01-07 07:12:52,Running,2021-01-07 07:12:52,False,Morton Running,4.61,539,00:40:16,145,160,3.1,169,177,0 days 00:08:44,0 days 00:08:04,49,38,1.09,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,40:16,0:00,0.0,0:00,No,05:02.63,5,0.0,4,garmin,0
2021-01-05 13:18:14,Running,2021-01-05 13:18:14,False,Morton Running,4.01,459,00:29:21,164,183,3.7,170,182,0 days 00:07:19,0 days 00:05:53,38,43,1.29,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,29:21,0:00,0.0,0:00,No,00:03.70,5,0.0,4,garmin,0
2021-01-04 12:36:45,Running,2021-01-04 12:36:45,False,Morton Running,2.64,305,00:21:02,152,164,3.0,170,179,0 days 00:07:57,0 days 00:07:27,38,36,1.19,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,21:02,0:00,0.0,0:00,No,04:55.96,3,0.0,4,garmin,0
2021-01-02 09:54:05,Running,2021-01-02 09:54:05,False,Rock Island County Running,3.66,329,02:10:23,0,0,0.0,117,228,0 days 00:35:37,0 days 00:04:09,206,205,0.39,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,2:10:23,0:00,0.0,0:00,No,11:31.74,4,0.0,4,garmin,0
2020-12-30 15:13:40,Running,2020-12-30 15:13:40,False,Morton Running,2.03,230,00:19:11,137,154,2.1,167,185,0 days 00:09:26,0 days 00:08:33,16,16,1.02,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,19:11,0:00,0.0,0:00,No,00:19.67,3,0.0,4,garmin,0
2020-12-29 10:08:07,Running,2020-12-29 10:08:07,False,Tremont Running,5.04,559,00:40:03,152,168,3.3,169,181,0 days 00:07:56,0 days 00:07:18,44,44,1.2,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,40:03,0:00,0.0,0:00,No,00:21.46,6,0.0,4,garmin,0
