,index,date,activity_type,date.1,favorite,title,distance,calories,time,avg_hr,max_hr,avg_run_cadence,max_run_cadence,avg_pace,best_pace,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,training_stress_scoreâ,grit,flow,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,athlete_id,filetype,is_race,ft_per_mile,intensity,spd_ft_s,spd_mph,GAP_ft_s,GAP_by_intensity
0,0,2021-01-24 13:57:17,Running,2021-01-24 13:57:17,False,Longview Running,4.52,662,00:43:11,173,189,142,158,0 days 00:09:33,0 days 00:07:30,98,230,1.19,0.0,0.0,0.0,0.0,0.0,43:11,0:00,0.0,0:00,No,05:02.53,5,0.0,5,garmin,0,21.681415929203542,0.9885714285714285,9.214659685863873,6.282722513089005,9.214737374037343,9.321266129806562
1,2,2021-01-19 13:37:45,Running,2021-01-19 13:37:45,False,Longview Running,4.05,559,00:37:21,167,199,138,171,0 days 00:09:13,0 days 00:06:30,69,154,1.27,0.0,0.0,0.0,0.0,0.0,37:21,0:00,0.0,0:00,No,00:30.77,5,0.0,5,garmin,0,17.037037037037038,0.9542857142857143,9.547920433996381,6.509945750452079,9.547970138753403,10.00535792983141
2,3,2021-01-14 16:56:54,Running,2021-01-14 16:56:54,False,Longview Running,4.01,581,00:37:01,174,193,143,160,0 days 00:09:13,0 days 00:07:39,72,236,1.22,0.0,0.0,0.0,0.0,0.0,37:01,0:00,0.0,0:00,No,00:08.07,5,0.0,5,garmin,0,17.955112219451372,0.9942857142857143,9.547920433996381,6.509945750452079,9.547975639953352,9.602849063171474
3,4,2021-01-12 15:00:11,Running,2021-01-12 15:00:11,False,Longview Running,4.53,689,00:50:49,159,183,137,159,0 days 00:11:13,0 days 00:07:28,121,230,1.05,0.0,0.0,0.0,0.0,0.0,50:49,0:00,0.0,0:00,No,05:21.27,5,0.0,5,garmin,0,26.71081677704194,0.9085714285714286,7.845468053491826,5.349182763744428,7.8455684439821916,8.6350596081565
4,5,2021-01-04 10:04:37,Running,2021-01-04 10:04:37,False,Longview Running,3.22,433,00:28:01,167,186,145,163,0 days 00:08:42,0 days 00:07:03,33,174,1.27,0.0,0.0,0.0,0.0,0.0,28:01,0:00,0.0,0:00,No,02:19.36,4,0.0,5,garmin,0,10.248447204968944,0.9542857142857143,10.114942528735632,6.8965517241379315,10.114961582522637,10.599510640368033
5,6,2020-12-16 14:11:30,Running,2020-12-16 14:11:30,False,Longview Running,5.02,769,00:50:30,166,185,141,163,0 days 00:10:03,0 days 00:07:34,141,279,1.13,0.0,0.0,0.0,0.0,0.0,50:30,0:00,0.0,0:00,No,00:13.96,6,0.0,5,garmin,0,28.08764940239044,0.9485714285714286,8.756218905472636,5.970149253731343,8.756342798392467,9.231084275413744
6,7,2020-12-08 13:26:35,Running,2020-12-08 13:26:35,False,Longview Running,4.51,622,00:40:57,165,184,143,161,0 days 00:09:05,0 days 00:07:08,89,223,1.24,0.0,0.0,0.0,0.0,0.0,40:57,0:00,0.0,0:00,No,04:37.25,5,0.0,5,garmin,0,19.733924611973393,0.9428571428571428,9.688073394495412,6.605504587155963,9.688141059636612,10.275301123857012
7,8,2020-11-29 15:02:36,Running,2020-11-29 15:02:36,False,Longview Running,7.13,987,01:03:08,168,184,150,158,0 days 00:08:51,0 days 00:07:17,174,328,1.22,0.0,0.0,0.0,0.0,0.0,1:03:08,0:00,0.0,0:00,No,01:11.48,8,0.0,5,garmin,0,24.403927068723704,0.96,9.943502824858758,6.779661016949153,9.943609033212741,10.357926076263272
8,9,2020-11-26 10:16:29,Running,2020-11-26 10:16:29,False,Longview Running,6.21,852,00:56:56,164,184,145,158,0 days 00:09:10,0 days 00:07:06,253,358,1.21,0.0,0.0,0.0,0.0,0.0,56:56,0:00,0.0,0:00,No,01:49.50,7,0.0,5,garmin,0,40.74074074074074,0.9371428571428572,9.6,6.545454545454546,9.600285775353248,10.244207382236697
9,10,2020-11-24 14:36:39,Running,2020-11-24 14:36:39,False,Longview Running,4.79,685,00:45:08,164,186,141,159,0 days 00:09:25,0 days 00:07:39,108,240,1.22,0.0,0.0,0.0,0.0,0.0,45:08,0:00,0.0,0:00,No,07:08.87,5,0.0,5,garmin,0,22.546972860125262,0.9371428571428572,9.345132743362832,6.371681415929204,9.345217947785542,9.972031346722376
10,13,2020-11-14 15:57:14,Running,2020-11-14 15:57:14,False,Longview Running,6.02,882,01:03:08,161,181,138,154,0 days 00:10:29,0 days 00:07:05,85,98,1.11,0.0,0.0,0.0,0.0,0.0,1:03:08,0:00,0.0,0:00,No,00:13.78,7,0.0,5,garmin,0,14.119601328903656,0.92,8.394276629570747,5.723370429252783,8.394306643961265,9.12424635213181
11,14,2020-11-11 16:31:08,Running,2020-11-11 16:31:08,False,Longview Running,6.07,848,01:04:27,149,169,142,161,0 days 00:10:37,0 days 00:07:54,154,282,1.07,0.0,0.0,0.0,0.0,0.0,1:04:27,0:00,0.0,0:00,No,00:40.60,7,0.0,5,garmin,0,25.370675453047774,0.8514285714285714,8.288854003139717,5.65149136577708,8.288949691299418,9.735343597163746
12,15,2020-11-08 09:14:01,Running,2020-11-08 09:14:01,False,Longview Running,4.27,588,00:36:23,168,184,148,163,0 days 00:08:32,0 days 00:06:43,266,348,1.28,0.0,0.0,0.0,0.0,0.0,36:23,0:00,0.0,0:00,No,02:25.69,5,0.0,5,garmin,0,62.29508196721312,0.96,10.3125,7.03125,10.31321772575591,10.74293513099574
13,16,2020-11-04 14:42:49,Running,2020-11-04 14:42:49,False,Longview Running,1.81,262,00:20:27,140,163,129,159,0 days 00:11:16,0 days 00:08:11,39,36,1.11,0.0,0.0,0.0,0.0,0.0,20:27,0:00,0.0,0:00,No,08:00.79,2,0.0,5,garmin,0,21.54696132596685,0.8,7.8106508875739635,5.325443786982248,7.8107159244454705,9.763394905556838
14,18,2020-11-01 14:43:19,Running,2020-11-01 14:43:19,False,Longview Running,6.02,833,00:54:49,161,186,143,160,0 days 00:09:07,0 days 00:06:29,154,276,1.24,0.0,0.0,0.0,0.0,0.0,54:49,0:00,0.0,0:00,No,00:09.77,7,0.0,5,garmin,0,25.581395348837212,0.92,9.652650822669102,6.581352833638025,9.652764113474962,10.492134905951046
15,19,2020-10-30 14:14:27,Running,2020-10-30 14:14:27,False,Longview Running,5.26,718,00:45:20,166,185,147,158,0 days 00:08:37,0 days 00:06:42,217,322,1.27,0.0,0.0,0.0,0.0,0.0,45:20,0:00,0.0,0:00,No,02:16.02,6,0.0,5,garmin,0,41.254752851711025,0.9485714285714286,10.212765957446807,6.963249516441006,10.213077693397567,10.766798773160085
16,20,2020-10-29 15:53:05,Running,2020-10-29 15:53:05,False,Longview Running,6.1,915,01:03:41,156,176,143,165,0 days 00:10:26,0 days 00:07:33,302,489,1.08,0.0,0.0,0.0,0.0,0.0,1:03:41,0:00,0.0,0:00,No,01:01.09,7,0.0,5,garmin,0,49.50819672131148,0.8914285714285715,8.434504792332268,5.7507987220447285,8.434875563896371,9.462200151806826
17,22,2020-10-23 15:18:21,Running,2020-10-23 15:18:21,False,Longview Running,5.1,720,00:50:53,151,171,140,160,0 days 00:09:59,0 days 00:07:54,318,492,1.15,0.0,0.0,0.0,0.0,0.0,50:53,0:00,0.0,0:00,No,00:52.40,6,0.0,5,garmin,0,62.352941176470594,0.8628571428571429,8.814691151919867,6.010016694490819,8.81530577378533,10.216413976241276
18,23,2020-10-21 11:56:17,Running,2020-10-21 11:56:17,False,Longview Running,6.26,996,01:05:28,163,183,141,155,0 days 00:10:28,0 days 00:07:47,276,371,1.09,0.0,0.0,0.0,0.0,0.0,1:05:28,0:00,0.0,0:00,No,02:32.90,7,0.0,5,garmin,0,44.08945686900959,0.9314285714285714,8.407643312101909,5.732484076433121,8.407936427319003,9.026925612152304
19,25,2020-10-12 12:05:09,Running,2020-10-12 12:05:09,False,Longview Running,3.54,514,00:33:22,160,181,144,162,0 days 00:09:25,0 days 00:06:59,43,52,1.19,0.0,0.0,0.0,0.0,0.0,33:22,0:00,0.0,0:00,No,05:30.39,4,0.0,5,garmin,0,12.146892655367232,0.9142857142857143,9.345132743362832,6.371681415929204,9.345157472983031,10.22126598607519
20,26,2020-10-07 18:40:14,Running,2020-10-07 18:40:14,False,Longview Running,5.09,726,00:49:10,154,170,148,188,0 days 00:09:40,0 days 00:08:39,371,538,1.13,0.0,0.0,0.0,0.0,0.0,49:10,0:00,0.0,0:00,No,00:52.03,6,0.0,5,garmin,0,72.88801571709234,0.88,9.103448275862068,6.206896551724138,9.104315636389211,10.345813223169559
21,27,2020-10-06 13:03:50,Running,2020-10-06 13:03:50,False,Longview Running,4.37,581,00:36:21,166,184,151,169,0 days 00:08:20,0 days 00:06:29,135,128,1.28,0.0,0.0,0.0,0.0,0.0,36:21,0:00,0.0,0:00,No,03:56.83,5,0.0,5,garmin,0,30.892448512585812,0.9485714285714286,10.559999999999999,7.199999999999999,10.560180745304523,11.132720665230671
22,28,2020-10-03 10:32:35,Running,2020-10-03 10:32:35,False,Longview - W06D7-Long Run,15.42,"2,139",02:35:13,154,178,145,164,0 days 00:10:04,0 days 00:06:50,1096,"1,194",1.11,0.0,0.0,0.0,0.0,0.0,2:35:13,0:00,0.0,0:00,No,00:01.91,17,0.0,5,garmin,0,71.07652399481194,0.88,8.741721854304636,5.960264900662252,8.742513866430276,9.934674848216222
23,29,2020-09-30 17:53:02,Running,2020-09-30 17:53:02,False,Longview - W06D4-Intervals,5.03,713,00:47:05,161,184,145,165,0 days 00:09:22,0 days 00:06:35,282,433,1.18,0.0,0.0,0.0,0.0,0.0,47:05,0:00,0.0,0:00,No,00:06.01,15,0.0,5,garmin,0,56.06361829025845,0.92,9.395017793594304,6.405693950177936,9.395547395784188,10.212551517156726
