date,activity_type,date,favorite,title,distance,calories,time,avg_hr,max_hr,aerobic_te,avg_run_cadence,max_run_cadence,avg_pace,best_pace,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_ground_contact_time,avg_gct_balance,avg_run_cadence_1,max_run_cadence_1,normalized_powerâ_npâ,training_stress_scoreâ,max_avg_power_20_min,avg_power,max_power,grit,flow,total_strokes,avg__swolf,avg_stroke_rate,total_reps,total_sets,climb_time,max_depth,bottom_time,min_temp,gas_type,surface_interval,decompression,weight,current,surface_conditions,water_type,best_lap_time,number_of_laps,max_temp,avg_resp,min_resp,max_resp,stress_change,stress_start,stress_end,athlete_id,filetype,is_race
2021-01-27 16:56:49,Running,2021-01-27 16:56:49,False,Denver Running,2.01,286,00:19:28,160,174,2.9,149,170,0 days 00:09:40,0 days 00:08:46,62,39,1.12,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,19:28,0,0:00,59.0,0,0:00,No,0,0,0,0,00:07.67,3,0.0,19,19,19,0,0,0,8,garmin,0
2021-01-26 14:05:09,Cardio,2021-01-26 14:05:09,False,Cardio,0.00,440,00:32:22,147,176,3.2,0,0,0 days 00:00:00,0 days 00:00:00,0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,32:22,0,0:00,86.0,0,0:00,No,0,0,0,0,32:21.98,1,0.0,19,19,19,0,0,0,8,garmin,0
2021-01-24 13:19:05,Running,2021-01-24 13:19:05,False,Denver Running,7.25,"1,017",01:13:01,159,184,4.2,147,207,0 days 00:10:04,0 days 00:08:39,272,269,1.09,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1:13:01,0,0:00,53.6,0,0:00,No,0,0,0,0,02:25.59,8,0.0,14,14,14,0,0,0,8,garmin,0
2021-01-23 13:21:56,Cardio,2021-01-23 13:21:56,False,Cardio,0.00,753,00:48:28,165,189,4.6,0,0,0 days 00:00:00,0 days 00:00:00,0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,48:28,0,0:00,82.4,0,0:00,No,0,0,0,0,48:28.15,1,0.0,13,13,13,0,0,0,8,garmin,0
2021-01-22 16:27:05,Running,2021-01-22 16:27:05,False,Denver Running,2.79,351,00:28:08,140,147,2.4,145,180,0 days 00:10:05,0 days 00:08:07,49,56,1.1,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,28:08,0,0:00,66.2,0,0:00,No,0,0,0,0,08:05.52,3,0.0,19,19,19,0,0,0,8,garmin,0
2021-01-20 17:37:24,Running,2021-01-20 17:37:24,False,Denver Running,3.19,465,00:31:09,165,175,3.4,148,161,0 days 00:09:47,0 days 00:08:09,59,92,1.11,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,31:09,0,0:00,68.0,0,0:00,No,0,0,0,0,02:02.32,4,0.0,22,22,22,0,0,0,8,garmin,0
2021-01-18 15:33:25,Walking,2021-01-18 15:33:25,False,Denver Walking,2.08,301,01:01:33,93,121,0.3,50,158,0 days 00:29:34,0 days 00:12:53,52,26,1.12,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1:01:33,0,0:00,75.2,0,0:00,No,0,0,0,0,06:01.20,3,0.0,18,18,18,0,0,0,8,garmin,0
2021-01-17 16:40:52,Cardio,2021-01-17 16:40:52,False,Cardio,0.00,"1,202",01:26:44,157,175,4.5,0,0,0 days 00:00:00,0 days 00:00:00,0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1:26:44,0,0:00,82.4,0,0:00,No,0,0,0,0,01:26:44.26,1,0.0,19,19,19,0,0,0,8,garmin,0
2021-01-16 14:57:55,Running,2021-01-16 14:57:55,False,Denver Running,2.99,415,00:31:05,150,165,2.9,147,157,0 days 00:10:25,0 days 00:09:31,62,174,1.05,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,31:05,0,0:00,66.2,0,0:00,No,0,0,0,0,10:08.25,3,0.0,20,20,20,0,0,0,8,garmin,0
2021-01-15 09:37:26,Resort Skiing/Snowboarding,2021-01-15 09:37:26,False,Winter Park Resort Skiing/Snowboarding,10.34,561,00:59:39,124,182,2.8,0,0,10.4,33.5,0,"10,889",0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,59:39,0,0:00,59.0,0,0:00,No,0,0,0,0,04:26.00,9,0.0,0,0,0,0,0,0,8,garmin,0
2021-01-14 16:39:02,Running,2021-01-14 16:39:02,False,Denver Running,3.03,430,00:29:27,162,176,3.2,148,161,0 days 00:09:43,0 days 00:08:49,23,46,1.12,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,29:27,0,0:00,69.8,0,0:00,No,0,0,0,0,00:19.97,4,0.0,17,17,17,0,0,0,8,garmin,0
2021-01-12 17:40:27,Cardio,2021-01-12 17:40:27,False,Cardio,0.00,709,00:50:40,154,181,4.0,0,0,0 days 00:00:00,0 days 00:00:00,0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,50:40,0,0:00,82.4,0,0:00,No,0,0,0,0,50:39.75,1,0.0,20,20,20,0,0,0,8,garmin,0
