,index,date,activity_type,date.1,favorite,title,distance,calories,time,avg_hr,max_hr,aerobic_te,avg_run_cadence,max_run_cadence,avg_pace,best_pace,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_ground_contact_time,avg_gct_balance,avg_run_cadence_1,max_run_cadence_1,normalized_powerâ_npâ,training_stress_scoreâ,max_avg_power_20_min,avg_power,max_power,grit,flow,total_strokes,avg__swolf,avg_stroke_rate,total_reps,total_sets,climb_time,max_depth,bottom_time,min_temp,gas_type,surface_interval,decompression,weight,current,surface_conditions,water_type,best_lap_time,number_of_laps,max_temp,avg_resp,min_resp,max_resp,stress_change,stress_start,stress_end,athlete_id,filetype,is_race,ft_per_mile,intensity,spd_ft_s,spd_mph,GAP_ft_s,GAP_by_intensity
0,0,2021-01-27 16:56:49,Running,2021-01-27 16:56:49,False,Denver Running,2.01,286,00:19:28,160,174,2.9,149,170,0 days 00:09:40,0 days 00:08:46,62,39,1.12,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,19:28,0,0:00,59.0,0,0:00,No,0.0,0,0,0,00:07.67,3,0.0,19,19,19,0,0,0,8,garmin,0,30.84577114427861,0.8205128205128205,9.103448275862068,6.206896551724138,9.103603620278133,11.095016912213975
1,2,2021-01-24 13:19:05,Running,2021-01-24 13:19:05,False,Denver Running,7.25,"1,017",01:13:01,159,184,4.2,147,207,0 days 00:10:04,0 days 00:08:39,272,269,1.09,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1:13:01,0,0:00,53.6,0,0:00,No,0.0,0,0,0,02:25.59,8,0.0,14,14,14,0,0,0,8,garmin,0,37.51724137931034,0.8153846153846154,8.741721854304636,5.960264900662252,8.741942530484101,10.721250273235219
2,4,2021-01-22 16:27:05,Running,2021-01-22 16:27:05,False,Denver Running,2.79,351,00:28:08,140,147,2.4,145,180,0 days 00:10:05,0 days 00:08:07,49,56,1.1,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,28:08,0,0:00,66.2,0,0:00,No,0.0,0,0,0,08:05.52,3,0.0,19,19,19,0,0,0,8,garmin,0,17.56272401433692,0.717948717948718,8.727272727272727,5.950413223140496,8.727321006827827,12.15591140236733
3,5,2021-01-20 17:37:24,Running,2021-01-20 17:37:24,False,Denver Running,3.19,465,00:31:09,165,175,3.4,148,161,0 days 00:09:47,0 days 00:08:09,59,92,1.11,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,31:09,0,0:00,68.0,0,0:00,No,0.0,0,0,0,02:02.32,4,0.0,22,22,22,0,0,0,8,garmin,0,18.495297805642632,0.8461538461538461,8.99488926746167,6.132879045996593,8.994944452240395,10.630388898102284
4,8,2021-01-16 14:57:55,Running,2021-01-16 14:57:55,False,Denver Running,2.99,415,00:31:05,150,165,2.9,147,157,0 days 00:10:25,0 days 00:09:31,62,174,1.05,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,31:05,0,0:00,66.2,0,0:00,No,0.0,0,0,0,10:08.25,3,0.0,20,20,20,0,0,0,8,garmin,0,20.735785953177256,0.7692307692307693,8.448,5.760000000000001,8.448065147145641,10.982484691289333
5,10,2021-01-14 16:39:02,Running,2021-01-14 16:39:02,False,Denver Running,3.03,430,00:29:27,162,176,3.2,148,161,0 days 00:09:43,0 days 00:08:49,23,46,1.12,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,29:27,0,0:00,69.8,0,0:00,No,0.0,0,0,0,00:19.97,4,0.0,17,17,17,0,0,0,8,garmin,0,7.590759075907592,0.8307692307692308,9.056603773584905,6.174957118353345,9.056613132763133,10.901478770918585
6,12,2021-01-10 14:04:31,Running,2021-01-10 14:04:31,False,Denver Running,7.42,"1,055",01:14:17,165,182,4.3,148,208,0 days 00:10:01,0 days 00:07:21,282,276,1.09,11.8,13.0,301,50.0% L / 50.0% R,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1:14:17,0,0:00,62.6,0,0:00,No,0.0,0,0,0,03:57.52,8,0.0,34,17,43,0,0,0,8,garmin,0,38.00539083557952,0.8461538461538461,8.785357737104823,5.990016638935107,8.785585323549125,10.382964473285329
7,15,2021-01-06 11:52:47,Running,2021-01-06 11:52:47,False,Denver Running,3.38,501,00:34:07,165,177,3.5,148,156,0 days 00:10:06,0 days 00:08:20,72,59,1.08,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,34:07,0,0:00,60.8,0,0:00,No,0.0,0,0,0,04:04.48,4,0.0,16,16,16,0,0,0,8,garmin,0,21.301775147928996,0.8461538461538461,8.712871287128712,5.9405940594059405,8.712942194809797,10.297113502957032
8,21,2020-12-31 10:48:33,Running,2020-12-31 10:48:33,False,Denver Running,2.69,364,00:23:34,167,187,3.8,150,167,0 days 00:08:45,0 days 00:07:46,49,13,1.22,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,23:34,0,0:00,62.6,0,0:00,No,0.0,0,0,0,05:53.76,3,0.0,21,21,21,0,0,0,8,garmin,0,18.21561338289963,0.8564102564102564,10.057142857142855,6.857142857142857,10.057202706995602,11.743440286611632
9,22,2020-12-29 15:23:38,Running,2020-12-29 15:23:38,False,Denver Running,2.08,309,00:20:04,168,179,3.2,151,185,0 days 00:09:39,0 days 00:08:14,75,43,1.1,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,20:04,0,0:00,51.8,0,0:00,No,0.0,0,0,0,00:51.46,3,0.0,24,24,24,0,0,0,8,garmin,0,36.05769230769231,0.8615384615384616,9.119170984455957,6.217616580310881,9.119383626095171,10.584998851717609
10,25,2020-12-27 13:15:53,Running,2020-12-27 13:15:53,False,Denver Running,6.29,939,01:04:28,165,180,4.5,149,160,0 days 00:10:15,0 days 00:07:50,279,253,1.05,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1:04:28,0,0:00,66.2,0,0:00,No,0.0,0,0,0,03:08.79,7,0.0,29,29,29,0,0,0,8,garmin,0,44.35612082670906,0.8461538461538461,8.585365853658535,5.853658536585366,8.585668796308122,10.146699486545963
11,27,2020-12-24 14:22:18,Running,2020-12-24 14:22:18,False,Denver Running,2.96,426,00:28:45,159,172,3.5,146,163,0 days 00:09:42,0 days 00:08:38,30,23,1.14,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,28:45,0,0:00,68.0,0,0:00,No,0.0,0,0,0,09:23.77,3,0.0,16,16,16,0,0,0,8,garmin,0,10.135135135135135,0.8153846153846154,9.072164948453608,6.185567010309279,9.07218166212212,11.126260529017694
12,35,2020-12-06 14:35:50,Running,2020-12-06 14:35:50,False,Denver Running,5.54,781,00:56:40,166,177,4.1,149,204,0 days 00:10:14,0 days 00:08:16,69,56,1.05,11.9,12.7,300,50.2% L / 49.8% R,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,56:40,0,0:00,71.6,0,0:00,No,0.0,0,0,0,05:45.20,6,0.0,35,22,42,0,0,0,8,garmin,0,12.454873646209386,0.8512820512820513,8.599348534201955,5.863192182410424,8.599372458861069,10.101672466734389
13,36,2020-12-01 16:18:45,Running,2020-12-01 16:18:45,False,Denver Running,2.97,385,00:27:02,161,182,3.6,144,167,0 days 00:09:06,0 days 00:07:27,125,98,1.22,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,27:02,0,0:00,64.4,0,0:00,No,0.0,0,0,0,08:46.98,3,0.0,18,18,18,0,0,0,8,garmin,0,42.08754208754208,0.8256410256410256,9.67032967032967,6.593406593406594,9.67063688621488,11.71288318516709
14,38,2020-11-26 11:57:40,Running,2020-11-26 11:57:40,False,Berkeley Running,3.11,487,00:36:33,156,195,3.9,143,187,0 days 00:11:45,0 days 00:08:23,817,814,0.95,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,36:33,0,0:00,75.2,0,0:00,No,0.0,0,0,0,01:15.31,4,0.0,20,20,20,0,0,0,8,garmin,0,262.7009646302251,0.8,7.48936170212766,5.1063829787234045,7.498625771095809,9.37328221386976
15,39,2020-11-25 13:13:04,Running,2020-11-25 13:13:04,False,San Francisco Running,3.4,430,00:29:49,171,187,4.2,149,162,0 days 00:08:46,0 days 00:07:36,141,161,1.23,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,29:49,0,0:00,75.2,0,0:00,No,0.0,0,0,0,03:15.69,4,0.0,20,20,20,0,0,0,8,garmin,0,41.470588235294116,0.8769230769230769,10.03802281368821,6.844106463878326,10.038332430141317,11.447221192266413
16,43,2020-11-20 15:16:54,Running,2020-11-20 15:16:54,False,Denver Running,3.08,284,00:29:02,132,140,2.1,144,163,0 days 00:09:25,0 days 00:07:35,56,43,1.19,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,29:02,0,0:00,60.8,0,0:00,No,0.0,0,0,0,00:51.10,4,0.0,17,17,17,0,0,0,8,garmin,0,18.18181818181818,0.676923076923077,9.345132743362832,6.371681415929204,9.345188149894813,13.805391585071883
17,44,2020-11-17 12:51:10,Running,2020-11-17 12:51:10,False,Denver Running,2.54,308,00:21:42,170,187,3.6,148,234,0 days 00:08:34,0 days 00:07:11,23,16,1.27,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,21:42,0,0:00,82.4,0,0:00,No,0.0,0,0,0,04:38.08,3,0.0,23,23,23,0,0,0,8,garmin,0,9.05511811023622,0.8717948717948718,10.27237354085603,7.003891050583658,10.272388647252626,11.783034036554483
18,45,2020-11-15 15:22:53,Running,2020-11-15 15:22:53,False,Denver Running,5.64,774,00:54:10,175,191,5.0,147,159,0 days 00:09:37,0 days 00:07:19,95,108,1.14,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,54:10,0,0:00,75.2,0,0:00,No,0.0,0,0,0,06:32.37,6,0.0,19,19,19,0,0,0,8,garmin,0,16.843971631205676,0.8974358974358975,9.150779896013864,6.239168110918544,9.15082645978718,10.19663519804857
19,46,2020-11-13 10:12:27,Running,2020-11-13 10:12:27,False,Denver Running,2.56,332,00:25:42,158,178,3.5,138,159,0 days 00:10:02,0 days 00:08:27,30,26,1.17,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,25:42,0,0:00,77.0,0,0:00,No,0.0,0,0,0,05:40.27,3,0.0,15,15,15,0,0,0,8,garmin,0,11.71875,0.8102564102564103,8.770764119601328,5.980066445182724,8.77078572198298,10.824703897384058
20,47,2020-11-08 13:08:52,Running,2020-11-08 13:08:52,False,Denver - RL2,5.38,678,00:58:37,156,175,3.6,144,202,0 days 00:10:54,0 days 00:09:11,217,236,1.03,12.5,13.1,316,50.3% L / 49.7% R,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,58:37,0,0:00,71.6,0,0:00,No,0.0,0,0,0,04:17.35,6,0.0,31,18,39,0,0,0,8,garmin,0,40.33457249070632,0.8,8.073394495412844,5.504587155963303,8.073630058324659,10.092037572905822
21,50,2020-11-04 13:49:07,Running,2020-11-04 13:49:07,False,Denver Running,2.83,366,00:26:31,169,180,3.9,145,157,0 days 00:09:22,0 days 00:08:07,33,46,1.18,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,26:31,0,0:00,84.2,0,0:00,No,0.0,0,0,0,07:53.93,3,0.0,16,16,16,0,0,0,8,garmin,0,11.66077738515901,0.8666666666666667,9.395017793594304,6.405693950177936,9.39504070513241,10.840431582845087
