date,activity_type,date,favorite,title,distance,calories,time,avg_hr,max_hr,aerobic_te,avg_run_cadence,max_run_cadence,avg_speed,max_speed,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_ground_contact_time,avg_gct_balance,avg_bike_cadence,max_bike_cadence,normalized_powerâ_npâ,lr_balance,training_stress_scoreâ,max_avg_power_20_min,avg_power,max_power,grit,flow,total_strokes,avg__swolf,avg_stroke_rate,total_reps,total_sets,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,athlete_id,filetype,is_race,avg_pace,best_pace
2021-02-01 15:14:16,Indoor Cycling,2021-02-01 15:14:16,False,Goodale  - TrainerRoad,54.93,"1,814",02:30:00,130,156,0.0,0,0,22.0,23.0,0,0,0.0,0.0,0.0,0,0,92,96,205,0,125.0,222,202,295,0.0,0.0,0,0,0,0,0,2:30:00,0:00,0.0,0:00,No,01:00.00,66,0.0,9,garmin,0,00:00:00,00:00:00
2021-01-29 16:57:11,Running,2021-01-29 16:57:11,False,Wheat Ridge Running,7.01,828,00:51:22,163,178,4.2,168,256,7:20,5:32,240,243,1.29,7.9,10.5,253,49.4% L / 50.6% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,51:22,0:00,51.8,0:00,No,00:05.02,8,0.0,9,garmin,0,0 days 00:07:20,0 days 00:07:20
2021-01-28 16:48:34,Indoor Cycling,2021-01-28 16:48:34,False,Baxter -1 - TrainerRoad,27.29,832,01:15:00,129,151,0.0,0,0,21.8,23.0,0,0,0.0,0.0,0.0,0,0,91,95,188,0,53.0,200,185,250,0.0,0.0,0,0,0,0,0,1:15:00,0:00,0.0,0:00,No,01:00.00,31,0.0,9,garmin,0,00:00:00,00:00:00
2021-01-27 16:35:47,Treadmill Running,2021-01-27 16:35:47,False,Treadmill Running,9.11,999,01:14:04,147,164,3.2,167,175,8:08,7:41,36,85,1.19,8.4,10.3,269,49.0% L / 51.0% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1:14:04,0:00,66.2,0:00,No,01:14:03.52,1,0.0,9,garmin,0,0 days 00:08:08,0 days 00:08:08
2021-01-26 16:36:02,Indoor Cycling,2021-01-26 16:36:02,False,Townsend - TrainerRoad,32.44,975,01:30:00,116,137,0.0,0,0,21.6,23.0,0,0,0.0,0.0,0.0,0,0,90,95,184,0,60.0,198,181,274,0.0,0.0,0,0,0,0,0,1:30:00,0:00,0.0,0:00,No,02:00.00,12,0.0,9,garmin,0,00:00:00,00:00:00
2021-01-23 12:29:30,Trail Running,2021-01-23 12:29:30,False,Jefferson County Trail Running,9.05,"1,164",01:24:35,155,181,3.7,156,233,9:21,5:11,"1,316","1,316",1.1,10.3,11.2,291,50.0% L / 50.0% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1:24:35,0:00,50.0,0:00,No,01:24:34.74,1,0.0,9,garmin,0,0 days 00:09:21,0 days 00:09:21
2021-01-21 17:04:18,Indoor Cycling,2021-01-21 17:04:18,False,Pettit  1 - TrainerRoad,21.34,645,01:00:00,114,147,0.0,0,0,21.3,31.7,0,0,0.0,0.0,0.0,0,0,89,132,191,0,43.0,197,180,744,0.0,0.0,0,0,0,0,0,1:00:00,0:00,0.0,0:00,No,00:20.00,13,0.0,9,garmin,0,00:00:00,00:00:00
2021-01-20 17:20:10,Treadmill Running,2021-01-20 17:20:10,False,Treadmill Running,6.31,716,00:50:08,146,159,3.2,165,171,7:57,7:44,36,79,1.23,8.4,10.6,269,48.7% L / 51.3% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,50:08,0:00,68.0,0:00,No,10:22.89,3,0.0,9,garmin,0,0 days 00:07:57,0 days 00:07:57
2021-01-19 16:12:14,Running,2021-01-19 16:12:14,False,Wheat Ridge Running,6.22,690,00:48:41,149,160,3.3,169,180,7:50,5:59,285,213,1.2,8.2,10.1,260,49.1% L / 50.9% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,48:41,0:00,41.0,0:00,No,01:30.15,7,0.0,9,garmin,0,0 days 00:07:50,0 days 00:07:50
2021-01-16 14:01:51,Indoor Cycling,2021-01-16 14:01:51,False,Goodale  - TrainerRoad,55.49,"1,792",02:30:00,134,152,0.0,0,0,22.2,25.0,0,0,0.0,0.0,0.0,0,0,92,103,202,0,121.0,210,199,336,0.0,0.0,0,0,0,0,0,2:30:00,0:00,0.0,0:00,No,01:00.00,66,0.0,9,garmin,0,00:00:00,00:00:00
