date,activity_type,favorite,title,distance,calories,time,avg_hr,max_hr,avg_run_cadence,max_run_cadence,avg_speed,max_speed,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_bike_cadence,max_bike_cadence,training_stress_scoreâ,grit,flow,total_strokes,total_reps,total_sets,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,athlete_id,filetype,is_race,avg_pace,best_pace
2018-08-22,Treadmill Running,False,Treadmill Running,3.0,342,0:29:41,169,189,166,178,9:54,6:34,0,0,0.91,0,0,0,0,0,0,0,0,0,0,1:5:41,0:00,0,0:00,No,00:00.00,3,0,10,garmin,0,0 days 00:09:54,0 days 00:09:54
2018-08-26,Indoor Running,False,Indoor Running,4.04,414,0:39:23,157,182,163,172,9:45,8:52,0,0,1.01,0,0,0,0,0,0,0,0,0,0,1:15:23,0:00,0,0:00,No,00:00.00,5,0,10,garmin,0,0 days 00:09:45,0 days 00:09:45
2018-08-29,Indoor Running,False,Indoor Running,2.0,228,0:21:15,159,177,160,172,10:38,8:56,0,0,0.94,0,0,0,0,0,0,0,0,0,0,21:15,0:00,0,0:00,No,00:00.00,2,0,10,garmin,0,0 days 00:10:38,0 days 00:10:38
2018-08-31,Treadmill Running,False,Treadmill Running,3.0,340,0:30:36,164,187,165,176,10:12,6:32,0,0,0.94,0,0,0,0,0,0,0,0,0,0,1:6:36:00.000,0:00,0,0:00,No,00:00.00,3,0,10,garmin,0,0 days 00:10:12,0 days 00:10:12
2018-09-02,Treadmill Running,False,Treadmill Running,6.2,765,1:13:40,159,184,148,249,11:53,7:02,0,0,0.81,0,0,0,0,0,0,0,0,0,0,1:13:40,0:00,0,0:00,No,00:00.00,6,0,10,garmin,0,0 days 00:11:53,0 days 00:11:53
2018-09-04,Treadmill Running,False,Treadmill Running,3.0,359,0:31:59,166,185,164,176,10:40,6:20,0,0,0.91,0,0,0,0,0,0,0,0,0,0,1:7:59,0:00,0,0:00,No,00:00.00,3,0,10,garmin,0,0 days 00:10:40,0 days 00:10:40
2018-09-05,Indoor Running,False,Indoor Running,3.0,327,0:36:01,148,186,147,188,12:00,6:33,0,0,0.87,0,0,0,0,0,0,0,0,0,0,1:12:01:00.000,0:00,0,0:00,No,00:00.00,3,0,10,garmin,0,0 days 00:12:00,0 days 00:12:00
2018-09-06,Running,False,Longview Running,2.03,232,0:23:21,160,183,161,168,11:31,10:34,62,66,0.87,0,0,0,0,0,0,0,0,0,0,23:21,0:00,0,0:00,No,00:00.00,3,0,10,garmin,0,0 days 00:11:31,0 days 00:11:31
2018-09-06,Running,False,Longview Running,1.0,104,0:13:45,133,155,124,239,13:47,10:18,33,26,0.94,0,0,0,0,0,0,0,0,0,0,13:45,0:00,0,0:00,No,00:00.00,1,0,10,garmin,0,0 days 00:13:47,0 days 00:13:47
2018-09-08,Treadmill Running,False,Treadmill Running,4.0,488,0:43:16,169,185,165,174,10:49,8:36,0,0,0.73,0,0,0,0,0,0,0,0,0,0,1:19:16,0:00,0,0:00,No,00:00.00,4,0,10,garmin,0,0 days 00:10:49,0 days 00:10:49
