,index,date,activity_type,favorite,title,distance,calories,time,avg_hr,max_hr,avg_run_cadence,max_run_cadence,avg_speed,max_speed,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_bike_cadence,max_bike_cadence,training_stress_scoreâ,grit,flow,total_strokes,total_reps,total_sets,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,athlete_id,filetype,is_race,avg_pace,best_pace,ft_per_mile,intensity,spd_ft_s,spd_mph,GAP_ft_s,GAP_by_intensity
0,3,2019-09-18,Running,False,Longview Running,4.0,460,0:47:13,163,181,148,248,11:48,7:45,925,"1,040",0.92,0,0,0,0,0,0,0,0,0,0,1:23:13,0:00,0,0:00,No,00:01.39,5,0,10,garmin,0,0 days 00:11:48,0 days 00:11:48,231.25,0.9314285714285714,7.457627118644067,5.084745762711864,7.464776330877314,8.014330416586073
1,4,2019-09-19,Running,False,Longview Running,3.01,306,0:33:57,150,177,164,170,11:18,9:41,190,197,0.87,0,0,0,0,0,0,0,0,0,0,1:9:57,0:00,0,0:00,No,00:03.49,4,0,10,garmin,0,0 days 00:11:18,0 days 00:11:18,63.122923588039875,0.8571428571428571,7.787610619469025,5.309734513274336,7.7881671193575395,9.086194972583797
2,7,2019-09-23,Running,False,Longview Running,4.51,493,1:01:21,149,175,128,170,13:37,9:47,522,564,0.94,0,0,0,0,0,0,0,0,0,0,1:01:21,0:00,0,0:00,No,09:32.88,5,0,10,garmin,0,0 days 00:13:37,0 days 00:13:37,115.74279379157429,0.8514285714285714,6.46266829865361,4.406364749082007,6.464220863627147,7.592205712313763
3,9,2019-09-24,Running,False,Longview Running,2.01,219,0:22:43,157,185,163,172,11:19,9:49,43,30,0.87,0,0,0,0,0,0,0,0,0,0,22:43,0:00,0,0:00,No,00:03.69,3,0,10,garmin,0,0 days 00:11:19,0 days 00:11:19,21.39303482587065,0.8971428571428571,7.776141384388806,5.3019145802650955,7.776205212107375,8.667744663177011
4,11,2019-09-28,Running,False,Longview Running,8.0,835,1:43:43,150,174,144,245,12:57,10:25,1060,"1,040",0.86,0,0,0,0,0,0,0,0,0,0,1:43:43,0:00,0,0:00,No,00:02.06,9,0,10,garmin,0,0 days 00:12:57,0 days 00:12:57,132.5,0.8571428571428571,6.795366795366796,4.633204633204634,6.797506128720237,7.930423816840277
5,12,2019-09-30,Running,False,Running,4.5,534,0:49:00,0,0,0,0,10:53,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,2:1,0:00,0,0:00,No,00:00.00,1,0,10,garmin,0,0 days 00:10:53,0 days 00:10:53,0.0,0.0,8.085758039816232,5.51301684532925,8.085758039816232,inf
6,14,2019-10-02,Running,False,Longview Running,4.0,445,0:57:48,144,173,128,248,14:26,10:51,1385,"1,407",0.88,0,0,0,0,0,0,0,0,0,0,2:9:48,0:00,0,0:00,No,00:04.01,5,0,10,garmin,0,0 days 00:14:26,0 days 00:14:26,346.25,0.8228571428571428,6.096997690531177,4.157043879907621,6.110093477207606,7.425460822995355
7,16,2019-10-05,Running,False,Los Angeles Running,3.01,342,0:37:21,155,176,151,240,12:24,10:01,308,302,0.86,0,0,0,0,0,0,0,0,0,0,1:13:21,0:00,0,0:00,No,00:08.93,4,0,10,garmin,0,0 days 00:12:24,0 days 00:12:24,102.32558139534885,0.8857142857142857,7.096774193548387,4.838709677419355,7.098106765954248,8.013991509948346
8,17,2019-10-07,Running,False,Longview Running,5.0,556,0:53:55,168,182,166,176,10:47,9:16,230,430,0.9,0,0,0,0,0,0,0,0,0,0,2:5:55,0:00,0,0:00,No,00:02.89,6,0,10,garmin,0,0 days 00:10:47,0 days 00:10:47,46.0,0.96,8.160741885625965,5.564142194744977,8.161051584212954,8.501095400221827
9,18,2019-10-08,Running,False,Longview Running,3.0,326,0:35:00,157,172,166,174,11:39,10:05,85,89,0.83,0,0,0,0,0,0,0,0,0,0,1:11,0:00,0,0:00,No,00:02.52,4,0,10,garmin,0,0 days 00:11:39,0 days 00:11:39,28.333333333333332,0.8971428571428571,7.553648068669528,5.150214592274678,7.553756824142542,8.419792638375444
