,index,date,activity_type,favorite,title,distance,calories,time,avg_hr,max_hr,aerobic_te,avg_run_cadence,max_run_cadence,avg_pace,best_pace,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,training_stress_scoreâ,grit,flow,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,athlete_id,filetype,is_race,ft_per_mile,intensity,spd_ft_s,spd_mph,GAP_ft_s,GAP_by_intensity
0,0,2020-10-17,Running,False,Harris County Running,5.19,517,01:10:01,115,176,3.1,128,185,0 days 00:13:30,0 days 00:07:45,95,115,0.91,0.0,0.0,0.0,0.0,0.0,1:10:01,0:00,64.4,0:00,No,01:43.00,9,0.0,11,garmin,0,18.304431599229286,0.672514619883041,6.518518518518518,4.444444444444445,6.518557689301519,9.69281186843965
1,1,2020-10-18,Running,False,Montgomery County Running,5.77,580,01:17:34,118,156,2.9,126,236,0 days 00:13:27,0 days 00:08:16,30,33,0.93,0.0,0.0,0.0,0.0,0.0,1:17:34,0:00,71.6,0:00,No,00:00.36,18,0.0,11,garmin,0,5.199306759098787,0.6900584795321637,6.5427509293680295,4.4609665427509295,6.542754101515176,9.481448740331315
2,2,2020-10-24,Running,False,St Johns County Running,3.48,380,00:30:04,157,178,3.9,169,187,0 days 00:08:39,0 days 00:07:26,46,56,1.1,0.0,0.0,0.0,0.0,0.0,30:04,0:00,80.6,0:00,No,04:11.66,4,0.0,11,garmin,0,13.218390804597702,0.9181286549707602,10.173410404624278,6.936416184971098,10.173442285131243,11.080628221384984
3,3,2020-10-29,Running,False,Montgomery County Running,4.62,455,00:37:35,152,170,4.0,171,187,0 days 00:08:08,0 days 00:06:55,56,69,1.16,0.0,0.0,0.0,0.0,0.0,37:35,0:00,64.4,0:00,No,01:12.29,6,0.0,11,garmin,0,12.121212121212121,0.8888888888888888,10.819672131147541,7.3770491803278695,10.819700641841644,12.17216322207185
4,4,2020-11-03,Running,False,Montgomery County Running,6.01,650,00:53:58,155,170,4.6,169,190,0 days 00:08:59,0 days 00:05:43,30,49,1.06,0.0,0.0,0.0,0.0,0.0,53:58,0:00,51.8,0:00,No,00:18.78,26,0.0,11,garmin,0,4.9916805324459235,0.9064327485380117,9.795918367346939,6.679035250463823,9.795922744994408,10.807114770284153
5,5,2020-11-05,Running,False,Harris County - endurance run wi,5.35,558,00:48:25,151,175,3.8,161,244,0 days 00:09:03,0 days 00:06:35,30,46,1.1,0.0,0.0,0.0,0.0,0.0,48:25,0:00,64.4,0:00,No,00:03.30,13,0.0,11,garmin,0,5.607476635514019,0.8830409356725146,9.723756906077346,6.6298342541436455,9.72376238974436,11.011677938054872
6,6,2020-11-07,Running,False,Montgomery County Running,7.04,669,01:00:22,144,163,3.8,168,188,0 days 00:08:35,0 days 00:07:25,43,59,1.11,0.0,0.0,0.0,0.0,0.0,1:00:22,0:00,64.4,0:00,No,00:18.57,8,0.0,11,garmin,0,6.107954545454546,0.8421052631578947,10.252427184466018,6.990291262135922,10.252434044405753,12.174765427731833
7,7,2020-11-10,Running,False,Montgomery County - Run #1 - enduran,5.24,475,00:47:07,140,161,3.1,163,205,0 days 00:09:00,0 days 00:06:55,33,46,1.1,0.0,0.0,0.0,0.0,0.0,47:07,0:00,73.4,0:00,No,00:06.91,12,0.0,11,garmin,0,6.297709923664122,0.8187134502923976,9.777777777777777,6.666666666666667,9.777784732943351,11.942865638095094
8,8,2020-11-10,Running,False,Montgomery County Running,3.0,301,00:26:37,141,160,3.1,169,181,0 days 00:08:51,0 days 00:07:40,3,16,1.07,0.0,0.0,0.0,0.0,0.0,26:37,0:00,77.0,0:00,No,00:01.97,4,0.0,11,garmin,0,1.0,0.8245614035087719,9.943502824858758,6.779661016949153,9.9435030031958,12.05914194004597
9,9,2020-11-14,Running,False,Montgomery County Running,2.0,201,00:16:41,148,164,3.0,169,177,0 days 00:08:20,0 days 00:07:11,13,10,1.14,0.0,0.0,0.0,0.0,0.0,16:41,0:00,78.8,0:00,No,00:02.76,3,0.0,11,garmin,0,6.5,0.8654970760233918,10.559999999999999,7.199999999999999,10.560008001890907,12.201090326509089
10,10,2020-11-15,Running,False,Harris County - Tempo Variation,9.64,956,01:23:04,150,178,3.7,173,187,0 days 00:08:37,0 days 00:06:23,151,200,1.08,0.0,0.0,0.0,0.0,0.0,1:23:04,0:00,64.4,0:00,No,00:03.99,17,0.0,11,garmin,0,15.663900414937759,0.8771929824561403,10.212765957446807,6.963249516441006,10.212810898620456,11.64260442442732
11,12,2020-11-21,Running,False,Harris County Running,10.01,897,01:22:24,150,171,3.7,172,190,0 days 00:08:14,0 days 00:07:02,148,167,1.13,0.0,0.0,0.0,0.0,0.0,1:22:24,0:00,69.8,0:00,No,00:03.15,11,0.0,11,garmin,0,14.785214785214785,0.8771929824561403,10.68825910931174,7.287449392712551,10.688301014091007,12.184663156063749
12,13,2020-11-24,Running,False,Montgomery County Running,5.04,527,00:41:39,156,166,4.0,171,185,0 days 00:08:15,0 days 00:07:25,23,36,1.14,0.0,0.0,0.0,0.0,0.0,41:39,0:00,62.6,0:00,No,00:20.51,6,0.0,11,garmin,0,4.563492063492063,0.9122807017543859,10.666666666666666,7.2727272727272725,10.666670650722361,11.692312059445666
13,14,2020-11-29,Running,False,Harris County Running,12.01,"1,193",01:40:59,155,179,3.8,173,189,0 days 00:08:24,0 days 00:05:48,180,243,1.11,0.0,0.0,0.0,0.0,0.0,1:40:59,0:00,62.6,0:00,No,00:03.10,13,0.0,11,garmin,0,14.987510407993339,0.9064327485380117,10.476190476190474,7.142857142857142,10.47623268116728,11.557650248255516
14,15,2020-12-06,Running,False,Harris County Running,13.1,"1,405",01:51:02,161,183,4.9,174,198,0 days 00:08:28,0 days 00:06:47,217,240,1.09,0.0,0.0,0.0,0.0,0.0,1:51:02,0:00,51.8,0:00,No,00:45.49,14,0.0,11,garmin,0,16.564885496183205,0.9415204678362573,10.393700787401574,7.086614173228346,10.393751937700639,11.039326592216206
15,16,2020-12-10,Running,False,Montgomery County - 2 mile tempo,5.01,484,00:39:46,155,170,4.1,172,190,0 days 00:07:56,0 days 00:06:44,49,33,1.18,0.0,0.0,0.0,0.0,0.0,39:46,0:00,73.4,0:00,No,00:04.36,6,0.0,11,garmin,0,9.780439121756487,0.9064327485380117,11.092436974789916,7.563025210084033,11.092456005082473,12.237483721736147
16,17,2020-12-12,Running,False,Houston Running,10.01,937,01:22:15,151,168,3.8,173,198,0 days 00:08:13,0 days 00:07:04,98,151,1.14,0.0,0.0,0.0,0.0,0.0,1:22:15,0:00,66.2,0:00,No,00:02.67,11,0.0,11,garmin,0,9.79020979020979,0.8830409356725146,10.709939148073023,7.302231237322515,10.709957558878342,12.12849498389534
17,18,2020-12-12,Running,False,Montgomery County Running,5.01,439,00:36:59,150,172,3.3,176,190,0 days 00:07:23,0 days 00:06:17,52,62,1.24,0.0,0.0,0.0,0.0,0.0,36:59,0:00,66.2,0:00,No,00:02.45,6,0.0,11,garmin,0,10.379241516966069,0.8771929824561403,11.918735891647854,8.126410835214447,11.918758920016412,13.58738516881871
18,19,2020-12-13,Running,False,Montgomery County Running,2.04,184,00:15:49,144,158,2.6,175,226,0 days 00:07:45,0 days 00:06:38,13,13,1.18,0.0,0.0,0.0,0.0,0.0,15:49,0:00,71.6,0:00,No,00:21.02,3,0.0,11,garmin,0,6.372549019607843,0.8421052631578947,11.354838709677418,7.741935483870968,11.35484697975037,13.483880788453565
19,20,2020-12-17,Running,False,Montgomery County Running,5.01,485,00:40:50,146,166,3.6,171,187,0 days 00:08:09,0 days 00:07:20,33,20,1.15,0.0,0.0,0.0,0.0,0.0,40:50,0:00,55.4,0:00,No,00:02.44,6,0.0,11,garmin,0,6.586826347305389,0.8538011695906432,10.797546012269937,7.361963190184048,10.797554414208117,12.646450718010877
20,21,2020-12-20,Running,False,Montgomery County Running,16.01,"1,520",02:06:22,154,173,4.0,174,196,0 days 00:07:54,0 days 00:05:52,105,125,1.17,0.0,0.0,0.0,0.0,0.0,2:06:22,0:00,59.0,0:00,No,00:02.11,17,0.0,11,garmin,0,6.558400999375389,0.9005847953216374,11.139240506329113,7.594936708860759,11.139249099501157,12.368906467627909
21,22,2020-12-25,Running,False,Montgomery County - Run - 4x10 minut,5.61,571,00:47:35,152,166,3.6,173,185,0 days 00:08:28,0 days 00:07:51,33,43,1.1,0.0,0.0,0.0,0.0,0.0,47:35,0:00,46.4,0:00,No,01:34.70,8,0.0,11,garmin,0,5.88235294117647,0.8888888888888888,10.393700787401574,7.086614173228346,10.393707237619562,11.692920642322008
22,23,2020-12-28,Running,False,Honolulu Running,3.27,361,00:31:16,144,162,3.2,169,186,0 days 00:09:33,0 days 00:07:32,3,10,1.0,0.0,0.0,0.0,0.0,0.0,31:16,0:00,73.4,0:00,No,02:26.77,4,0.0,11,garmin,0,0.9174311926605504,0.8421052631578947,9.214659685863873,6.282722513089005,9.2146598249643,10.942408542145108
23,24,2021-01-04,Running,False,Montgomery County Running,4.8,500,00:40:02,154,182,4.3,169,193,0 days 00:08:20,0 days 00:06:29,30,36,1.14,0.0,0.0,0.0,0.0,0.0,40:02,0:00,75.2,0:00,No,00:30.90,10,0.0,11,garmin,0,6.25,0.9005847953216374,10.559999999999999,7.199999999999999,10.560007398198165,11.725722500596664
24,25,2021-01-11,Running,False,Montgomery County - 5x2min Surges,5.72,534,00:45:02,149,170,4.2,174,191,0 days 00:07:53,0 days 00:06:21,66,52,1.17,0.0,0.0,0.0,0.0,0.0,45:02,0:00,46.4,0:00,No,00:01.80,14,0.0,11,garmin,0,11.538461538461538,0.8713450292397661,11.162790697674417,7.6109936575052854,11.16281735215575,12.811018571937137
25,26,2021-01-14,Running,False,"Montgomery County - 20 secs, 1 min,",3.08,263,00:22:48,144,161,3.2,171,193,0 days 00:07:25,0 days 00:06:11,59,39,1.27,0.0,0.0,0.0,0.0,0.0,22:48,0:00,69.8,0:00,No,00:20.00,8,0.0,11,garmin,0,19.155844155844154,0.8421052631578947,11.865168539325841,8.089887640449438,11.865246626055043,14.089980368440365
26,27,2021-01-17,Running,False,Sugar Land Running,13.27,875,01:35:21,146,171,4.3,179,194,0 days 00:07:11,0 days 00:05:26,200,223,1.25,0.0,0.0,0.0,0.0,0.0,1:35:21,0:00,46.4,0:00,No,00:42.84,15,0.0,11,garmin,1,15.071590052750565,0.8538011695906432,12.25058004640371,8.352668213457076,12.250629955082438,14.348340563829431
