date,activity_type,favorite,title,distance,calories,time,avg_hr,max_hr,aerobic_te,avg_run_cadence,max_run_cadence,avg_pace,best_pace,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_ground_contact_time,avg_gct_balance,training_stress_scoreâ,grit,flow,total_strokes,avg__swolf,avg_stroke_rate,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,athlete_id,filetype,is_race
2020-06-12,Running,False,Fairfax County Running,0.88,71,00:07:17.2,164,187,2.1,172,220,0 days 00:08:18,0 days 00:04:27,21,20,1.13,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,7:17.2,0:00,0.0,0:00,No,07:17.20,1,0.0,12,garmin,0
2020-06-14,Running,False,Fairfax County Running,1.81,140,00:13:07,175,196,3.1,179,188,0 days 00:07:16,0 days 00:06:34,70,104,1.24,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,13:07,0:00,0.0,0:00,No,05:42.18,2,0.0,12,garmin,0
2020-06-15,Running,False,Fairfax County Running,1.82,104,00:13:20,140,161,2.0,179,189,0 days 00:07:21,0 days 00:06:36,45,74,1.23,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,13:20,0:00,0.0,0:00,No,05:47.29,2,0.0,12,garmin,0
2020-06-17,Running,False,Fairfax County Running,1.80,142,00:13:21,169,198,2.9,179,189,0 days 00:07:24,0 days 00:06:38,48,70,1.21,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,13:21,0:00,0.0,0:00,No,05:46.68,2,0.0,12,garmin,0
2020-06-22,Running,False,Fairfax County Running,0.98,81,00:07:47.4,167,189,2.2,175,185,0 days 00:07:58,0 days 00:07:06,37,12,1.16,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,7:47.4,0:00,0.0,0:00,No,07:47.45,1,0.0,12,garmin,0
2020-06-24,Running,False,Fairfax County Running,1.82,135,00:13:15,163,197,2.7,177,187,0 days 00:07:17,0 days 00:06:23,64,94,1.25,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,13:15,0:00,0.0,0:00,No,05:50.21,2,0.0,12,garmin,0
2020-06-27,Running,False,Fairfax County Running,0.62,76,00:08:33.3,148,182,2.0,150,250,0 days 00:13:53,0 days 00:03:51,0,6,0.77,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,8:33.3,0:00,0.0,0:00,No,08:33.25,1,0.0,12,garmin,0
2020-06-29,Running,False,Fairfax County Running,1.80,154,00:13:15,183,202,3.2,176,189,0 days 00:07:21,0 days 00:06:36,70,79,1.24,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,13:15,0:00,0.0,0:00,No,05:44.95,2,0.0,12,garmin,0
2020-07-02,Running,False,Fairfax County Running,1.23,97,00:08:54.5,177,194,2.6,176,187,0 days 00:07:15,0 days 00:06:53,40,41,1.26,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,8:54.5,0:00,0.0,0:00,No,01:33.19,2,0.0,12,garmin,0
2020-07-03,Running,False,Fairfax County Running,0.84,94,00:09:25.2,164,184,2.3,157,247,0 days 00:11:15,0 days 00:04:08,7,6,0.91,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,9:25.2,0:00,0.0,0:00,No,09:25.21,1,0.0,12,garmin,0
2020-07-05,Running,False,Fairfax County Running,1.29,93,00:09:30.1,162,198,2.5,178,189,0 days 00:07:21,0 days 00:06:22,42,36,1.23,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,9:30.1,0:00,0.0,0:00,No,02:06.32,2,0.0,12,garmin,0
2020-07-07,Running,False,Fairfax County Running,1.81,147,00:13:07,178,198,3.0,178,193,0 days 00:07:15,0 days 00:06:25,58,90,1.25,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,13:07,0:00,0.0,0:00,No,05:43.85,2,0.0,12,garmin,0
2020-07-08,Running,False,Fairfax County Running,1.00,106,00:10:17,167,191,2.4,172,228,0 days 00:10:17,0 days 00:04:26,0,0,0.91,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,10:17,0:00,0.0,0:00,No,10:16.72,1,0.0,12,garmin,0
2020-07-10,Running,False,Fairfax County Running,1.79,121,00:13:11,154,195,2.5,179,193,0 days 00:07:21,0 days 00:06:39,63,88,1.23,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,13:11,0:00,0.0,0:00,No,05:38.95,2,0.0,12,garmin,0
