,index,date,activity_type,favorite,title,distance,calories,time,avg_hr,max_hr,aerobic_te,avg_run_cadence,max_run_cadence,avg_pace,best_pace,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_ground_contact_time,avg_gct_balance,avg_run_cadence_1,max_run_cadence_1,normalized_powerâ_npâ,training_stress_scoreâ,max_avg_power_20_min,avg_power,max_power,grit,flow,total_strokes,avg__swolf,avg_stroke_rate,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,avg_resp,min_resp,max_resp,athlete_id,filetype,is_race,ft_per_mile,intensity,spd_ft_s,spd_mph,GAP_ft_s,GAP_by_intensity
0,0,2020-06-10,Running,False,Longmont Running,8.01,922,01:07:52,154,174,3.5,175,195,0 days 00:08:29,0 days 00:06:51,200,190,1.08,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,1:07:52,0:00,62.6,0:00,No,00:02.14,9,0.0,14,14,14,12,garmin,0,24.968789013732835,0.9005847953216374,10.37328094302554,7.072691552062869,10.373396930430168,11.518512175997135
1,1,2020-06-10,Running,False,Longmont Running,3.72,426,00:32:08,141,155,2.5,182,240,0 days 00:08:38,0 days 00:06:22,92,72,1.03,8.3,8.7,233,48.4% L / 51.6% R,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,32:08,0:00,78.8,0:00,No,05:40.30,4,0.0,36,14,47,12,garmin,0,24.731182795698924,0.8245614035087719,10.193050193050192,6.94980694980695,10.193162006414498,12.36191988011971
2,2,2020-06-11,Running,False,Longmont Running,10.0,"1,111",01:22:49,149,163,3.3,180,233,0 days 00:08:17,0 days 00:06:58,230,236,1.08,8.0,8.9,231,48.7% L / 51.3% R,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,1:22:49,0:00,62.6,0:00,No,00:02.38,11,0.0,32,19,43,12,garmin,0,23.0,0.8713450292397661,10.62374245472837,7.2434607645875255,10.62384324840912,12.192464399180936
3,3,2020-06-11,Running,False,Boulder County Running,4.0,522,00:36:47,147,163,2.8,170,211,0 days 00:09:12,0 days 00:05:17,358,344,1.04,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,36:47,0:00,82.4,0:00,No,00:01.81,5,0.0,18,18,18,12,garmin,0,89.5,0.8596491228070176,9.565217391304348,6.521739130434783,9.566591470872105,11.128483955912449
4,4,2020-06-12,Running,False,Longmont Running,3.16,355,00:29:59,133,151,2.0,171,191,0 days 00:09:30,0 days 00:07:51,128,112,0.99,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,29:59,0:00,82.4,0:00,No,01:19.14,4,0.0,18,18,18,12,garmin,0,40.506329113924046,0.7777777777777778,9.26315789473684,6.315789473684211,9.263430478893792,11.910124901434875
5,5,2020-06-13,Running,False,Boulder County Running,13.01,"1,963",02:52:15,146,171,3.8,139,246,0 days 00:13:14,0 days 00:07:46,2664,"2,635",0.87,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,2:52:15,0:00,69.8,0:00,No,00:03.70,14,0.0,11,11,11,12,garmin,0,204.76556495003842,0.8538011695906432,6.649874055415617,4.534005037783375,6.654872860757284,7.794405884859559
6,6,2020-06-16,Running,False,Longmont Running,7.68,899,01:16:08,146,185,3.1,160,256,0 days 00:09:55,0 days 00:06:12,554,561,1.0,7.8,7.8,253,49.1% L / 50.9% R,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,1:16:08,0:00,78.8,0:00,No,01:34.62,23,0.0,32,14,42,12,garmin,0,72.13541666666667,0.8538011695906432,8.873949579831933,6.050420168067228,8.87477770491954,10.394431421515351
7,7,2020-06-17,Running,False,Longmont Running,8.29,953,01:18:01,142,156,3.0,172,248,0 days 00:09:25,0 days 00:07:11,112,102,1.0,8.8,8.9,243,48.8% L / 51.2% R,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,1:18:01,0:00,71.6,0:00,No,02:57.34,9,0.0,32,18,46,12,garmin,0,13.510253317249699,0.8304093567251462,9.345132743362832,6.371681415929204,9.345163335788069,11.253682608589859
8,16,2020-06-25,Running,False,Boulder County Running,10.31,"1,445",01:58:40,148,165,3.5,165,256,0 days 00:11:30,0 days 00:08:02,974,"1,007",0.86,10.0,8.6,278,49.1% L / 50.9% R,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,1:58:40,0:00,69.8,0:00,No,02:52.57,11,0.0,31,12,40,12,garmin,0,94.4713870029098,0.8654970760233918,7.652173913043478,5.217391304347826,7.653398678193429,8.842778202507272
9,21,2020-06-28,Running,False,Boulder Running,7.44,"1,206",02:46:17,115,157,2.4,96,246,0 days 00:22:22,0 days 00:07:51,3353,"3,294",0.73,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,2:46:17,0:00,66.2,0:00,No,05:54.13,8,0.0,13,13,13,12,garmin,0,450.67204301075265,0.672514619883041,3.9344262295081966,2.682563338301043,3.948732154769852,5.871593030136041
