date,activity_type,favorite,title,distance,calories,time,avg_hr,max_hr,aerobic_te,avg_run_cadence,max_run_cadence,avg_speed,max_speed,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_ground_contact_time,avg_gct_balance,avg_bike_cadence,max_bike_cadence,normalized_powerâ_npâ,training_stress_scoreâ,max_avg_power_20_min,avg_power,max_power,grit,flow,total_strokes,avg__swolf,avg_stroke_rate,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,race,athlete_id,filetype,is_race,avg_pace,best_pace
2018-10-24,Running,False,Sparta Running,5.57,640,00:45:05,139,149.0,2.5,158,173,8:05,6:46,157,125,1.24,8.6,10.8,262,47.6% L / 52.4% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,45:05,0:00,57.2,0:00,No,00:00.00,6.0,0.0,0,2,garmin,0,0 days 00:08:05,0 days 00:08:05
2018-10-25,Running,False,Benton Running,1.02,100,00:08:14.7,122,132.0,0.7,161,172,8:07,6:30,52,30,1.23,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,8:14.7,0:00,55.4,0:00,No,00:00.00,2.0,0.0,0,2,garmin,0,0 days 00:08:07,0 days 00:08:07
2018-10-25,Pool Swimming,False,Lap Swimming,"3,800",864,01:24:52,0,0.0,0.1,0,0,1:24,1:02,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,1431,31,28,1:24:52,0:00,80.6,0:00,No,00:00.00,92.0,0.0,0,2,garmin,0,0 days 00:01:24,0 days 00:01:24
2018-10-25,Running,False,Benton Running,1.03,160,00:10:13,142,158.0,2.0,130,172,9:52,7:22,49,43,1.32,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,10:13,0:00,62.6,0:00,No,00:00.00,2.0,0.0,0,2,garmin,0,0 days 00:09:52,0 days 00:09:52
2018-10-26,Running,False,Sparta Running,5.53,688,00:48:02,140,156.0,2.9,151,256,8:41,3:09,112,102,1.25,8.3,10.6,268,47.6% L / 52.4% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,48:02,0:00,51.8,0:00,No,00:00.00,15.0,0.0,0,2,garmin,0,0 days 00:08:41,0 days 00:08:41
2018-10-28,Cycling,False,Sparta Cycling,48.32,"1,487",03:00:26,121,141.0,2.2,0,0,16.1,30.4,"1,371","1,407",0.0,0.0,0.0,0,0,89,115,0.0,0.0,0,0,0.0,0.0,0.0,14984,0,0,3:00:26,0:00,64.4,0:00,No,00:00.00,10.0,0.0,0,2,garmin,0,00:00:00,00:00:00
2018-10-29,Cycling,False,Sparta Cycling,23.92,772,01:35:15,116,135.0,1.4,0,0,15.1,31.5,499,479,0.0,0.0,0.0,0,0,88,108,0.0,0.0,0,0,0.0,0.0,0.0,7005,0,0,1:35:15,0:00,64.4,0:00,No,00:00.00,5.0,0.0,0,2,garmin,0,00:00:00,00:00:00
2018-10-30,Running,False,Sparta Running,7.40,858,01:00:05,143,154.0,2.8,158,174,8:07,6:17,148,118,1.24,8.7,11.1,256,47.1% L / 52.9% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1:00:05,0:00,51.8,0:00,No,00:00.00,8.0,0.0,0,2,garmin,0,0 days 00:08:07,0 days 00:08:07
2018-10-30,Running,False,Sparta Running,2.61,371,00:24:51,145,165.0,2.6,146,211,9:30,4:11,138,118,1.16,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,24:51,0:00,78.8,0:00,No,00:00.00,3.0,0.0,0,2,garmin,0,0 days 00:09:30,0 days 00:09:30
2018-10-30,Pool Swimming,False,Lap Swimming,"3,800",672,01:15:59,0,0.0,0.0,0,0,1:25,1:05,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,1122,31,28,1:15:59,0:00,80.6,0:00,No,00:00.00,74.0,0.0,0,2,garmin,0,0 days 00:01:25,0 days 00:01:25
