,index,date,activity_type,favorite,title,distance,calories,time,avg_hr,max_hr,aerobic_te,avg_run_cadence,max_run_cadence,avg_speed,max_speed,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_ground_contact_time,avg_gct_balance,avg_bike_cadence,max_bike_cadence,normalized_powerâ_npâ,training_stress_scoreâ,max_avg_power_20_min,avg_power,max_power,grit,flow,total_strokes,avg__swolf,avg_stroke_rate,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,race,athlete_id,filetype,is_race,avg_pace,best_pace,ft_per_mile,intensity,spd_ft_s,spd_mph,GAP_ft_s,GAP_by_intensity
0,2,2018-07-07,Running,False,Sparta Running,10.67,"1,133",01:30:09,138,157.0,3.0,156,167,8:27,7:01,200,194,1.21,8.9,10.9,262,47.5% L / 52.5% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1:30:09,0:00,75.2,0:00,No,00:00.00,13.0,0.0,0,2,garmin,0,0 days 00:08:27,0 days 00:08:27,18.744142455482663,0.7885714285714286,10.414201183431953,7.100591715976332,10.414266806707875,13.206497762129551
1,4,2018-07-09,Running,False,Sparta Running,13.97,"1,447",02:01:01,138,152.0,3.2,154,256,8:40,7:25,253,276,1.19,9.3,11.3,259,47.7% L / 52.3% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,2:01:01,0:00,73.4,0:00,No,00:00.00,14.0,0.0,0,2,garmin,0,0 days 00:08:40,0 days 00:08:40,18.11023622047244,0.7885714285714286,10.153846153846153,6.923076923076923,10.15390588208248,12.876329922930681
2,8,2018-07-12,Running,False,Sparta Running,14.84,"1,796",02:09:18,150,165.0,3.7,151,256,8:43,5:24,256,249,1.23,8.3,10.4,270,47.9% L / 52.1% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,2:09:18,0:00,80.6,0:00,No,00:00.00,49.0,0.0,0,2,garmin,0,0 days 00:08:43,0 days 00:08:43,17.250673854447438,0.8571428571428571,10.095602294455066,6.8833652007648185,10.09565617666042,11.778265539437157
3,10,2018-07-14,Running,False,Sparta Running,4.97,666,00:41:08,152,163.0,3.7,156,173,8:16,7:25,98,95,1.22,8.8,11.0,255,47.2% L / 52.8% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,41:08,0:00,82.4,0:00,No,00:00.00,5.0,0.0,0,2,garmin,0,0 days 00:08:16,0 days 00:08:16,19.71830985915493,0.8685714285714285,10.645161290322578,7.258064516129031,10.645235522511157,12.256027739733241
4,12,2018-07-14,Running,False,Sparta Running,4.01,535,00:32:41,156,167.0,3.5,156,172,8:10,7:19,72,82,1.24,8.5,10.8,253,46.8% L / 53.2% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,32:41,0:00,82.4,0:00,No,00:00.00,5.0,0.0,0,2,garmin,0,0 days 00:08:10,0 days 00:08:10,17.955112219451372,0.8914285714285715,10.775510204081632,7.346938775510204,10.775572507947356,12.087981980069149
5,14,2018-07-14,Running,False,Sparta Running,3.01,406,00:23:55,162,175.0,3.4,157,162,7:57,7:13,43,39,1.26,8.3,10.7,254,46.8% L / 53.2% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,23:55,0:00,84.2,0:00,No,00:00.00,4.0,0.0,0,2,garmin,0,0 days 00:07:57,0 days 00:07:57,14.285714285714286,0.9257142857142857,11.069182389937106,7.547169811320755,11.069222905402127,11.957493879292421
6,15,2018-07-15,Running,False,Sparta Running,9.28,"1,017",01:20:13,138,160.0,3.0,153,170,8:39,6:47,184,180,1.21,8.7,10.7,273,47.6% L / 52.4% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1:20:13,0:00,77.0,0:00,No,00:00.00,12.0,0.0,0,2,garmin,0,0 days 00:08:39,0 days 00:08:39,19.82758620689655,0.7885714285714286,10.173410404624278,6.936416184971098,10.173482135624461,12.901154882132468
7,18,2018-07-18,Running,False,Sparta Running,11.39,"1,086",01:41:10,134,148.0,2.5,150,256,8:53,6:02,187,197,1.23,8.4,10.5,270,48.0% L / 52.0% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1:41:10,0:00,73.4,0:00,No,00:00.00,36.0,0.0,0,2,garmin,0,0 days 00:08:53,0 days 00:08:53,16.417910447761194,0.7657142857142857,9.906191369606004,6.75422138836773,9.906239259468263,12.93725276423094
8,21,2018-07-20,Running,False,Sparta Running,8.27,"1,037",01:10:04,144,159.0,3.2,154,256,8:28,6:22,164,151,1.21,8.9,11.0,259,47.7% L / 52.3% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1:10:04,0:00,84.2,0:00,No,00:00.00,10.0,0.0,0,2,garmin,0,0 days 00:08:28,0 days 00:08:28,19.830713422007257,0.8228571428571428,10.393700787401574,7.086614173228346,10.393774094750656,12.631322684592812
9,23,2018-07-21,Running,False,Sparta Running,2.34,244,00:20:07,129,137.0,1.6,154,165,8:36,7:25,39,36,1.2,9.0,11.0,258,47.3% L / 52.7% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,20:07,0:00,77.0,0:00,No,00:00.00,3.0,0.0,0,2,garmin,0,0 days 00:08:36,0 days 00:08:36,16.666666666666668,0.7371428571428571,10.232558139534882,6.976744186046512,10.232609117535427,13.881446477276743
10,26,2018-07-24,Running,False,Sparta Running,2.99,319,00:25:51,131,140.0,1.9,154,171,8:39,7:23,85,85,1.19,9.3,11.2,269,47.8% L / 52.2% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,25:51,0:00,82.4,0:00,No,00:00.00,3.0,0.0,0,2,garmin,0,0 days 00:08:39,0 days 00:08:39,28.42809364548495,0.7485714285714286,10.173410404624278,6.936416184971098,10.173557860149831,13.59063072920779
11,27,2018-07-25,Running,False,Renton Running,6.06,671,00:58:54,129,147.0,2.1,144,256,9:43,6:31,630,594,1.13,9.5,10.7,283,48.4% L / 51.6% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,58:54,0:00,78.8,0:00,No,00:00.00,7.0,0.0,0,2,garmin,0,0 days 00:09:43,0 days 00:09:43,103.96039603960396,0.7371428571428571,9.056603773584905,6.174957118353345,9.058359113758549,12.288471665951521
12,33,2018-08-08,Running,False,Sparta Running,6.19,703,00:55:48,135,148.0,2.3,155,165,9:01,7:47,108,115,1.15,9.6,11.2,265,48.8% L / 51.2% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,55:48,0:00,71.6,0:00,No,00:00.00,7.0,0.0,0,2,garmin,0,0 days 00:09:01,0 days 00:09:01,17.447495961227787,0.7714285714285715,9.759704251386319,6.6543438077634,9.759757536248163,12.651537546988358
13,38,2018-08-12,Running,False,Sparta Running,8.74,975,01:15:13,140,152.0,2.8,154,197,8:36,7:14,174,171,1.2,8.9,10.9,268,48.1% L / 51.9% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1:15:13,0:00,78.8,0:00,No,00:00.00,9.0,0.0,0,2,garmin,0,0 days 00:08:36,0 days 00:08:36,19.908466819221967,0.8,10.232558139534882,6.976744186046512,10.232630877386212,12.790788596732764
14,40,2018-08-14,Running,False,Sparta Running,2.71,327,00:20:17,151,162.0,3.1,161,168,7:28,6:54,52,49,1.32,8.0,10.8,242,47.5% L / 52.5% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,20:17,0:00,78.8,0:00,No,00:00.00,3.0,0.0,0,2,garmin,0,0 days 00:07:28,0 days 00:07:28,19.18819188191882,0.8628571428571429,11.785714285714283,8.035714285714285,11.785792111719603,13.65903059305252
15,42,2018-08-15,Running,False,Sparta Running,6.75,794,01:02:40,138,161.0,2.6,150,256,9:17,2:46,108,95,1.15,8.8,10.3,277,48.3% L / 51.7% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1:02:40,0:00,68.0,0:00,No,00:00.00,23.0,0.0,0,2,garmin,0,0 days 00:09:17,0 days 00:09:17,16.0,0.7885714285714286,9.47935368043088,6.4631956912028725,9.47939720353427,12.020974714626792
16,43,2018-08-15,Running,False,Sparta Running,0.71,75,00:04:44.9,147,164.0,1.7,169,181,6:40,5:10,3,10,1.43,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,4:44.9,0:00,86.0,0:00,No,00:00.00,1.0,0.0,0,2,garmin,0,0 days 00:06:40,0 days 00:06:40,4.225352112676057,0.84,13.2,9.0,13.20000422670398,15.714290746076166
17,44,2018-08-16,Running,False,Sparta Running,7.33,880,01:00:18,145,168.0,3.6,157,172,8:14,6:06,157,171,1.23,9.0,11.2,249,48.2% L / 51.8% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1:00:18,0:00,75.2,0:00,No,00:00.00,14.0,0.0,0,2,garmin,0,0 days 00:08:14,0 days 00:08:14,21.41882673942701,0.8285714285714286,10.68825910931174,7.287449392712551,10.688347051790338,12.899729200436614
18,48,2018-08-18,Running,False,Sparta Running,3.6,463,00:30:06,147,160.0,3.2,154,171,8:22,6:07,62,59,1.23,9.1,11.5,261,47.5% L / 52.5% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,30:06,0:00,77.0,0:00,No,00:00.00,6.0,0.0,0,2,garmin,0,0 days 00:08:22,0 days 00:08:22,17.22222222222222,0.84,10.51792828685259,7.171314741035856,10.517984238075982,12.521409807233313
