date,activity_type,favorite,title,distance,calories,time,avg_hr,max_hr,aerobic_te,avg_run_cadence,max_run_cadence,avg_pace,best_pace,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_ground_contact_time,avg_gct_balance,avg_run_cadence_1,max_run_cadence_1,normalized_powerâ_npâ,lr_balance,training_stress_scoreâ,max_avg_power_20_min,avg_power,max_power,grit,flow,total_strokes,avg__swolf,avg_stroke_rate,total_reps,total_sets,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,avg_resp,min_resp,max_resp,athlete_id,filetype,is_race
2018-04-04,Pool Swimming,False,Lap Swimming,"4,500",879,01:29:42,0,0,0.0,0,0,0 days 00:01:26,0 days 00:01:15,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,1344,29,22,0,0,1:29:42,0:00,0.0,0:00,No,00:00.00,98,0.0,0,0,0,3,garmin,0
2018-04-04,Running,False,Lafayette Running,6.76,742,00:50:05,145,158,2.6,181,191,0 days 00:07:24,0 days 00:06:38,190,210,1.2,7.4,9.0,249,48.4% L / 51.6% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,50:05,0:00,0.0,0:00,No,00:00.00,2,0.0,0,0,0,3,garmin,0
2018-04-05,Hiking,False,Jefferson County Hiking,4.80,489,02:31:28,85,133,1.1,73,256,0 days 00:31:33,0 days 00:08:30,"1,270","1,207",0.72,11.3,7.6,647,50.2% L / 49.8% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,2:31:28,0:00,0.0,0:00,No,00:00.00,5,0.0,0,0,0,3,garmin,0
2018-04-05,Indoor Cycling,False,Indoor Cycling,0.00,"1,190",01:30:04,134,156,3.6,0,0,0 days 00:00:00,0 days 00:00:00,0,0,0.0,0.0,0.0,0,0,87,102,232,48% L / 52% R,75.8,258,221,326,0.0,0.0,7890,0,0,0,0,1:30:04,0:00,0.0,0:00,No,00:00.00,10,0.0,0,0,0,3,garmin,0
2018-04-06,Pool Swimming,False,Lap Swimming,"3,100",587,01:07:47,0,0,0.0,0,0,0 days 00:01:32,0 days 00:01:08,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,879,31,21,0,0,1:07:47,0:00,0.0,0:00,No,00:00.00,82,0.0,0,0,0,3,garmin,0
2018-04-06,Treadmill Running,False,Treadmill Running,3.61,315,00:30:12,135,159,1.8,175,187,0 days 00:08:22,0 days 00:06:34,3,0,1.1,7.8,8.9,263,49.4% L / 50.6% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,30:12,0:00,0.0,0:00,No,00:00.00,1,0.0,0,0,0,3,garmin,0
2018-04-07,Indoor Cycling,False,Indoor Cycling,0.00,"3,423",05:00:32,130,150,3.3,0,0,0 days 00:00:00,0 days 00:00:00,0,0,0.0,0.0,0.0,0,0,93,102,196,47% L / 53% R,180.3,217,190,373,0.0,0.0,28234,0,0,0,0,5:00:32,0:00,0.0,0:00,No,00:00.00,5,0.0,0,0,0,3,garmin,0
2018-04-07,Running,False,Lafayette Running,2.77,341,00:20:07,155,168,2.6,178,186,0 days 00:07:16,0 days 00:06:34,66,56,1.25,7.6,9.7,250,48.1% L / 51.9% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,20:07,0:00,0.0,0:00,No,00:00.00,2,0.0,0,0,0,3,garmin,0
2018-04-08,Running,False,Lafayette Running,10.63,"1,159",01:20:44,146,162,2.8,181,195,0 days 00:07:36,0 days 00:06:51,387,427,1.17,7.4,8.9,253,49.1% L / 50.9% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1:20:44,0:00,0.0,0:00,No,00:00.00,1,0.0,0,0,0,3,garmin,0
2018-04-08,Indoor Cycling,False,Indoor Cycling,0.00,540,01:00:02,118,133,2.0,0,0,0 days 00:00:00,0 days 00:00:00,0,0,0.0,0.0,0.0,0,0,89,96,159,46% L / 54% R,23.5,175,150,230,0.0,0.0,5395,0,0,0,0,1:00:02,0:00,0.0,0:00,No,00:00.00,3,0.0,0,0,0,3,garmin,0
2018-04-08,Running,False,Lafayette Running,5.13,616,00:40:03,145,159,2.6,179,210,0 days 00:07:48,0 days 00:07:18,194,177,1.15,7.7,9.1,254,48.9% L / 51.1% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,40:03,0:00,0.0,0:00,No,00:00.00,1,0.0,0,0,0,3,garmin,0
2018-04-08,Pool Swimming,False,Lap Swimming,"2,100",400,00:40:37,0,0,0.0,0,0,0 days 00:01:29,0 days 00:01:18,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,659,30,22,0,0,40:37,0:00,0.0,0:00,No,00:00.00,36,0.0,0,0,0,3,garmin,0
2018-04-09,Pool Swimming,False,Lap Swimming,"4,000",788,01:26:18,0,0,0.0,0,0,0 days 00:01:31,0 days 00:00:59,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,1216,31,23,0,0,1:26:18,0:00,0.0,0:00,No,00:00.00,94,0.0,0,0,0,3,garmin,0
2018-04-10,Pool Swimming,False,Lap Swimming,"4,000",807,01:11:48,0,0,0.0,0,0,0 days 00:01:27,0 days 00:00:58,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,1201,30,22,0,0,1:11:48,0:00,0.0,0:00,No,00:00.00,72,0.0,0,0,0,3,garmin,0
2018-04-10,Indoor Cycling,False,Indoor Cycling,0.00,635,01:00:02,119,159,2.1,0,0,0 days 00:00:00,0 days 00:00:00,0,0,0.0,0.0,0.0,0,0,88,99,225,48% L / 52% R,47.2,234,180,530,0.0,0.0,5323,0,0,0,0,1:00:02,0:00,0.0,0:00,No,00:00.00,19,0.0,0,0,0,3,garmin,0
2018-04-10,Running,False,Lafayette Running,2.37,245,00:20:05,132,142,1.6,176,184,0 days 00:08:28,0 days 00:07:10,56,46,1.08,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,20:05,0:00,0.0,0:00,No,00:00.00,2,0.0,0,0,0,3,garmin,0
2018-04-11,Running,False,Lafayette Running,7.26,731,00:55:06,144,164,2.5,178,237,0 days 00:07:35,0 days 00:06:04,180,157,1.19,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,55:06,0:00,0.0,0:00,No,00:00.00,11,0.0,0,0,0,3,garmin,0
2018-04-11,Indoor Cycling,False,Indoor Cycling,0.00,791,01:00:03,133,153,2.8,0,0,0 days 00:00:00,0 days 00:00:00,0,0,0.0,0.0,0.0,0,0,84,93,232,49% L / 51% R,50.4,247,221,343,0.0,0.0,5081,0,0,0,0,1:00:03,0:00,0.0,0:00,No,00:00.00,13,0.0,0,0,0,3,garmin,0
2018-04-12,Running,False,Lafayette Running,2.25,193,00:20:43,119,136,1.3,169,178,0 days 00:09:11,0 days 00:08:10,49,62,1.02,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,20:43,0:00,0.0,0:00,No,00:00.00,2,0.0,0,0,0,3,garmin,0
2018-04-12,Pool Swimming,False,Lap Swimming,"4,000",720,01:14:04,0,0,0.0,0,0,0 days 00:01:26,0 days 00:01:10,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,1119,29,22,0,0,1:14:04,0:00,0.0,0:00,No,00:00.00,68,0.0,0,0,0,3,garmin,0
