,index,date,activity_type,favorite,title,distance,calories,time,avg_hr,max_hr,aerobic_te,avg_run_cadence,max_run_cadence,avg_pace,best_pace,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_ground_contact_time,avg_gct_balance,avg_run_cadence_1,max_run_cadence_1,normalized_powerâ_npâ,lr_balance,training_stress_scoreâ,max_avg_power_20_min,avg_power,max_power,grit,flow,total_strokes,avg__swolf,avg_stroke_rate,total_reps,total_sets,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,avg_resp,min_resp,max_resp,athlete_id,filetype,is_race,ft_per_mile,intensity,spd_ft_s,spd_mph,GAP_ft_s,GAP_by_intensity
0,1,2018-02-01,Running,False,Lafayette Running,6.84,789,00:55:04,145,161,2.6,182,191,0 days 00:08:03,0 days 00:07:21,197,171,1.1,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,55:04,0:00,0.0,0:00,No,00:00.00,1,0.0,0,0,0,3,garmin,0,28.801169590643276,0.7837837837837838,10.931677018633538,7.453416149068322,10.931839650621017,13.947519554240607
1,3,2018-02-03,Running,False,Lafayette Running,2.85,332,00:26:01,136,151,2.0,170,178,0 days 00:09:07,0 days 00:08:10,62,69,1.03,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,26:01,0:00,0.0,0:00,No,00:00.00,2,0.0,0,0,0,3,garmin,0,21.75438596491228,0.7351351351351352,9.652650822669102,6.581352833638025,9.652732752219451,13.130555582063224
2,6,2018-02-04,Running,False,Lafayette Running,9.18,887,01:15:19,141,156,2.3,178,186,0 days 00:08:12,0 days 00:07:17,384,358,1.1,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1:15:19,0:00,0.0,0:00,No,00:00.00,1,0.0,0,0,0,3,garmin,0,41.830065359477125,0.7621621621621621,10.73170731707317,7.317073170731708,10.732044093163633,14.081050760533845
3,12,2018-02-06,Running,False,Lafayette Running,6.83,753,00:50:22,151,161,2.8,179,188,0 days 00:07:22,0 days 00:05:36,174,217,1.22,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,50:22,0:00,0.0,0:00,No,00:00.00,2,0.0,0,0,0,3,garmin,0,25.47584187408492,0.8162162162162162,11.945701357466064,8.144796380090499,11.94584040662748,14.635632286265457
4,15,2018-02-08,Running,False,Lafayette Running,7.76,855,01:00:18,147,162,2.6,180,190,0 days 00:07:46,0 days 00:07:01,246,269,1.15,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1:00:18,0:00,0.0,0:00,No,00:00.00,2,0.0,0,0,0,3,garmin,0,31.701030927835053,0.7945945945945946,11.33047210300429,7.725321888412017,11.33067632053612,14.259694689110084
5,20,2018-02-10,Running,False,Denver Running,4.09,531,00:35:01,146,158,2.5,174,184,0 days 00:08:34,0 days 00:08:06,95,89,1.08,7.2,7.8,273,48.9% L / 51.1% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,35:01,0:00,0.0,0:00,No,00:00.00,1,0.0,0,0,0,3,garmin,0,23.227383863080686,0.7891891891891892,10.27237354085603,7.003891050583658,10.272472937439376,13.016489681001948
6,22,2018-02-11,Running,False,Denver Running,6.13,663,00:51:17,142,164,2.2,175,182,0 days 00:08:22,0 days 00:07:37,121,135,1.1,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,51:17,0:00,0.0,0:00,No,00:00.00,1,0.0,0,0,0,3,garmin,0,19.73898858075041,0.7675675675675676,10.51792828685259,7.171314741035856,10.518001785718647,13.703030495478519
7,24,2018-02-13,Running,False,Denver Running,8.1,870,01:00:02,153,179,3.2,179,204,0 days 00:07:25,0 days 00:05:25,13,10,1.22,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1:00:02,0:00,0.0,0:00,No,00:00.00,25,0.0,0,0,0,3,garmin,0,1.6049382716049383,0.827027027027027,11.865168539325841,8.089887640449438,11.865169087467399,14.346773079617442
8,27,2018-02-15,Running,False,Lafayette Running,2.59,285,00:22:40,136,149,1.8,173,178,0 days 00:08:46,0 days 00:07:55,72,85,1.06,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,22:40,0:00,0.0,0:00,No,00:00.00,1,0.0,0,0,0,3,garmin,0,27.7992277992278,0.7351351351351352,10.03802281368821,6.844106463878326,10.038161941127786,13.654852640504709
9,30,2018-02-16,Running,False,Lafayette Running,3.26,385,00:26:36,146,157,2.2,177,184,0 days 00:08:10,0 days 00:07:23,59,62,1.11,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,26:36,0:00,0.0,0:00,No,00:00.00,2,0.0,0,0,0,3,garmin,0,18.098159509202453,0.7891891891891892,10.775510204081632,7.346938775510204,10.775573504641223,13.653980125744015
