date,activity_type,favorite,title,distance,calories,time,avg_hr,max_hr,aerobic_te,avg_run_cadence,max_run_cadence,avg_pace,best_pace,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_ground_contact_time,avg_gct_balance,avg_run_cadence_1,max_run_cadence_1,normalized_power_np,lr_balance,training_stress_score,max_avg_power_20_min,avg_power,max_power,grit,flow,total_strokes,avg__swolf,avg_stroke_rate,total_reps,total_sets,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,avg_resp,min_resp,max_resp,athlete_id,filetype,is_race
2018-05-10,Indoor Cycling,False,Indoor Cycling,0.00,"1,193",01:30:04,135,161,3.0,0,0,0 days 00:00:00,0 days 00:00:00,0,0,0.0,0.0,0.0,0,0,80,96,235,49% L / 51% R,77.7,251,222,341,0.0,0.0,7273,0,0,0,0,1:30:04,0:00,0.0,0:00,No,00:00.00,11,0.0,0,0,0,3,garmin,0
2018-05-10,Pool Swimming,False,Lap Swimming,"3,000",601,00:55:11,0,0,0.0,0,0,0 days 00:01:30,0 days 00:01:15,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,984,31,23,0,0,55:11,0:00,0.0,0:00,No,00:00.00,34,0.0,0,0,0,3,garmin,0
2018-05-11,Pool Swimming,False,Lap Swimming,"3,550",656,01:12:47,0,0,0.0,0,0,0 days 00:01:26,0 days 00:01:12,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,1006,30,23,0,0,1:12:47,0:00,0.0,0:00,No,00:00.00,66,0.0,0,0,0,3,garmin,0
2018-05-12,Indoor Cycling,False,Indoor Cycling,0.00,"2,595",03:30:35,123,141,3.0,0,0,0 days 00:00:00,0 days 00:00:00,0,0,0.0,0.0,0.0,0,0,89,97,211,48% L / 52% R,146.2,228,206,373,0.0,0.0,18742,0,0,0,0,3:30:35,0:00,0.0,0:00,No,00:00.00,3,0.0,0,0,0,3,garmin,0
2018-05-12,Running,False,Lafayette Running,3.59,421,00:26:17,148,161,2.5,176,186,0 days 00:07:19,0 days 00:06:37,62,56,1.25,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,26:17,0:00,0.0,0:00,No,00:00.00,2,0.0,0,0,0,3,garmin,0
2018-05-13,Running,False,Lafayette Running,10.01,992,01:15:40,142,163,2.4,179,190,0 days 00:07:33,0 days 00:06:44,331,338,1.19,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1:15:40,0:00,0.0,0:00,No,00:00.00,1,0.0,0,0,0,3,garmin,0
2018-05-13,Cycling,False,Lafayette Cycling,12.98,423,00:53:12,112,140,1.5,0,0,14.6,27.8,430,433,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,53:12,0:00,0.0,0:00,No,00:00.00,1,0.0,0,0,0,3,garmin,0
2018-05-14,Pool Swimming,False,Lap Swimming,"3,000",632,01:11:00,0,0,0.0,0,0,0 days 00:01:19,0 days 00:01:01,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,831,27,23,0,0,1:11:00,0:00,0.0,0:00,No,00:00.00,128,0.0,0,0,0,3,garmin,0
2018-05-14,Indoor Cycling,False,Indoor Cycling,0.00,588,01:00:06,110,125,1.6,0,0,0 days 00:00:00,0 days 00:00:00,0,0,0.0,0.0,0.0,0,0,87,95,174,47% L / 53% R,28.2,190,163,240,0.0,0.0,5276,0,0,0,0,1:00:06,0:00,0.0,0:00,No,00:00.00,3,0.0,0,0,0,3,garmin,0
2018-05-14,Running,False,Lafayette Running,3.63,329,00:30:18,127,137,1.6,174,183,0 days 00:08:21,0 days 00:07:17,72,89,1.1,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,30:18,0:00,0.0,0:00,No,00:00.00,2,0.0,0,0,0,3,garmin,0
