date,activity_type,favorite,title,distance,calories,time,avg_hr,max_hr,aerobic_te,avg_run_cadence,max_run_cadence,avg_pace,best_pace,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_run_cadence_1,max_run_cadence_1,normalized_powerâ_npâ,lr_balance,training_stress_scoreâ,max_avg_power_20_min,avg_power,max_power,grit,flow,total_strokes,avg__swolf,avg_stroke_rate,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,athlete_id,filetype,is_race
2019-04-11,Running,False,Lafayette Running,7.83,814,01:08:40,141,165,2.6,166,176,0 days 00:08:46,0 days 00:07:12,365,256,1.1,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,1:08:40,0:00,0.0,0:00,No,07:07.75,8,0.0,4,garmin,0
2019-04-12,Running,False,Lafayette Running,12.49,"1,284",01:47:51,143,167,2.8,168,175,0 days 00:08:38,0 days 00:07:27,276,272,1.11,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,1:47:51,0:00,0.0,0:00,No,04:21.57,13,0.0,4,garmin,0
2019-04-14,Running,False,Steamboat Springs Running,4.42,897,01:22:46,139,170,2.9,120,177,0 days 00:18:42,0 days 00:01:55,"2,075","2,071",0.72,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,1:22:46,0:00,0.0,0:00,No,01:38.12,5,0.0,4,garmin,0
2019-04-15,Running,False,Lafayette Running,6.75,802,00:59:37,150,170,3.4,166,172,0 days 00:08:50,0 days 00:07:28,371,63,1.1,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,59:37,0:00,0.0,0:00,No,06:48.01,7,0.0,4,garmin,0
2019-04-16,Running,False,Lafayette Running,5.06,492,00:44:55,135,149,2.2,166,172,0 days 00:08:53,0 days 00:06:54,60,57,1.09,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,44:55,0:00,0.0,0:00,No,00:32.38,6,0.0,4,garmin,0
2019-04-17,Running,False,Louisville Running,5.13,561,00:34:29,168,185,3.9,171,186,0 days 00:06:43,0 days 00:05:43,25,172,1.4,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,34:29,0:00,0.0,0:00,No,00:45.62,6,0.0,4,garmin,0
2019-04-18,Running,False,Lafayette Running,7.05,685,01:03:25,138,165,2.3,165,172,0 days 00:09:00,0 days 00:06:37,271,268,1.08,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,1:03:25,0:00,0.0,0:00,No,00:28.79,8,0.0,4,garmin,0
2019-04-19,Running,False,Lafayette Running,13.23,"1,698",01:53:54,159,181,4.5,167,172,0 days 00:08:36,0 days 00:07:11,343,330,1.12,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,1:53:54,0:00,0.0,0:00,No,02:01.14,14,0.0,4,garmin,0
2019-04-20,Running,False,Boulder Running,7.29,978,00:59:01,0,0,0.0,166,174,0 days 00:08:05,0 days 00:07:25,123,121,1.2,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,59:01,0:00,0.0,0:00,No,02:27.39,8,0.0,4,garmin,0
2019-04-22,Running,False,Lafayette - Fartlek 1H1E x 15,8.21,"1,068",01:04:53,0,0,0.0,169,190,0 days 00:07:54,0 days 00:05:24,170,167,1.2,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,1:04:53,0:00,0.0,0:00,No,01:00.00,34,0.0,4,garmin,0
