,index,date,activity_type,favorite,title,distance,calories,time,avg_hr,max_hr,aerobic_te,avg_run_cadence,max_run_cadence,avg_pace,best_pace,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_run_cadence_1,max_run_cadence_1,normalized_powerâ_npâ,lr_balance,training_stress_scoreâ,max_avg_power_20_min,avg_power,max_power,grit,flow,total_strokes,avg__swolf,avg_stroke_rate,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,athlete_id,filetype,is_race,ft_per_mile,intensity,spd_ft_s,spd_mph,GAP_ft_s,GAP_by_intensity
0,0,2020-01-01,Running,False,Morton Running,5.48,732,00:44:24,0,0,0.0,169,175,0 days 00:08:06,0 days 00:07:35,70,50,1.17,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,44:24,0:00,0.0,0:00,No,03:45.01,6,0.0,4,garmin,0,12.773722627737225,0.0,10.864197530864196,7.407407407407407,10.864229324056737,inf
1,1,2020-01-02,Running,False,Morton Running,2.05,268,00:16:51,0,0,0.0,171,193,0 days 00:08:14,0 days 00:06:46,22,19,1.15,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,16:51,0:00,0.0,0:00,No,00:21.03,3,0.0,4,garmin,0,10.731707317073171,0.0,10.68825910931174,7.287449392712551,10.688281186630283,inf
2,2,2020-01-03,Running,False,Morton Running,3.59,476,00:29:22,0,0,0.0,170,185,0 days 00:08:11,0 days 00:06:40,48,28,1.16,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,29:22,0:00,0.0,0:00,No,04:15.16,4,0.0,4,garmin,0,13.370473537604457,0.0,10.753564154786151,7.3319755600814664,10.753598633215304,inf
3,3,2020-01-04,Running,False,Morton Running,3.54,470,00:30:17,0,0,0.0,175,188,0 days 00:08:33,0 days 00:06:35,28,8,1.08,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,30:17,0:00,0.0,0:00,No,03:52.11,4,0.0,4,garmin,0,7.909604519774011,0.0,10.292397660818713,7.017543859649122,10.29240920938341,inf
4,4,2020-01-05,Running,False,Morton Running,1.25,160,00:09:09.7,0,0,0.0,172,185,0 days 00:07:20,0 days 00:06:05,98,72,1.27,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,9:09.7,0:00,0.0,0:00,No,01:37.21,2,0.0,4,garmin,0,78.4,0.0,11.999999999999998,8.181818181818182,12.001322792106315,inf
5,5,2020-01-06,Running,False,Morton Running,2.81,370,00:21:24,0,0,0.0,174,195,0 days 00:07:37,0 days 00:06:21,14,0,1.21,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,21:24,0:00,0.0,0:00,No,05:35.100,3,0.0,4,garmin,0,4.98220640569395,0.0,11.553610503282275,7.87746170678337,11.553615646835246,inf
6,6,2020-01-07,Running,False,Morton Running,2.94,391,00:25:57,0,0,0.0,170,183,0 days 00:08:49,0 days 00:07:06,29,25,1.07,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,25:57,0:00,0.0,0:00,No,08:20.87,3,0.0,4,garmin,0,9.863945578231293,0.0,9.98109640831758,6.805293005671078,9.981113825638975,inf
7,7,2020-01-08,Running,False,Morton Running,4.91,656,00:35:51,0,0,0.0,175,189,0 days 00:07:18,0 days 00:06:47,26,20,1.26,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,35:51,0:00,0.0,0:00,No,06:33.40,5,0.0,4,garmin,0,5.295315682281059,0.0,12.054794520547945,8.219178082191782,12.054800582961706,inf
8,8,2020-01-09,Running,False,Morton Running,1.21,163,00:13:17,0,0,0.0,171,179,0 days 00:10:59,0 days 00:08:26,10,7,0.86,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,13:17,0:00,0.0,0:00,No,02:01.00,2,0.0,4,garmin,0,8.264462809917356,0.0,8.012139605462822,5.462822458270106,8.012149420222286,inf
9,9,2020-01-10,Running,False,Morton Running,1.89,245,00:17:52,0,0,0.0,173,181,0 days 00:09:26,0 days 00:07:35,13,10,0.99,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,17:52,0:00,0.0,0:00,No,07:42.92,2,0.0,4,garmin,0,6.878306878306879,0.0,9.328621908127207,6.360424028268551,9.32862982370393,inf
