,index,date,activity_type,favorite,title,distance,calories,time,avg_hr,max_hr,avg_run_cadence,max_run_cadence,avg_pace,best_pace,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,training_stress_scoreâ,grit,flow,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,athlete_id,filetype,is_race,ft_per_mile,intensity,spd_ft_s,spd_mph,GAP_ft_s,GAP_by_intensity
0,0,2019-07-14,Running,False,Longview Running,3.25,478,00:33:12,168,188,144,160,0 days 00:10:12,0 days 00:08:59,128,180,1.1,0.0,0.0,0.0,0.0,0.0,33:12,0:00,0.0,0:00,No,02:46.07,4,0.0,5,garmin,0,39.38461538461539,0.96,8.627450980392156,5.882352941176471,8.627690991773312,8.987178116430533
1,1,2019-07-16,Running,False,Longview Running,3.0,456,00:32:30,169,185,143,154,0 days 00:10:49,0 days 00:07:20,7,26,1.04,0.0,0.0,0.0,0.0,0.0,32:30,0:00,0.0,0:00,No,00:02.09,4,0.0,5,garmin,0,2.3333333333333335,0.9657142857142857,8.135593220338983,5.546995377503852,8.135594014749406,8.424431672077787
2,2,2019-07-22,Running,False,Longview Running,3.17,456,00:33:07,163,186,137,159,0 days 00:10:26,0 days 00:07:45,144,210,1.12,0.0,0.0,0.0,0.0,0.0,33:07,0:00,0.0,0:00,No,01:53.44,4,0.0,5,garmin,0,45.42586750788644,0.9314285714285714,8.434504792332268,5.7507987220447285,8.4348169400559,9.055785058342224
3,3,2019-07-24,Running,False,Longview Running,4.01,605,00:39:12,176,190,145,155,0 days 00:09:46,0 days 00:07:41,13,43,1.14,0.0,0.0,0.0,0.0,0.0,39:12,0:00,0.0,0:00,No,00:08.11,5,0.0,5,garmin,0,3.2418952618453867,1.0057142857142858,9.010238907849828,6.143344709897611,9.010240606235762,8.959046057336694
4,4,2019-07-28,Running,False,Sonoma Running,4.06,575,00:38:43,168,183,139,158,0 days 00:09:32,0 days 00:06:57,43,95,1.21,0.0,0.0,0.0,0.0,0.0,38:43,0:00,0.0,0:00,No,00:36.22,5,0.0,5,garmin,0,10.591133004926109,0.96,9.23076923076923,6.293706293706294,9.230787801306137,9.615403959693893
5,5,2019-07-29,Running,False,Sonoma Running,3.0,441,00:32:21,160,183,138,160,0 days 00:10:47,0 days 00:07:08,200,249,1.07,0.0,0.0,0.0,0.0,0.0,32:21,0:00,0.0,0:00,No,09:10.18,3,0.0,5,garmin,0,66.66666666666667,0.9142857142857143,8.160741885625965,5.564142194744977,8.161392362670725,8.926522896671106
6,7,2019-08-01,Running,False,Longview Running,4.1,599,00:40:25,168,181,145,155,0 days 00:09:52,0 days 00:07:54,46,46,1.12,0.0,0.0,0.0,0.0,0.0,40:25,0:00,0.0,0:00,No,00:53.17,5,0.0,5,garmin,0,11.219512195121952,0.96,8.918918918918918,6.081081081081081,8.91893905439186,9.290561514991522
7,10,2019-08-06,Running,False,Longview Running,3.04,437,00:30:06,167,181,146,157,0 days 00:09:54,0 days 00:07:34,7,82,1.11,0.0,0.0,0.0,0.0,0.0,30:06,0:00,0.0,0:00,No,00:29.17,4,0.0,5,garmin,0,2.3026315789473686,0.9542857142857143,8.888888888888888,6.0606060606060606,8.888889734164868,9.31470481125061
8,17,2019-08-18,Running,False,Longview Running,8.25,"1,187",01:29:30,160,183,139,157,0 days 00:10:51,0 days 00:08:02,449,515,1.07,0.0,0.0,0.0,0.0,0.0,1:29:30,0:00,0.0,0:00,No,02:40.60,9,0.0,5,garmin,0,54.42424242424242,0.9142857142857143,8.110599078341012,5.529953917050691,8.111029930568897,8.871438986559731
9,19,2019-08-21,Running,False,Longview Running,6.5,975,01:10:09,164,185,137,158,0 days 00:10:47,0 days 00:08:21,194,269,1.08,0.0,0.0,0.0,0.0,0.0,1:10:09,0:00,0.0,0:00,No,05:18.14,7,0.0,5,garmin,0,29.846153846153847,0.9371428571428572,8.160741885625965,5.564142194744977,8.160872263855278,8.708247842528499
10,21,2019-09-01,Running,False,Yamhill County Running,13.15,"1,886",02:06:41,168,189,147,158,0 days 00:09:38,0 days 00:07:28,463,591,1.14,0.0,0.0,0.0,0.0,0.0,2:06:41,0:00,0.0,0:00,No,01:22.61,14,0.0,5,garmin,1,35.20912547528517,0.96,9.134948096885813,6.228373702422146,9.135151198741683,9.515782498689253
