,index,date,activity_type,favorite,title,distance,calories,time,avg_hr,max_hr,aerobic_te,avg_run_cadence,max_run_cadence,avg_pace,best_pace,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_ground_contact_time,avg_gct_balance,avg_run_cadence_1,max_run_cadence_1,normalized_powerâ_npâ,training_stress_scoreâ,max_avg_power_20_min,avg_power,max_power,grit,flow,total_strokes,avg__swolf,avg_stroke_rate,total_reps,total_sets,climb_time,max_depth,bottom_time,min_temp,gas_type,surface_interval,decompression,weight,current,surface_conditions,water_type,best_lap_time,number_of_laps,max_temp,avg_resp,min_resp,max_resp,stress_change,stress_start,stress_end,athlete_id,filetype,is_race,ft_per_mile,intensity,spd_ft_s,spd_mph,GAP_ft_s,GAP_by_intensity
0,0,2020-05-15,Running,False,Denver Running,2.08,251,00:20:55,146,164,2.8,143,176,0 days 00:10:03,0 days 00:09:06,39,59,1.11,12.1,13.4,307,50.5% L / 49.5% R,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,20:55,0,0:00,73.4,0,0:00,No,0.0,0,0,0,00:47.21,3,0.0,30,17,40,0,0,0,8,garmin,0,18.75,0.8342857142857143,8.756218905472636,5.970149253731343,8.756274115751994,10.495534042853418
1,2,2020-05-16,Running,False,Denver Running,5.37,659,01:01:34,138,165,3.1,139,256,0 days 00:11:28,0 days 00:08:21,167,167,1.01,11.9,12.2,319,50.3% L / 49.7% R,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1:01:34,0,0:00,80.6,0,0:00,No,0.0,0,0,0,03:55.20,6,0.0,29,12,39,0,0,0,8,garmin,0,31.098696461824954,0.7885714285714286,7.674418604651161,5.232558139534883,7.6745517200347555,9.732221384102045
2,3,2020-05-17,Running,False,Denver Running,1.04,127,00:10:10,143,160,2.3,146,156,0 days 00:09:48,0 days 00:09:18,33,16,1.13,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,10:10,0,0:00,68.0,0,0:00,No,0.0,0,0,0,00:24.28,2,0.0,36,21,42,0,0,0,8,garmin,1,31.73076923076923,0.8171428571428572,8.979591836734693,6.122448979591836,8.979753986392222,10.989209423906564
3,5,2020-05-17,Running,False,Denver Running,8.05,"1,088",01:19:06,164,185,5.0,149,208,0 days 00:09:49,0 days 00:08:33,318,299,1.1,11.6,13.0,305,49.9% L / 50.1% R,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1:19:06,0,0:00,71.6,0,0:00,No,0.0,0,0,0,00:28.25,9,0.0,35,19,42,0,0,0,8,garmin,1,39.503105590062106,0.9371428571428572,8.96434634974533,6.112054329371817,8.964597236185282,9.56588119714893
4,6,2020-05-19,Running,False,Denver Running,2.9,381,00:28:54,156,171,3.4,144,187,0 days 00:09:58,0 days 00:08:43,56,75,1.12,11.7,13.1,310,50.6% L / 49.4% R,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,28:54,0,0:00,89.6,0,0:00,No,0.0,0,0,0,09:04.54,3,0.0,33,19,40,0,0,0,8,garmin,0,19.310344827586206,0.8914285714285715,8.82943143812709,6.020066889632107,8.829490487257155,9.90487714916668
5,7,2020-05-20,Running,False,Denver Running,3.02,384,00:28:13,161,184,3.5,147,155,0 days 00:09:21,0 days 00:07:49,151,171,1.17,11.5,13.7,301,50.2% L / 49.8% R,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,28:13,0,0:00,89.6,0,0:00,No,0.0,0,0,0,00:14.82,4,0.0,33,19,42,0,0,0,8,garmin,0,50.0,0.92,9.411764705882351,6.4171122994652405,9.412186697178255,10.230637714324189
6,8,2020-05-23,Running,False,New Braunfels Running,4.02,529,00:36:58,167,195,4.2,145,192,0 days 00:09:12,0 days 00:06:58,184,187,1.21,11.4,13.9,299,50.6% L / 49.4% R,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,36:58,0,0:00,95.0,0,0:00,No,0.0,0,0,0,00:09.49,5,0.0,37,16,45,0,0,0,8,garmin,0,45.77114427860697,0.9542857142857143,9.565217391304348,6.521739130434783,9.565576786597546,10.023808009907608
7,11,2020-05-24,Running,False,New Braunfels Running,3.53,482,00:34:44,161,179,3.5,143,164,0 days 00:09:50,0 days 00:08:26,85,98,1.15,12.6,14.8,295,50.2% L / 49.8% R,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,34:44,0,0:00,86.0,0,0:00,No,0.0,0,0,0,05:05.21,4,0.0,33,18,42,0,0,0,8,garmin,0,24.07932011331445,0.92,8.94915254237288,6.101694915254237,8.949245603916669,9.727440873822466
8,12,2020-05-26,Running,False,New Braunfels Running,1.54,175,00:14:40,138,153,2.1,144,152,0 days 00:09:31,0 days 00:08:33,30,33,1.17,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,14:40,0,0:00,80.6,0,0:00,No,0.0,0,0,0,04:56.39,2,0.0,18,18,18,0,0,0,8,garmin,0,19.48051948051948,0.7885714285714286,9.24693520140105,6.304728546409807,9.246998137462816,11.726265754028933
9,13,2020-05-26,Running,False,New Braunfels Running,3.8,466,00:37:53,149,171,2.9,142,154,0 days 00:09:58,0 days 00:08:07,164,157,1.14,12.4,14.2,310,50.4% L / 49.6% R,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,37:53,0,0:00,89.6,0,0:00,No,0.0,0,0,0,08:03.15,4,0.0,30,14,40,0,0,0,8,garmin,0,43.15789473684211,0.8514285714285714,8.82943143812709,6.020066889632107,8.829726387954832,10.370484012698627
