date,activity_type,favorite,title,distance,calories,time,avg_hr,max_hr,aerobic_te,avg_run_cadence,max_run_cadence,avg_speed,max_speed,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_ground_contact_time,avg_gct_balance,avg_bike_cadence,max_bike_cadence,normalized_power_np,lr_balance,training_stress_score,max_avg_power_20_min,avg_power,max_power,grit,flow,total_strokes,avg__swolf,avg_stroke_rate,total_reps,total_sets,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,athlete_id,filetype,is_race,avg_pace,best_pace
2017-11-15,Indoor Cycling,False,Indoor Cycling,0.00,368,00:45:01,107,124,1.2,0,0,0,0,0,0,0.0,0.0,0.0,0,0,90,96,138,47% L / 53% R,15.3,140,136,216,0.0,0.0,4073,0,0,0,0,45:01,0:00,71.6,0:00,No,00:00.00,1,0.0,9,garmin,0,00:00:00,00:00:00
2017-11-16,Indoor Cycling,False,Indoor Cycling,0.00,651,01:00:13,125,141,2.1,0,0,0,0,0,0,0.0,0.0,0.0,0,0,94,99,182,46% L / 54% R,36.0,190,180,259,0.0,0.0,5667,0,0,0,0,1:00:13,0:00,71.6,0:00,No,00:00.00,1,0.0,9,garmin,0,00:00:00,00:00:00
2017-11-17,Indoor Cycling,False,Indoor Cycling,0.00,673,01:00:37,135,156,2.7,0,0,0,0,0,0,0.0,0.0,0.0,0,0,95,102,189,46% L / 54% R,39.1,207,185,234,0.0,0.0,5755,0,0,0,0,1:00:37,0:00,73.4,0:00,No,00:00.00,1,0.0,9,garmin,0,00:00:00,00:00:00
2017-11-18,Cycling,False,San Antonio Cycling,65.10,"2,635",03:29:21,156,188,4.1,0,0,18.7,42.1,"2,402","2,379",0.0,0.0,0.0,0,0,92,120,218,44% L / 56% R,179.7,223,210,764,0.0,0.0,18764,0,0,0,0,3:29:21,0:00,77.0,0:00,No,00:00.00,14,0.0,9,garmin,0,00:00:00,00:00:00
2017-11-19,Cycling,False,San Antonio Cycling,34.67,"1,526",01:58:59,149,168,3.2,0,0,17.5,46.8,"1,660","1,237",0.0,0.0,0.0,0,0,91,120,229,44% L / 56% R,112.9,227,214,866,0.0,0.0,10485,0,0,0,0,1:58:59,0:00,60.8,0:00,No,00:00.00,7,0.0,9,garmin,0,00:00:00,00:00:00
2017-11-21,Indoor Cycling,False,Indoor Cycling,0.00,"1,158",01:30:48,150,182,3.4,0,0,0,0,0,0,0.0,0.0,0.0,0,0,92,111,262,45% L / 56% R,112.7,237,213,484,0.0,0.0,8348,0,0,0,0,1:30:48,0:00,69.8,0:00,No,00:00.00,1,0.0,9,garmin,0,00:00:00,00:00:00
2017-11-22,Indoor Cycling,False,Indoor Cycling,0.00,802,01:00:18,143,179,3.4,0,0,0,0,0,0,0.0,0.0,0.0,0,0,95,119,244,45% L / 55% R,64.7,236,222,"1,071",0.0,0.0,5753,0,0,0,0,1:00:18,0:00,71.6,0:00,No,00:00.00,1,0.0,9,garmin,0,00:00:00,00:00:00
2017-11-23,Cycling,False,Cycling,23.23,"1,111",01:30:00,154,186,0.0,0,0,15.5,18.9,0,0,0.0,0.0,0.0,0,0,0,0,252,0,0.0,0,209,351,0.0,0.0,0,0,0,0,0,1:30:00,0:00,0.0,0:00,No,00:00.00,26,0.0,9,garmin,0,00:00:00,00:00:00
2017-11-25,Cycling,False,Waxahachie Cycling,17.90,741,00:59:56,148,173,3.3,0,0,17.9,31.2,285,358,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,59:56,0:00,59.0,0:00,No,00:00.00,6,0.0,9,garmin,0,00:00:00,00:00:00
2017-11-25,Cycling,False,Waxahachie Cycling,23.44,847,01:13:40,152,183,3.5,0,0,19.1,29.7,331,266,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1:13:40,0:00,71.6,0:00,No,00:00.00,8,0.0,9,garmin,0,00:00:00,00:00:00
2017-11-28,Cycling,False,Cycling,11.41,513,00:40:07,146,175,0.0,0,0,17.1,19.0,0,0,0.0,0.0,0.0,0,0,0,0,236,0,0.0,0,215,275,0.0,0.0,0,0,0,0,0,40:07,0:00,0.0,0:00,No,00:00.00,9,0.0,9,garmin,0,00:00:00,00:00:00
2017-11-30,Cycling,False,San Antonio Cycling,9.50,587,00:51:15,143,184,2.5,0,0,11.1,27.4,308,335,0.0,0.0,0.0,0,0,76,129,0,0,0.0,0,0,0,0.0,0.0,3060,0,0,0,0,51:15,0:00,68.0,0:00,No,00:00.00,2,0.0,9,garmin,0,00:00:00,00:00:00
2017-12-02,Cycling,False,Fredericksburg Cycling,1.21,92,00:06:42.3,154,176,2.0,0,0,10.8,17.2,43,52,0.0,0.0,0.0,0,0,78,117,0,0,0.0,0,0,0,0.0,0.0,394,0,0,0,0,6:42.3,0:00,68.0,0:00,No,00:00.00,1,0.0,9,garmin,1,00:00:00,00:00:00
2017-12-02,Cycling,True,Fredericksburg Cycling,37.33,"2,678",03:20:00,168,188,5.0,0,0,11.2,23.7,"2,300","2,264",0.0,0.0,0.0,0,0,82,134,0,0,0.0,0,0,0,0.0,0.0,13573,0,0,0,0,3:20:00,0:00,64.4,0:00,No,00:00.00,3,0.0,9,garmin,1,00:00:00,00:00:00
2017-12-03,Indoor Cycling,False,Indoor Cycling,0.00,449,01:00:14,117,130,1.8,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1:00:14,0:00,73.4,0:00,No,00:00.00,1,0.0,9,garmin,0,00:00:00,00:00:00
2017-12-05,Cycling,False,Cycling,18.34,863,01:10:05,153,179,0.0,0,0,15.7,20.2,0,0,0.0,0.0,0.0,0,0,0,0,219,0,0.0,0,207,275,0.0,0.0,0,0,0,0,0,1:10:05,0:00,0.0,0:00,No,00:00.00,15,0.0,9,garmin,0,00:00:00,00:00:00
2017-12-06,Cycling,False,Cycling,14.56,666,01:00:00,151,167,0.0,0,0,14.6,15.3,0,0,0.0,0.0,0.0,0,0,0,0,190,0,0.0,0,187,213,0.0,0.0,0,0,0,0,0,1:00:00,0:00,0.0,0:00,No,00:00.00,10,0.0,9,garmin,0,00:00:00,00:00:00
2017-12-07,Indoor Cycling,False,Indoor Cycling,0.00,716,00:58:32,152,183,3.2,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,58:32,0:00,68.0,0:00,No,00:00.00,1,0.0,9,garmin,0,00:00:00,00:00:00
2017-12-08,Pool Swimming,False,Lap Swimming,"1,500",260,00:34:57,0,0,0.0,0,0,1:39,1:10,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,533,35,25,0,0,34:57,0:00,0.0,0:00,No,00:00.00,28,0.0,9,garmin,0,0 days 00:01:39,0 days 00:01:39
2017-12-09,Cycling,False,San Antonio Cycling,87.84,"3,592",04:50:09,149,180,3.7,0,0,18.2,50.3,"3,484","3,274",0.0,0.0,0.0,0,0,90,134,220,44% L / 56% R,253.4,266,207,852,0.0,0.0,25552,0,0,0,0,4:50:09,0:00,57.2,0:00,No,00:00.00,18,0.0,9,garmin,0,00:00:00,00:00:00
2017-12-10,Virtual Cycling,False,Virtual Ride,10.09,286,00:31:31,127,136,0.0,0,0,19.2,30.1,0,0,0.0,0.0,0.0,0,0,91,98,160,0,0.0,160,158,235,0.0,0.0,0,0,0,0,0,31:31,0:00,0.0,0:00,No,00:00.00,1,0.0,9,garmin,0,00:00:00,00:00:00
2017-12-11,Pool Swimming,False,Lap Swimming,"1,700",240,00:32:45,0,0,0.0,0,0,1:36,1:16,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,475,34,25,0,0,32:45,0:00,0.0,0:00,No,00:00.00,22,0.0,9,garmin,0,0 days 00:01:36,0 days 00:01:36
2017-12-11,Indoor Cycling,False,Indoor Cycling,0.00,438,00:45:06,121,134,1.8,0,0,0,0,0,0,0.0,0.0,0.0,0,0,93,105,164,46% L / 54% R,21.7,166,162,235,0.0,0.0,4209,0,0,0,0,45:06,0:00,69.8,0:00,No,00:00.00,1,0.0,9,garmin,0,00:00:00,00:00:00
2017-12-12,Virtual Cycling,False,Virtual Ride,19.11,733,01:01:34,141,167,0.0,0,0,18.6,41.2,"2,952","2,952",0.0,0.0,0.0,0,0,89,113,220,0,0.0,229,208,268,0.0,0.0,0,0,0,0,0,1:01:34,0:00,0.0,0:00,No,00:00.00,16,0.0,9,garmin,0,00:00:00,00:00:00
2017-12-12,Cycling,False,San Antonio Cycling,4.25,106,00:34:25,154,172,3.2,0,0,7.4,18.7,240,203,0.0,0.0,0.0,0,0,53,82,90,44% L / 56% R,5.0,54,52,285,0.0,0.0,937,0,0,0,0,34:25,0:00,62.6,0:00,No,00:00.00,1,0.0,9,garmin,0,00:00:00,00:00:00
