date,activity_type,favorite,title,distance,calories,time,avg_hr,max_hr,aerobic_te,avg_run_cadence,max_run_cadence,avg_speed,max_speed,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_ground_contact_time,avg_gct_balance,avg_bike_cadence,max_bike_cadence,normalized_powerâ_npâ,lr_balance,training_stress_scoreâ,max_avg_power_20_min,avg_power,max_power,grit,flow,total_strokes,avg__swolf,avg_stroke_rate,total_reps,total_sets,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,athlete_id,filetype,is_race,avg_pace,best_pace
2016-12-28,Resort Skiing/Snowboarding,False,Thompsonville Resort Skiing/Snowboarding,0.61,22,00:02:17.4,95,116,1.0,0,0,16.0,47.2,0,"1,109",0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,2:17.4,0:00,71.6,0:00,No,00:00.00,0,0.0,9,garmin,0,00:00:00,00:00:00
2016-12-28,Resort Skiing/Snowboarding,False,Thompsonville Resort Skiing/Snowboarding,0.17,4,00:00:33.9,107,125,1.0,0,0,18.5,27.4,0,177,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0:33.9,0:00,69.8,0:00,No,00:00.00,0,0.0,9,garmin,0,00:00:00,00:00:00
2016-12-29,Indoor Cycling,False,Indoor Cycling,9.08,414,00:34:47,148,180,2.9,0,0,15.7,28.2,3,10,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,34:47,0:00,66.2,0:00,No,00:00.00,0,0.0,9,garmin,0,00:00:00,00:00:00
2016-12-30,Indoor Cycling,False,Indoor Cycling,18.39,836,01:15:04,142,167,3.0,0,0,14.7,32.9,3,16,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1:15:04,0:00,68.0,0:00,No,00:00.00,0,0.0,9,garmin,0,00:00:00,00:00:00
2016-12-31,Indoor Cycling,False,Indoor Cycling,15.34,736,01:00:12,148,161,3.3,0,0,15.3,18.5,3,23,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1:00:12,0:00,68.0,0:00,No,00:00.00,0,0.0,9,garmin,0,00:00:00,00:00:00
2016-12-31,Running,False,Battle Creek Running,3.72,492,00:33:47,154,165,3.1,171,184,9:05,7:34,62,95,1.04,8.7,9.1,274,50.8% L / 49.3% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,33:47,0:00,60.8,0:00,No,00:00.00,0,0.0,9,garmin,0,0 days 00:09:05,0 days 00:09:05
2016-12-31,Indoor Cycling,False,Indoor Cycling,7.91,431,00:32:06,153,167,3.1,0,0,14.8,19.6,3,10,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,32:06,0:00,68.0,0:00,No,00:00.00,0,0.0,9,garmin,0,00:00:00,00:00:00
2017-01-02,Cycling,False,Comfort Cycling,27.19,"1,875",02:25:26,163,181,4.5,0,0,11.2,22.9,"2,057","2,001",0.0,0.0,0.0,0,0,83,242,0,0,0.0,0,0,0,0.0,0.0,9484,0,0,0,0,2:25:26,0:00,71.6,0:00,No,00:00.00,0,0.0,9,garmin,0,00:00:00,00:00:00
2017-01-04,Indoor Cycling,False,Indoor Cycling,18.77,812,01:00:01,149,174,3.7,0,0,18.8,26.7,0,7,0.0,0.0,0.0,0,0,88,98,244,46% L / 54% R,77.8,266,226,327,0.0,0.0,5334,0,0,0,0,1:00:01,0:00,68.0,0:00,No,00:00.00,0,0.0,9,garmin,0,00:00:00,00:00:00
2017-01-05,Indoor Cycling,False,Indoor Cycling,18.22,718,01:00:51,130,165,2.1,0,0,18.0,31.2,0,46,0.0,0.0,0.0,0,0,88,111,226,46% L / 54% R,67.9,208,198,798,0.0,0.0,5370,0,0,0,0,1:00:51,0:00,71.6,0:00,No,00:00.00,0,0.0,9,garmin,0,00:00:00,00:00:00
2017-01-06,Indoor Cycling,False,Indoor Cycling,13.96,413,00:47:40,112,127,1.7,0,0,17.6,23.3,3,30,0.0,0.0,0.0,0,0,93,102,145,47% L / 53% R,21.9,146,145,179,0.0,0.0,4441,0,0,0,0,47:40,0:00,68.0,0:00,No,00:00.00,0,0.0,9,garmin,0,00:00:00,00:00:00
2017-01-07,Cycling,True,Giddings Cycling,66.91,"2,982",04:50:15,155,184,4.5,0,0,13.8,33.6,"2,861","2,907",0.0,0.0,0.0,0,0,86,175,0,0,0.0,0,0,0,0.0,0.0,22306,0,0,0,0,4:50:15,0:00,48.2,0:00,No,00:00.00,0,0.0,9,garmin,1,00:00:00,00:00:00
2017-01-08,Cycling,False,San Antonio Cycling,7.26,615,00:41:59,158,184,3.7,0,0,10.4,31.3,315,335,0.0,0.0,0.0,0,0,78,114,0,0,0.0,0,0,0,0.0,0.0,2455,0,0,0,0,41:59,0:00,59.0,0:00,No,00:00.00,0,0.0,9,garmin,0,00:00:00,00:00:00
