Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Run Cadence,Max Run Cadence,Normalized Power® (NP®),L/R Balance,Training Stress Score®,Max Avg Power (20 min),Avg Power,Max Power,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Climb Time,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp
Running,2021-02-01 16:57:42,false,"Morton Running","3.29","356","00:24:15","158","177","3.0","170","179","7:22","6:17","18","15","1.29","0.0","0.0","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","24:15","0:00","0.0","0:00","No","02:11.51","4","0.0"
Running,2021-01-30 13:31:55,false,"Morton Running","1.88","214","00:20:02","130","144","1.7","166","172","10:39","9:18","20","16","0.91","0.0","0.0","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","20:02","0:00","0.0","0:00","No","09:22.95","2","0.0"
Running,2021-01-29 15:54:41,false,"Morton Running","2.91","321","00:24:07","145","154","2.6","169","179","8:16","7:04","40","37","1.15","0.0","0.0","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","24:07","0:00","0.0","0:00","No","07:27.09","3","0.0"
Running,2021-01-28 09:43:06,false,"Morton - Fartlek 1H1E x 15","9.00","999","01:08:56","162","177","4.6","170","181","7:39","5:59","60","56","1.23","0.0","0.0","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","1:08:56","0:00","0.0","0:00","No","01:00.00","44","0.0"
Running,2021-01-26 16:33:47,false,"Morton Running","3.21","426","00:23:23","--","--","--","171","179","7:17","6:37","26","17","1.30","0.0","0.0","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","23:23","0:00","0.0","0:00","No","01:28.40","4","0.0"
Running,2021-01-24 10:45:06,false,"Morton Running","2.87","383","00:22:13","--","--","--","169","179","7:45","7:01","22","18","1.23","0.0","0.0","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","22:13","0:00","0.0","0:00","No","06:12.04","3","0.0"
Running,2021-01-23 14:34:53,false,"Morton Running","6.05","673","00:48:50","154","166","3.5","168","176","8:04","6:55","57","48","1.19","0.0","0.0","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","48:50","0:00","0.0","0:00","No","00:25.57","7","0.0"
Running,2021-01-21 12:26:38,false,"Morton - Fartlek ladder","6.95","861","00:57:25","166","182","4.4","168","179","8:16","5:47","53","46","1.16","0.0","0.0","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","57:25","0:00","0.0","0:00","No","00:30.00","19","0.0"
Running,2021-01-20 13:59:27,false,"Morton Running","2.16","233","00:21:20","133","147","2.0","167","186","9:54","7:28","20","25","0.98","0.0","0.0","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","21:20","0:00","0.0","0:00","No","01:25.16","3","0.0"
Running,2021-01-19 12:03:34,false,"Morton Running","2.26","302","00:21:52","--","--","--","168","178","9:40","8:11","23","17","0.99","0.0","0.0","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","21:52","0:00","0.0","0:00","No","02:29.77","3","0.0"
Running,2021-01-18 15:45:28,false,"Morton Running","3.59","429","00:31:56","149","164","3.0","169","178","8:54","8:30","28","33","1.07","0.0","0.0","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","31:56","0:00","0.0","0:00","No","05:18.14","4","0.0"
Running,2021-01-16 14:50:59,false,"Dunlap Running","5.05","616","00:43:12","155","172","3.5","170","182","8:33","6:25","68","71","1.11","0.0","0.0","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","43:12","0:00","0.0","0:00","No","00:24.64","6","0.0"
