Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Climb Time,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp
Running,2021-01-17 06:45:16,FALSE,Sugar Land Running,13.27,875,01:35:21,146,171,4.3,179,194,7:11,5:26,200,223,1.25,0.0,0.0,0.0,0.0,0.0,1:35:21,0:00,46.4,0:00,No,00:42.84,15,0.0
Running,2021-01-14 11:50:45,FALSE,"Montgomery County - 20 secs, 1 min,",3.08,263,00:22:48,144,161,3.2,171,193,7:25,6:11,59,39,1.27,0.0,0.0,0.0,0.0,0.0,22:48,0:00,69.8,0:00,No,00:20.00,8,0.0
Running,2021-01-11 11:19:04,FALSE,Montgomery County - 5x2min Surges,5.72,534,00:45:02,149,170,4.2,174,191,7:53,6:21,66,52,1.17,0.0,0.0,0.0,0.0,0.0,45:02,0:00,46.4,0:00,No,00:01.80,14,0.0
Running,2021-01-04 16:04:17,FALSE,Montgomery County Running,4.80,500,00:40:02,154,182,4.3,169,193,8:20,6:29,30,36,1.14,0.0,0.0,0.0,0.0,0.0,40:02,0:00,75.2,0:00,No,00:30.90,10,0.0
Running,2020-12-28 06:51:21,FALSE,Honolulu Running,3.27,361,00:31:16,144,162,3.2,169,186,9:33,7:32,3,10,1.00,0.0,0.0,0.0,0.0,0.0,31:16,0:00,73.4,0:00,No,02:26.77,4,0.0
Running,2020-12-25 08:07:38,FALSE,Montgomery County - Run - 4x10 minut,5.61,571,00:47:35,152,166,3.6,173,185,8:28,7:51,33,43,1.10,0.0,0.0,0.0,0.0,0.0,47:35,0:00,46.4,0:00,No,01:34.70,8,0.0
Running,2020-12-20 09:30:45,FALSE,Montgomery County Running,16.01,"1,520",02:06:22,154,173,4.0,174,196,7:54,5:52,105,125,1.17,0.0,0.0,0.0,0.0,0.0,2:06:22,0:00,59.0,0:00,No,00:02.11,17,0.0
Running,2020-12-17 11:06:35,FALSE,Montgomery County Running,5.01,485,00:40:50,146,166,3.6,171,187,8:09,7:20,33,20,1.15,0.0,0.0,0.0,0.0,0.0,40:50,0:00,55.4,0:00,No,00:02.44,6,0.0
Running,2020-12-13 14:12:06,FALSE,Montgomery County Running,2.04,184,00:15:49,144,158,2.6,175,226,7:45,6:38,13,13,1.18,0.0,0.0,0.0,0.0,0.0,15:49,0:00,71.6,0:00,No,00:21.02,3,0.0
Running,2020-12-12 16:26:46,FALSE,Montgomery County Running,5.01,439,00:36:59,150,172,3.3,176,190,7:23,6:17,52,62,1.24,0.0,0.0,0.0,0.0,0.0,36:59,0:00,66.2,0:00,No,00:02.45,6,0.0
Running,2020-12-12 07:28:23,FALSE,Houston Running,10.01,937,01:22:15,151,168,3.8,173,198,8:13,7:04,98,151,1.14,0.0,0.0,0.0,0.0,0.0,1:22:15,0:00,66.2,0:00,No,00:02.67,11,0.0
Running,2020-12-10 10:48:26,FALSE,Montgomery County - 2 mile tempo,5.01,484,00:39:46,155,170,4.1,172,190,7:56,6:44,49,33,1.18,0.0,0.0,0.0,0.0,0.0,39:46,0:00,73.4,0:00,No,00:04.36,6,0.0
Running,2020-12-06 07:14:43,FALSE,Harris County Running,13.10,"1,405",01:51:02,161,183,4.9,174,198,8:28,6:47,217,240,1.09,0.0,0.0,0.0,0.0,0.0,1:51:02,0:00,51.8,0:00,No,00:45.49,14,0.0
Running,2020-11-29 07:32:10,FALSE,Harris County Running,12.01,"1,193",01:40:59,155,179,3.8,173,189,8:24,5:48,180,243,1.11,0.0,0.0,0.0,0.0,0.0,1:40:59,0:00,62.6,0:00,No,00:03.10,13,0.0
Running,2020-11-24 06:14:26,FALSE,Montgomery County Running,5.04,527,00:41:39,156,166,4.0,171,185,8:15,7:25,23,36,1.14,0.0,0.0,0.0,0.0,0.0,41:39,0:00,62.6,0:00,No,00:20.51,6,0.0
Running,2020-11-21 07:33:52,FALSE,Harris County Running,10.01,897,01:22:24,150,171,3.7,172,190,8:14,7:02,148,167,1.13,0.0,0.0,0.0,0.0,0.0,1:22:24,0:00,69.8,0:00,No,00:03.15,11,0.0
Treadmill Running,2020-11-18 16:10:49,FALSE,Hill Repeats,4.06,423,00:35:06,152,169,3.7,167,182,8:39,6:33,--,--,1.11,0.0,0.0,0.0,0.0,0.0,35:06,0:00,75.2,0:00,No,01:00.00,15,0.0
Running,2020-11-15 08:07:13,FALSE,Harris County - Tempo Variation,9.64,956,01:23:04,150,178,3.7,173,187,8:37,6:23,151,200,1.08,0.0,0.0,0.0,0.0,0.0,1:23:04,0:00,64.4,0:00,No,00:03.99,17,0.0
Running,2020-11-14 10:44:09,FALSE,Montgomery County Running,2.00,201,00:16:41,148,164,3.0,169,177,8:20,7:11,13,10,1.14,0.0,0.0,0.0,0.0,0.0,16:41,0:00,78.8,0:00,No,00:02.76,3,0.0
Running,2020-11-10 17:18:14,FALSE,Montgomery County Running,3.00,301,00:26:37,141,160,3.1,169,181,8:51,7:40,3,16,1.07,0.0,0.0,0.0,0.0,0.0,26:37,0:00,77.0,0:00,No,00:01.97,4,0.0
Running,2020-11-10 06:03:22,FALSE,Montgomery County - Run #1 - enduran,5.24,475,00:47:07,140,161,3.1,163,205,9:00,6:55,33,46,1.10,0.0,0.0,0.0,0.0,0.0,47:07,0:00,73.4,0:00,No,00:06.91,12,0.0
Running,2020-11-07 07:46:46,FALSE,Montgomery County Running,7.04,669,01:00:22,144,163,3.8,168,188,8:35,7:25,43,59,1.11,0.0,0.0,0.0,0.0,0.0,1:00:22,0:00,64.4,0:00,No,00:18.57,8,0.0
Running,2020-11-05 06:01:05,FALSE,Harris County - endurance run wi,5.35,558,00:48:25,151,175,3.8,161,244,9:03,6:35,30,46,1.10,0.0,0.0,0.0,0.0,0.0,48:25,0:00,64.4,0:00,No,00:03.30,13,0.0
Running,2020-11-03 05:35:48,FALSE,Montgomery County Running,6.01,650,00:53:58,155,170,4.6,169,190,8:59,5:43,30,49,1.06,0.0,0.0,0.0,0.0,0.0,53:58,0:00,51.8,0:00,No,00:18.78,26,0.0
Running,2020-10-29 16:15:09,FALSE,Montgomery County Running,4.62,455,00:37:35,152,170,4.0,171,187,8:08,6:55,56,69,1.16,0.0,0.0,0.0,0.0,0.0,37:35,0:00,64.4,0:00,No,01:12.29,6,0.0
Running,2020-10-24 08:59:57,FALSE,St Johns County Running,3.48,380,00:30:04,157,178,3.9,169,187,8:39,7:26,46,56,1.10,0.0,0.0,0.0,0.0,0.0,30:04,0:00,80.6,0:00,No,04:11.66,4,0.0
Running,2020-10-18 07:07:52,FALSE,Montgomery County Running,5.77,580,01:17:34,118,156,2.9,126,236,13:27,8:16,30,33,0.93,0.0,0.0,0.0,0.0,0.0,1:17:34,0:00,71.6,0:00,No,00:00.36,18,0.0
Running,2020-10-17 08:01:06,FALSE,Harris County Running,5.19,517,01:10:01,115,176,3.1,128,185,13:30,7:45,95,115,0.91,0.0,0.0,0.0,0.0,0.0,1:10:01,0:00,64.4,0:00,No,01:43.00,9,0.0
Running,2020-10-15 07:26:15,FALSE,Montgomery County Running,3.55,363,00:30:01,153,171,3.6,170,182,8:27,7:12,10,30,1.12,0.0,0.0,0.0,0.0,0.0,30:01,0:00,71.6,0:00,No,04:41.09,4,0.0
Running,2020-10-11 07:08:19,FALSE,Montgomery County Running,8.02,844,01:20:29,143,166,3.6,155,180,10:02,7:50,46,75,1.02,0.0,0.0,0.0,0.0,0.0,1:20:29,0:00,75.2,0:00,No,01:59.02,20,0.0
Running,2020-10-10 08:04:44,FALSE,Harris County Running,5.68,584,01:00:02,135,162,3.1,150,180,10:34,7:40,102,125,1.00,0.0,0.0,0.0,0.0,0.0,1:00:02,0:00,71.6,0:00,No,00:58.83,23,0.0
