Activity Type,Date,Favorite,Title,Distance
Running,2020-02-09 8:10:13,FALSE,New Orleans Running,1/2
Running,2019-12-15 7:15:45,FALSE,Galveston Running,1/2
Running,2019-10-27 7:30:00,FALSE,Cape Cod Half,1/2
Running,2019-09-01 7:07:56,FALSE,Yamhill County Running,1/2
Running,2019-07-04 7:39:18,FALSE,Tyler Running,5k
Running,2019-03-30 10:01:56,FALSE,Tyler Running,10k maybe?
Running,2019-03-03 8:06:10,FALSE,Little Rock - Running,1/2
Running,2019-02-09 8:01:37,FALSE,Kilgore Running,11 mile race
Running,2018-11-22 8:04:11,FALSE,Atlanta Running,1/2
Running,2018-10-27 7:31:36,FALSE,Cedar Park Running,1/2
