Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Training Stress Score®,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Climb Time,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp
Treadmill Running,2020-12-23 16:54:14,false,"Treadmill Running","2.40","243","00:20:53","172","196","3.3","163","171","8:42","6:58","--","--","1.13","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","20:53","0:00","0.0","0:00","No","04:56.66","3","0.0"
Running,2020-12-20 15:24:29,false,"Fairfax County Running","1.60","108","00:12:14","140","153","1.8","172","183","7:39","6:35","26","--","1.22","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","12:14","0:00","0.0","0:00","No","04:27.03","2","0.0"
Running,2020-12-19 15:12:33,false,"Fairfax County Running","1.66","138","00:12:25","164","197","2.6","171","181","7:30","7:00","64","65","1.26","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","12:25","0:00","0.0","0:00","No","04:57.05","2","0.0"
Treadmill Running,2020-12-16 17:16:53,false,"Treadmill Running","2.00","181","00:15:48","169","194","3.0","166","175","7:54","6:53","--","--","1.23","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","15:48","0:00","0.0","0:00","No","07:48.65","2","0.0"
Running,2020-12-13 14:24:18,false,"Fairfax County Running","1.64","128","00:11:58","158","199","2.4","173","185","7:17","6:34","48","71","1.28","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","11:58","0:00","0.0","0:00","No","04:32.41","2","0.0"
Running,2020-12-12 16:03:06,false,"Fairfax County Running","1.67","138","00:12:00","173","200","2.8","171","181","7:12","5:39","39","67","1.31","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","12:00","0:00","0.0","0:00","No","04:46.89","2","0.0"
Running,2020-12-05 14:33:32,false,"Fairfax County Running","1.65","130","00:12:33","157","179","2.4","172","183","7:36","6:33","40","59","1.23","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","12:33","0:00","0.0","0:00","No","04:46.59","2","0.0"
Treadmill Running,2020-12-03 19:19:27,false,"Treadmill Running","1.27","117","00:10:12","174","192","2.7","165","170","8:02","7:04","--","--","1.22","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","10:12","0:00","0.0","0:00","No","02:07.29","2","0.0"
Running,2020-11-29 13:58:37,false,"Fairfax County Running","1.84","144","00:13:23","163","200","2.7","172","189","7:17","6:20","9","71","1.29","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","13:23","0:00","0.0","0:00","No","05:53.22","2","0.0"
Running,2020-11-28 13:12:07,false,"Fairfax County Running","1.81","138","00:13:32","156","185","2.4","171","181","7:28","6:36","7","60","1.26","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","13:32","0:00","0.0","0:00","No","05:46.90","2","0.0"
Running,2020-11-26 12:42:20,false,"Fairfax County Running","1.53","107","00:12:08","146","191","2.2","168","177","7:57","7:13","37","83","1.20","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","12:08","0:00","0.0","0:00","No","04:11.27","2","0.0"
Running,2020-11-21 13:19:33,false,"Fairfax County Running","1.66","132","00:11:59","166","196","2.6","171","181","7:12","6:37","45","83","1.31","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","11:59","0:00","0.0","0:00","No","04:41.02","2","0.0"
Running,2020-11-19 13:51:31,false,"Fairfax County Running","1.66","117","00:12:04","151","182","2.2","171","181","7:16","6:53","64","67","1.29","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","12:04","0:00","0.0","0:00","No","04:41.47","2","0.0"
Running,2020-11-15 16:36:53,false,"Fairfax County Running","1.66","107","00:12:12","143","156","2.0","172","181","7:22","6:41","36","58","1.27","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","12:12","0:00","0.0","0:00","No","04:48.73","2","0.0"
Running,2020-11-12 13:41:12,false,"Fairfax County Running","2.31","174","00:17:41","159","193","3.0","171","181","7:40","6:48","55","79","1.23","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","17:41","0:00","0.0","0:00","No","02:25.75","3","0.0"
Running,2020-11-08 13:32:08,false,"Fairfax County Running","2.01","151","00:14:32","164","194","2.8","171","189","7:14","6:39","54","57","1.30","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","14:32","0:00","0.0","0:00","No","00:03.26","3","0.0"
Running,2020-11-06 14:08:42,false,"Fairfax County Running","2.04","160","00:15:07","167","196","3.0","172","181","7:24","6:54","14","55","1.27","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","15:07","0:00","0.0","0:00","No","00:19.99","3","0.0"
Running,2020-11-05 14:20:16,false,"Fairfax County Running","2.05","171","00:15:30","171","198","3.0","170","185","7:33","7:00","38","84","1.25","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","15:30","0:00","0.0","0:00","No","00:26.96","3","0.0"
Treadmill Running,2020-11-04 18:48:01,false,"Treadmill Running","0.44","157","00:54:08","91","109","1.0","117","123","--","16:20","--","--","0.11","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","54:08","0:00","0.0","0:00","No","54:07.98","1","0.0"
Running,2020-11-01 15:40:25,false,"Fairfax County Running","1.84","110","00:13:03","143","176","2.1","173","191","7:07","5:39","42","76","1.31","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","13:03","0:00","0.0","0:00","No","05:56.14","2","0.0"
Running,2020-10-31 13:19:49,false,"Fairfax County Running","2.05","160","00:14:49","169","199","3.0","172","190","7:14","6:40","57","88","1.29","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","14:49","0:00","0.0","0:00","No","00:22.27","3","0.0"
Running,2020-10-29 13:08:09,false,"Fairfax County Running","1.68","112","00:12:36","146","187","2.1","171","182","7:29","6:55","61","63","1.26","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","12:36","0:00","0.0","0:00","No","05:13.52","2","0.0"
Running,2020-10-25 14:08:34,false,"Fairfax County Running","1.66","84","00:12:24","128","194","1.6","173","185","7:29","7:02","49","56","1.24","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","12:24","0:00","0.0","0:00","No","04:51.45","2","0.0"
Running,2020-10-24 14:38:17,false,"Fairfax County Running","2.05","155","00:15:11","164","196","3.0","172","197","7:25","6:46","68","92","1.26","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","15:11","0:00","0.0","0:00","No","00:19.69","3","0.0"
Running,2020-10-22 13:29:08,false,"Fairfax County Running","2.40","197","00:17:48","174","197","3.3","173","190","7:25","6:34","54","97","1.26","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","17:48","0:00","0.0","0:00","No","02:51.55","3","0.0"
Running,2020-10-18 13:26:24,false,"Fairfax County Running","2.09","153","00:14:49","166","196","2.9","175","189","7:06","6:07","48","43","1.30","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","14:49","0:00","0.0","0:00","No","00:33.78","3","0.0"
Running,2020-10-17 14:45:46,false,"Fairfax County Running","2.04","143","00:15:13","154","191","2.5","175","187","7:29","6:59","57","88","1.23","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","15:13","0:00","0.0","0:00","No","00:16.10","3","0.0"
Running,2020-10-13 14:03:53,false,"Fairfax County Running","2.08","147","00:15:01","161","196","2.8","174","187","7:13","6:28","39","22","1.28","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","15:01","0:00","0.0","0:00","No","00:33.76","3","0.0"
Running,2020-10-08 14:14:06,false,"Fairfax County Running","2.03","158","00:15:33","166","195","3.0","172","179","7:40","7:08","28","51","1.22","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","15:33","0:00","0.0","0:00","No","00:14.94","3","0.0"
Running,2020-10-04 10:40:28,false,"Fairfax County Running","2.10","160","00:15:52","166","199","3.0","173","185","7:33","6:18","47","49","1.23","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","15:52","0:00","0.0","0:00","No","00:42.08","3","0.0"
Running,2020-10-03 13:27:34,false,"Fairfax County Running","2.10","169","00:15:08","176","201","3.2","173","191","7:12","6:32","58","65","1.29","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","15:08","0:00","0.0","0:00","No","00:41.39","3","0.0"
Running,2020-10-01 13:28:29,false,"Fairfax County Running","2.02","172","00:14:49","180","198","3.2","173","185","7:19","6:45","60","87","1.27","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","14:49","0:00","0.0","0:00","No","00:10.69","3","0.0"
Running,2020-09-27 14:27:33,false,"Fairfax County Running","2.03","174","00:15:00","178","198","3.2","175","185","7:23","6:42","60","82","1.25","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","15:00","0:00","0.0","0:00","No","00:16.52","3","0.0"
Running,2020-09-22 13:52:59,false,"Fairfax County Running","2.06","110","00:15:33","130","155","1.5","177","187","7:32","7:00","45","20","1.21","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","15:33","0:00","0.0","0:00","No","00:28.01","3","0.0"
