Comment Date,Comment
"Jun 17, 2013, 12:17:26 PM",takk for turen ja. var knallnice. har blitt lurt med på triathlon 27. juli. tuddal triathlon. jeg har hytte. bare hiver det ut der. 
"Jun 17, 2013, 7:56:21 PM","ikke ille. 1500 meter, 40 km, ti km.  skal ikke trene meg ihjel. men for all del, skal bare for morro skyld. "
"Jun 23, 2013, 9:23:30 AM",var sammen med to mann fra notodden. helt grusomt tung motbakke fra tuddal og opp til gaustablikk. anbefales om du er gira på selvmordtanker. 
"Jun 28, 2013, 6:10:32 AM",unice
"Aug 19, 2014, 7:37:45 PM","Ja, sånn passe. Tok det med ro da"
"Jul 4, 2015, 3:15:26 PM",Vel blåst første ritt! Håper det stimulerer til gjentagelse
"Jul 20, 2015, 11:50:01 AM",170 km with under 200m elevation gain. I both miss and don't miss Texas
"Jul 22, 2015, 1:51:35 PM",Blir hardt å holde unna for deg i nordmarkstravern nå
"Apr 11, 2016, 11:57:17 AM","målet var under timen, så nå trenger jeg en ny rute :-)"
"May 3, 2016, 11:39:20 AM","Neinei, absolutt ikke. men sikter meg inn på topp 100 på Åmot Bø. "
"May 19, 2016, 12:19:38 PM",Highfiver du Eriksen på veien?
"May 25, 2016, 3:01:38 PM",Jeg må til bø og sykle lifjell før jeg blir slått av deg ser jeg :-)
"May 27, 2016, 7:09:37 AM",scouta rett til værs? sneaky prawn
"Aug 24, 2016, 8:26:32 AM",Haha. Will do. 
"Sep 4, 2016, 2:47:14 PM",Viktig å jogge ned slik at en er klar for mandag
"Sep 11, 2016, 2:00:59 PM",Prøver å bli som deg ;-)
"Sep 18, 2016, 10:11:12 AM",Både bra drive og driv. Nye sko :-)
"Sep 19, 2016, 6:27:57 AM",Raske sko
"Dec 14, 2016, 9:47:10 PM",Svett?
"Dec 25, 2016, 4:40:19 PM",Eplehagan GP
"Jan 9, 2017, 6:58:14 PM",Mao en knalløkt
"Jan 16, 2017, 4:31:52 PM",Jobbjogg?
"Jan 27, 2017, 8:20:14 PM",Faen Ørjan som tar teten. Skulle vært forrige uke. Du ligger an til å bli ukens miler
"Jan 29, 2017, 4:49:57 PM",Løpe hjem fra Gardermoen?
"Feb 7, 2017, 2:31:22 PM",Må løpe fort for å bli rask. 
"Feb 7, 2017, 2:36:54 PM",Var intervaller. 6+6+4+4+3+3+2+2. 
"Feb 12, 2017, 9:45:52 PM",Drøyt ørjan
"Feb 14, 2017, 5:21:06 PM",5x4min 15.5kmh@3% 3min pause på 11kmh
"Feb 14, 2017, 5:22:20 PM",Er det bedre å gjøre som du? Litt saktere men korte pauser?
"Feb 15, 2017, 5:01:19 PM","Prøvde i dag 4x4 etter spinning med kun ett minutt pause. Tok det dog mye lugnere, men skjønner godt forskjellen. Med lange pauser kan man kjøre svært mye hardere tror jeg. I alle fall på 4. Og 5. Draget"
"Feb 15, 2017, 5:49:14 PM",Spinner alene et par ganger i uka for variasjon. Blir megasvett i alle fall. Hører alltid hele førsteskiva til kvelertak. Har sikkert hørt den femhundre ganger
"Feb 19, 2017, 9:03:55 PM",Au. Gruer meg
"Feb 27, 2017, 10:39:02 AM",Jeg gir glatt bengen i soneanbefalinger og kjører flatt ut slik at jeg faller av mølla på slutten. Gruer meg
"Feb 27, 2017, 5:37:29 PM",Og jeg feilet første forsøk. Lol
"Feb 27, 2017, 6:04:31 PM","Mulig jeg er litt harken i halsen. Men sannsynligvis fordi jeg gikk ut hardt. 14,5kmh@3%. Ga meg etter 2km på andre draget. Lol"
"Mar 1, 2017, 9:25:44 PM","Løpende pause på 11@3%, innså ai dag at med så korte pauser kan man ikke holde på med det. Prøvde meg med 14, men det ble 2x3km + 2x2km + 2x1km. Jeg har nokså kontroll på hva jeg klarer av 4x4 og  med 4min pauser"
"Mar 1, 2017, 9:26:44 PM",Og 4x8 med 4 min pauser. Men de korte pausene gjør at jeg ikke vet helt hva jeg klarer
"Apr 5, 2017, 5:51:19 PM",Åja. Andre runde var bra seig. Lol
"Apr 8, 2017, 11:20:31 AM",Si fra om du vil på langtur i morgen eller mandag
"Apr 10, 2017, 8:31:47 PM",Jepp. Bra økt!
"Apr 11, 2017, 6:37:53 PM",Faen. Til å være 2 år er hun rask
"Apr 16, 2017, 9:05:25 PM",Aiai. Faktisk utils
"Apr 16, 2017, 9:05:35 PM",Utilsikted
"Apr 16, 2017, 9:05:45 PM",Utilsiktet
"Apr 16, 2017, 9:16:39 PM",Regner det blir nokså ensidig neste uke. L O L
"Apr 24, 2017, 7:21:44 AM","Jepp. Var egentlig ca. 32k men jeg kom borti knappen på klokka. Må virkelig lære meg å ha med mat på slike turer, blei sjukt sulten og litt slitnere enn jeg hadde likt."
"May 1, 2017, 3:04:36 PM",Nope. 
"May 9, 2017, 4:08:25 PM",Hmm... kommer fortere hjem da vet du. :-)
"May 16, 2017, 6:13:27 AM",Takker. Brutale 2k-intervaller med innlagt klatring som tar livet av all livslyst. 
"May 18, 2017, 1:28:25 PM",fy fan fort en fart da
"Jun 1, 2017, 5:46:39 PM",Slå ihjel tid mellom å skysse pappa og vandøving
"Jun 28, 2017, 12:44:15 PM",liker at du spilte squash 4.4km
"Jul 5, 2017, 8:12:01 PM",Yessass. Hadde dårlig tid 😈
"Jul 11, 2017, 6:42:13 AM","Jess. Var digg vær, og fant ut halvveis at jeg skulle gjøre det utfordrende å perse."
"Jul 22, 2017, 9:25:14 PM",Tror kroppsvektformelen forklarer hele forspranget mitt
"Jul 25, 2017, 3:55:32 PM",Fin tur? 
"Aug 2, 2017, 11:54:30 AM",Prprprprpr
"Aug 3, 2017, 7:36:56 PM",Prrprprprpepperprprpr
"Aug 7, 2017, 11:15:57 AM",Lol. Nokså tørt egentlig
"Aug 14, 2017, 9:13:39 PM",Rolig hjem fra jobb
"Aug 19, 2017, 7:34:16 PM",What? You mean the blue? 
"Aug 19, 2017, 8:12:08 PM",It's the woods basically 
"Aug 27, 2017, 8:45:51 AM","Utrolig tung tur. Egentlig 12 timer på det på strava, kødda litt med klokka. En time til ned til rondvassbu. 13 timer totalt. "
"Oct 14, 2017, 3:59:56 PM",Tipper det var en alfa og ett slips her. Nice innsats
"Oct 27, 2017, 10:02:47 PM",Næh. Fjerde eller femte. Kvalmt tungt. Langt bak
"Oct 31, 2017, 2:30:26 PM",Jetlagfridag. Hadde ikke funka så. Hadde sjukt bra lang reisevei i går så jeg tok en ekstra dag til å komme meg på
"Nov 3, 2017, 7:18:18 AM",04.39 am
"Nov 15, 2017, 8:46:46 AM",Tror jeg så deg ved sjølyst. High five neste gang
"Dec 19, 2017, 7:07:12 AM",Først langrenn og så mølle?
"Dec 21, 2017, 9:59:05 AM","40 meter styrke, det liker jeg"
"Dec 27, 2017, 1:17:12 PM",yes I am :-)
"Feb 12, 2018, 11:57:09 AM","haha, nope. Langt derifra. men prøver å få til 50k i ukedagene. og på fredager er det lunsjjogg på fornebu for spesielt interesserte
"
"Apr 15, 2018, 1:56:14 PM",Mye snø? 
"Apr 16, 2018, 5:16:31 PM",Nice. Inviter meg neste gang da! 
"May 7, 2018, 7:56:32 AM",sjukt.
"May 10, 2018, 6:33:53 PM","Var bare på grusvei med unntak kobberhaughytta slakteren, der var det 20m snå"
"May 11, 2018, 8:56:59 AM",Hmmm. Ikke veldig skadet i alle fall
"Jun 3, 2018, 11:42:38 AM",Haha. And dnf. Tons of excuses. All just as bad
"Jun 10, 2018, 4:01:11 PM","Er det mer enn jeg løp tror du? Er ganske kupert. Var ikke på jakt etter kroner, men skal sjekke hvor dine er og prøve meg når jeg finner igjen formen"
"Jun 16, 2018, 7:31:39 PM",Svært fint I dag. Kan anbefales
"Jun 19, 2018, 11:14:24 AM",Den var ikke så ille egentlig. Sikkert litt surt å gå opp fra årmotdalen
"Jun 27, 2018, 11:58:37 AM",Men 48 sekunder over timen. Treff perfekt neste gang da. 
"Jul 8, 2018, 10:36:10 AM",Logger vi gåturer altså? 😎😉
"Jul 8, 2018, 4:16:42 PM",Nice
"Sep 14, 2018, 7:07:53 AM",På vei tilbake. Ikke dummeste økta det der da
"Oct 11, 2018, 8:19:26 PM",10?
"Jan 5, 2019, 7:36:32 PM",Keeping it local
"Jan 15, 2019, 4:19:35 PM",Kommer seg. 
"Jan 16, 2019, 9:47:29 AM",Swift running? What? 
"Jan 16, 2019, 11:53:19 AM",Ørjan gjorde det eneste riktige... 
"Jan 16, 2019, 3:12:40 PM",Cool. Soon you'll be dry swimming on your floor with a webcam as well? 😂👌🏊‍♀️
"Jan 16, 2019, 8:18:56 PM",Lol nei. 
"Jan 16, 2019, 8:27:31 PM",I bet. What races you got planned this year? 
"Jan 16, 2019, 8:34:12 PM",Thatd be awesome. But i think were planning Canada and us in august. Dont think we'll swing two trips. We'll try to swing by for sure tho. 
"Jan 16, 2019, 8:36:57 PM",Everythings good. Moved into a Nice place this summer. Really enjoying that. You and Brittany living in the city? 
"Jan 16, 2019, 8:38:25 PM",Do that. Strava is hardly the best messaging app 😂😂
"Jan 21, 2019, 1:22:57 PM",18 km/t (!!!)
"Mar 28, 2019, 8:08:36 PM",Ække det sjukt rått at du kan banke inn 16k i maratonfart uten å gå i krypten? Satan i gatan
"Apr 7, 2019, 1:23:36 PM",Godt levert! 
"Apr 7, 2019, 1:24:49 PM",Ingen tvil om det! 
"Apr 23, 2019, 3:53:19 PM",Ikke si det til noen da ;-)
"Jun 10, 2019, 1:23:58 PM","Sprakk som en sekk med poteter da, så er et stykke unna"
"Jun 10, 2019, 3:25:55 PM",Kjøpt racer? 
"Jul 3, 2019, 12:50:23 PM",drøyt
"Jul 15, 2019, 9:06:22 PM",Pf
"Jul 25, 2019, 6:06:29 AM",Er det fra hytta? 
"Aug 3, 2019, 12:20:45 PM",Rått! 
"Aug 3, 2019, 8:37:08 PM",Rått
"Oct 14, 2019, 7:37:37 PM",NLI? 
"Oct 20, 2019, 12:58:10 PM",Si fra om du skal ut en dag da
"Jan 13, 2020, 7:35:40 AM",Pokaler på holka mens du dytter en kid... 
"Feb 23, 2020, 5:13:16 PM",Bart
"Feb 23, 2020, 5:13:24 PM",Bart? 
"Apr 1, 2020, 8:02:23 AM","GGG! Yeah Keith, the trails are drying up around here, which really helps with my social distance depression (SDD) :-)"
"Apr 1, 2020, 7:09:01 PM",Der jeg lufter kjerringa 😜
"Apr 2, 2020, 7:22:19 AM",veldig fint område da
"Apr 24, 2020, 9:45:42 AM",fått deg slik søt rumpebeskytter?
"Apr 25, 2020, 1:38:22 PM","Turen var fin nok den, ikke det mest inspirerende men. Litt navigeringsproblemer og litt mye vin i går 😏. "
"Apr 25, 2020, 1:45:12 PM",Morro? 
"May 14, 2020, 5:46:46 PM",veit ikke helt om den var helt i form. men hadde litt guff på drag nr 2
"May 16, 2020, 7:43:05 PM",Rulleski? 
"Aug 18, 2020, 9:35:19 PM",The drift is real
"Sep 23, 2020, 9:03:27 PM",How was that bike? I might get one
"Sep 24, 2020, 10:38:42 AM",👌Thanks
"Dec 26, 2020, 3:56:51 PM",Stedvis glatt og litt uggent på toppen med skare
"Dec 30, 2020, 9:44:32 AM",Bra? 
