Follower Athlete ID,Follow Status,Created At
39634357,Accepted,"Apr 1, 2020, 1:07:12 PM"
1670010,Accepted,"Apr 6, 2020, 3:02:08 PM"
57003172,Accepted,"Jun 7, 2020, 7:39:39 AM"
52186091,Accepted,"Jun 10, 2020, 2:48:15 AM"
10153438,Accepted,"Jun 27, 2020, 10:31:19 PM"
35206873,Accepted,"Jun 28, 2020, 4:06:20 PM"
60666229,Accepted,"Jul 3, 2020, 2:28:21 PM"
56405165,Accepted,"Jul 4, 2020, 4:12:50 PM"
54049840,Accepted,"Jul 17, 2020, 1:17:24 AM"
12053794,Accepted,"Jul 19, 2020, 5:23:08 PM"
8639760,Accepted,"Sep 18, 2020, 8:33:06 PM"
