"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"Long Z2 Bike with LT Intervals: 3 X 10 (or 5 miles) min TT... can switch yesterday and today","Bike","Warmup 15 minutes easy. Ride 20 minutes in Aerobic Zone 2, then do 4 X 30 second pickups with 1 minute recovery between each. Ride a few minutes easy, stop and stretch if feeling tight. Bike 3 x 10 minutes HARD building from high Zone 3 to low Zone 4. Ride 5-8 minute recoveries between intervals. Ride any remaining time in low to mid zone 2. Cool down 10 minutes easy.","2.5","","2019-01-01","","0","214","516","1927.92","","2.50068926811218","0","","91","","137","165","","","0.719686671771314","128.93","90","26","15","0","0","","","","","","35","31","15","16","4","0","","","","","6","3"
"Z2 Run, MAF Test","Run","Maximum Aerobic Function (MAF) Test: how fast you run without going anaerobic at all. This test can be done on the track or the treadmill. (Track is preferable). Warmup with 15 minutes easy running. TEST: Run 3 miles continuous in the last few beats of your Aerobic Heart Rate Zone 2. Do not go over zone 2! Cool down with 5-10 minutes of easy running. Record the Total Time for three miles as well as mile splits. If done on the treadmill, get total time and average speed, if possible. Run on a 1% incline for MAF Test if done on the treadmill.","0.833333333333333","","2019-01-02","","9678.83984375","","",""," *01/03/2019 Keith Kruelskie: Hard to keep a constant HR on a treadmill in hot and humid gym...*","0.837644159793854","3.21000003814697","","89","","148","160","","","0.868337827729534","69.65","15","7","27","0","0","","","","","","","","","","","","","","","","6","3"
"Swim, Tempo 600 ladders {3000}","Swim","Warmup 500 freestyle. Swim 2 x 100 done as 50 high elbow drill/50 swim Swim three sets of: 200 HARD, race pace 2 x 100 easy 4 x 50, HARD, race pace [take 10 sec rest in-between each and 1 minute between the three ] Kick 2 x 50 with kickboard. Swim 6 x 50 with buoy (10 sec RI) Cool down 100 easy.","1","2743.19995117188","2019-01-02","","2743.20007324219","","","","","0.735544726583693","1.03572913269097","","23","","","","","","0.793063057503084","36.69","","","","","","","","","","","","","","","","","","","","","",""
"Z2 Ride with 2 x 5 min On/Offs 6/24 sprint/rest","Bike","Warmup: Ride in Zone 1 to 2 for 15 minutes Keep your cadence over 85 rpm Perform 2 x 5 minute On/Off intervals. Start the interval with a 6 second sprint at 95%, recover for 24 seconds with easy spinning, then sprint again for 6 seconds and recover for 24.... Repeat for the interval duration. Use a fairly big gear. Cool down 5 minutes easy","1","","2019-01-03","","0","210","813","758.142","","1.00085389614105","0","","89","","139","178","","","0.788312685260986","61.63","33","4","2","8","0","","","","","","29","7","1","1","1","3","","","","","9","3"
"Run, Tempo Fartlek: 30/60/2min & Form Sprints","Run","Tempo Fartlek (alternating speeds) Run. Warmup 10 minutes easy. Run 4 x 30 seconds at 5K effort with 30 seconds easy jog in-between. Run 2 minutes easy. Run 4 x 60 seconds at 5K effort with 60 seconds easy jog in-between. Run 2 minutes easy. Run 2 x 2 minutes at 5K effort with 2 minutes easy jog in-between. Run 2 minutes easy. Do 4 x ~15 seconds ""Form Sprints"" where you run as fast as you can with perfect form. Do not run long enough where these really tire you. Get up to your max, run some strides at max speed, then slow it down. Run easy 45 seconds in-between. Run any remaining time/mileage in zone 1/2. Cool down 5 minutes easy.","1","","2019-01-03","","12542.16015625","","","","","1.00830698013306","3.45499992370605","","89","","156","177","","","0.939728294485331","98.63","4","22","24","9","0","","","","","","","","","","","","","","","","7",""
"Z2 Aerobic Run before or after the bike","Run","Warmup and cooldown as needed. Endurance run before or after bike session. All zone 2.","0.5","","2019-01-04","","6064.14990234375","","","","","0.50160163640976","3.35800004005432","","90","","148","163","","","0.908504605921672","45.09","2","19","5","0","0","","","","","","","","","","","","","","","","",""
"Supplemental Strength C (2 rounds)","Strength","Do two sets of 15 repetitions of each exercise, using approximately 60 percent of your one-repetition maximum resistance. Concentrate on maintaining good form and on taking a full two seconds on the concentric movement (lifting the weight) and four seconds on the eccentric movement (lowering the weight). Rest 30 to 60 seconds between sets. Squat Lat pulldown Leg extension Bench Press Leg curl (hamstrings) Biceps curl Triceps exercise (choice) Seated row Abdominals (curl-up, reverse & oblique curl, crunch) Side/lateral shoulder raise","0.833333333333333","","2019-01-04","","","","","","","0.833333333333333","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","5"
"Swim, Z2/Z3 ladder 100s-200-50s {3500}","Swim","400 swim/200 choice/200 pull 3 times through: 4 x 100s descending 1-4 200 easy 4 x 50s FAST 200 easy pull Take 15 sec RI between everything 1 minute between sets 100 cooldown","1","3200","2019-01-04","","2743.20007324219","","","","","0.677224722968207","1.12477077680697","","24","","","","","","0.861358615553848","43.28","","","","","","","","","","","","","","","","","","","","","",""
"Long bike with 30 minute Z2 Aerobic Bike MAF Test (to test avg speed and/or power)","Bike","Maximum Aerobic Function (MAF) Test to test aerobic capacity on the bike. After a 30 minute warmup, ride approximately 30 minute course in the top of Zone 2. Pick a course you can do in the future. It needs to be a loop an out and back to control for climate and course. If using power, this can be done on the trainer. Just put it on ergo mode or pick a course that is flat or gently rolling. For the 30 minutes... Record average HR, max HR, average speed, average non-norm power (if you have it), total time and exact distance. Also record details of the course used and any other necessary details. DO NOT GO OVER Z2 or the test is irrelevant. Ride the rest of the ride in Aerobic Zone 2. Cool down 10 minutes easy.","2","","2019-01-05","","0","210","316","760.413"," *01/05/2019 Keith Kruelskie: Very congested this morning when I woke up. Might have a sinus problem*","1.00363421440125","0","","87","","134","150","","","0.672873159066153","45","38","10","0","0","0","","","","","","8","34","3","0","0","0","","","","","5","9"
"Z2 Aerobic Run before or after the bike","Run","Warmup and cooldown as needed. Endurance run before or after bike session. All zone 2.","0.5","","2019-01-05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
