"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"","Bike","","","","2016-12-01","","178.979995727539","155","355","602.67","","1.5837932671441","0.0309999994933605","","82","","127","150","","","0.650024805583029","45.8","61","31","2","0","0","","","","","","55","28","12","1","0","0","","","","","",""
"","Run","","","","2016-12-02","","7596.68017578125","","","","","0.741578301323785","2.84599995613098","","85","","129","149","","","0.801351804506083","52.37","34","10","0","0","0","","","","","","","","","","","","","","","","",""
"","Run","","","","2016-12-03","","8260.419921875","","","","","0.783894721137153","2.92700004577637","","83","","137","187","","","0.808841963680885","56.51","17","19","1","0","0","","","","","","","","","","","","","","","","",""
"","Run","","","","2016-12-03","","498.399993896484","","","","","0.0517625003390842","2.67499995231628","","76","","","","","","0.754998445208871","3.03","","","","","","","","","","","","","","","","","","","","","",""
"","Bike","","","","2016-12-04","","224.899993896484","132","298","473.982","","1.00079196506076","0.061999998986721","","79","","105","135","","","0.552549242178892","30.32","32","1","0","0","0","","","","","","39","17","4","1","0","0","","","","","",""
"","Run","","","","2016-12-05","","8013.64013671875","","","","","0.755047200520833","2.94799995422363","","83","","140","169","","","0.823688273802157","56.35","12","32","1","0","0","","","","","","","","","","","","","","","","",""
"","Bike","","","","2016-12-06","","591.169982910156","192","355","1217.991","","1.76221978081597","0.0930000022053719","","75","","129","149","","","0.783112711543486","107.42","37","62","1","0","0","","","","","","22","35","25","21","2","0","","","","","",""
"","Bike","","","","2016-12-07","","3434.330078125","177","347","1175.787","","2.00035061306424","0.476999998092651","","80","","118","139","","","0.68998541778972","71.53","113","4","0","0","0","","","","","","48","48","22","2","0","0","","","","","",""
"","Run","","","","2016-12-09","","8017.47021484375","","","","","0.66350335015191","3.35700011253357","","86","","","","","","0.920650352410905","61.75","","","","","","","","","","","","","","","","","","","","","",""
"","Run","","","","2016-12-10","","9489.3896484375","","","","","0.91062750922309","2.89499998092651","","83","","145","155","","","0.797105348427051","63.96","4","51","0","0","0","","","","","","","","","","","","","","","","",""
"","Run","","","","2016-12-12","","10862.3701171875","","","","","1.00019890679253","3.01699995994568","","83","","141","175","","","0.830644849028834","76.48","14","40","4","0","0","","","","","","","","","","","","","","","","",""
"","Bike","","","","2016-12-13","","0","176","449","960.938","","1.51950005425347","0","","78","","128","150","","","0.725899979375497","79.62","37","44","1","0","0","","","","","","27","32","21","7","3","1","","","","","",""
"","Bike","","","","2016-12-13","","0","180","309","956.053","","1.47163967556424","0","","70","","122","140","","","0.72331357900828","76.44","67","19","0","0","0","","","","","","22","31","29","6","0","0","","","","","",""
"","Bike","","","","2016-12-13","","0","166","298","255.482","","0.431458062065972","0","","83","","117","129","","","0.645242567777669","17.67","26","0","0","0","0","","","","","","8","15","3","0","0","0","","","","","",""
"","Run","","","","2016-12-14","","14690.7998046875","","","","","1.40924031575521","2.89599990844727","","82","","140","166","","","0.770139468712716","93.42","23","56","5","0","0","","","","","","","","","","","","","","","","",""
"","Bike","","","","2016-12-15","","23463.25","170","465","1221.932","","2.00041137695312","3.25799989700317","","78","","120","148","","","0.697875088744057","97.27","76","29","0","0","0","","","","","","36","49","28","7","0","0","","","","","",""
"","Run","","","","2016-12-16","","8095.4599609375","","","","","0.775045844184028","2.90100002288818","","82","","139","210","","","0.7858183243652","52.74","20","20","2","0","1","","","","","","","","","","","","","","","","",""
"","Bike","","","","2016-12-17","","85528.703125","","","","","3.02699435763889","7.84899997711182","","","","137","162","","","0.67691210593001","157.99","36","122","21","0","0","","","","","","","","","","","","","","","","",""
"","Run","","","","2016-12-21","","10402.919921875","","","","","1.00147169325087","2.88499999046326","","83","","146","158","","","0.800824274556508","71.17","2","53","1","0","0","","","","","","","","","","","","","","","","",""
"","Run","","","","2016-12-22","","4903.56005859375","","","","","0.507950269911024","2.68199992179871","","82","","147","188","","","0.750348500612898","31.14","1","24","5","0","0","","","","","","","","","","","","","","","","",""
"","Run","","","","2016-12-23","","5543.7099609375","","","","","0.56396721733941","2.73099994659424","","83","","139","171","","","0.761921875035546","35.75","12","19","3","0","0","","","","","","","","","","","","","","","","",""
"","Run","","","","2016-12-24","","3356.43994140625","","","","","0.341505839029948","2.73000001907349","","83","","151","172","","","0.780219251437021","22.43","1","12","7","0","0","","","","","","","","","","","","","","","","",""
"","Swim","","","","2016-12-24","","200","","","","","0.0674983331892225","0.821577922558065","","21","","","","","","0.230654560778807","0.08","","","","","","","","","","","","","","","","","","","","","",""
"","Swim","","","","2016-12-24","","150","","","","","0.0504616668489244","0.825391235445601","","25","","","","","","0.231395424000846","0.06","","","","","","","","","","","","","","","","","","","","","",""
"","Run","","","","2016-12-26","","7522.75","","","","","0.750094740125868","2.78600001335144","","83","","144","154","","","0.761668492038229","47.87","4","40","0","0","0","","","","","","","","","","","","","","","","",""
"","Run","","","","2016-12-27","","3561.669921875","","","","","0.369923333062066","2.67400002479553","","81","","139","170","","","0.748292941674254","22.39","14","4","4","0","0","","","","","","","","","","","","","","","","",""
"","Run","","","","2016-12-28","","9608.650390625","","","","","1.00057779947917","2.66799998283386","","82","","140","157","","","0.733169077730914","59.56","14","45","0","0","0","","","","","","","","","","","","","","","","",""
"","Run","","","","2016-12-29","","3206.3701171875","","","","","0.334388054741753","2.66400003433228","","83","","156","180","","","0.740230760638073","19.75","3","4","12","1","0","","","","","","","","","","","","","","","","",""
"","Swim","","","","2016-12-29","","1675","","","","","0.608291667832269","0.764311446647639","","22","","","","","","0.214352248195837","0.6","","","","","","","","","","","","","","","","","","","","","",""
"","Run","","","","2016-12-30","","7743.2001953125","","","","","0.750914442274306","2.86400008201599","","83","","146","169","","","0.790936389395701","51.68","2","39","3","0","0","","","","","","","","","","","","","","","","",""
"","Swim","","","","2016-12-31","","1550","","","","","0.540022223790487","0.796071208826427","","23","","","","","","0.223431892700291","0.6","","","","","","","","","","","","","","","","","","","","","",""
"","Run","","","","2016-12-31","","4487.3798828125","","","","","0.451424730088976","2.76099991798401","","84","","150","189","","","0.761082652303858","28.39","8","8","7","3","1","","","","","","","","","","","","","","","","",""
"","Run","","","","2017-01-04","","9094.6201171875","","","","","0.926532796223958","2.72699999809265","","84","","133","159","","","0.76370691199638","59.76","20","26","3","0","0","","","","","","","","","","","","","","","","",""
"","Bike","","","","2017-01-05","","4620.77001953125","169","435","912.029","","1.50142971462674","0.855000019073486","","72","","125","154","","","0.717772673908047","76.82","44","34","2","0","0","","","","","","34","26","18","10","1","0","","","","","",""
"","Run","","","","2017-01-05","","2043.55004882813","","","","","0.213565555148655","2.65799999237061","","83","","118","123","","","0.735100072905265","12.3","13","0","0","0","0","","","","","","","","","","","","","","","","",""
"","Bike","","","","2017-01-06","","123.629997253418","","","","","1.00952779134115","0.034000001847744","","","","76","90","","","0.51390886983709","29.54","","","","","","","","","","","","","","","","","","","","","",""
"","Run","","","","2017-01-07","","3064.84008789063","","","","","0.326434427897135","2.60800004005432","","81","","120","127","","","0.729871588857551","18.73","19","0","0","0","0","","","","","","","","","","","","","","","","",""
"","Bike","","","","2017-01-07","","369.869995117188","166","423","1790.641","","3.00034803602431","0.034000001847744","","79","","129","155","","","0.651592367830758","126.86","83","78","10","0","0","","","","","","54","97","26","3","0","0","","","","","",""
"","Run","","","","2017-01-10","","3226.09008789063","","","","","0.342494439019097","2.61700010299683","","82","","125","139","","","0.731688238115985","19.78","19","1","0","0","0","","","","","","","","","","","","","","","","",""
"","Bike","","","","2017-01-10","","655.510009765625","173","412","942.272","","1.51357530381944","0.119999997317791","","70","","124","161","","","0.760642513660135","86.97","38","27","15","0","0","","","","","","35","21","15","16","3","0","","","","","",""
"","Run","","","","2017-01-11","","11287.0302734375","","","","","1.08372307671441","2.89299988746643","","83","","144","158","","","0.781955660087442","73.68","10","54","1","0","0","","","","","","","","","","","","","","","","",""
"","Swim","","","","2017-01-12","","600","","","","","0.17464250087738","0.954275871611724","","22","","","","","","0.267440027201503","0.33","","","","","","","","","","","","","","","","","","","","","",""
"","Run","","","","2017-01-12","","2263.86010742188","","","","","0.242439999050564","2.59400010108948","","80","","133","140","","","0.728530251869653","13.76","13","2","0","0","0","","","","","","","","","","","","","","","","",""
"","Bike","","","","2017-01-12","","1093.39001464844","179","442","1127.149","","1.75020005967882","0.17399999499321","","79","","131","159","","","0.737982255295284","94.74","45","30","25","0","0","","","","","","29","35","29","10","2","0","","","","","",""
"","Run","","","","2017-01-14","","5027.5400390625","","","","","0.506404724121094","2.75799989700317","","81","","145","154","","","0.754825643846505","31.46","2","28","0","0","0","","","","","","","","","","","","","","","","",""
"","Bike","","","","2017-01-14","","110081.4375","193","587","2618.86","","3.81017415364583","8.02499961853027","","81","","136","161","","","0.803352851167468","244.07","52","141","31","0","0","","","","","","49","63","63","30","13","10","","","","","",""
"","Run","","","","2017-01-15","","10351.5400390625","","","","","1.1670549858941","2.46399998664856","","81","","148","162","","","0.670152001542325","58.28","3","62","6","0","0","","","","","","","","","","","","","","","","",""
"","Bike","","","","2017-01-15","","24281.3203125","","","","","1.39426133897569","4.83799982070923","","","","148","170","","","0.778003406473515","94.24","5","24","51","1","0","","","","","","","","","","","","","","","","",""
"","Run","","","","2017-01-17","","3096.39990234375","","","","","0.336346672905816","2.55699992179871","","82","","126","139","","","0.715407772706254","18.56","18","1","0","0","0","","","","","","","","","","","","","","","","",""
"","Bike","","","","2017-01-17","","2598.71997070313","155","365","891.593","","1.59853339301215","0.451999992132187","","69","","118","158","","","0.756085688591461","90.86","33","26","7","0","0","","","","","","49","15","8","18","5","0","","","","","",""
"","Run","","","","2017-01-18","","11666.51953125","","","","","1.08473863389757","2.98799991607666","","84","","147","164","","","0.819292763400436","80.89","24","21","20","0","0","","","","","","","","","","","","","","","","",""
"","Run","","","","2017-01-19","","2804.57006835938","","","","","0.382274712456597","2.03800010681152","","68","","107","123","","","0.599871370208912","14.89","18","0","0","0","0","","","","","","","","","","","","","","","","",""
"","Bike","","","","2017-01-19","","12023.740234375","173","372","1091.628","","1.75193332248264","1.90600001811981","","70","","124","158","","","0.756088632204841","99.67","48","36","4","0","0","","","","","","41","19","27","17","2","0","","","","","",""
"","Bike","","","","2017-01-20","","0","","","","","0.750299140082465","0","","","","93","104","","","0.586686975447587","28.4","2","0","0","0","0","","","","","","","","","","","","","","","","",""
"","Run","","","","2017-01-21","","4989.93017578125","","","","","0.500367770724826","2.76999998092651","","82","","139","152","","","0.758151170183351","31.34","9","21","0","0","0","","","","","","","","","","","","","","","","",""
"","Bike","","","","2017-01-21","","127834.921875","193","611","3178.165","","4.58921061197917","7.73799991607666","","80","","132","156","","","0.799627194759556","292.46","88","179","5","0","0","","","","","","57","76","73","44","19","6","","","","","",""
"","Run","","","","2017-01-22","","12828.3896484375","","","","","1.33567966037326","2.66799998283386","","81","","143","162","","","0.724630718541398","78.28","18","59","3","0","0","","","","","","","","","","","","","","","","",""
"","Bike","","","","2017-01-22","","25956.08984375","","","","","1.55476277669271","4.63700008392334","","","","139","207","","","0.719798315709035","90.24","22","39","27","0","2","","","","","","","","","","","","","","","","",""
"","Run","","","","2017-01-25","","221.119995117188","","","","","0.168108605278863","0.365000009536743","","77","","102","111","","","0.121938295541996","0.27","1","0","0","0","0","","","","","","","","","","","","","","","","",""
"","Bike","","","","2017-01-25","","2096.06005859375","","","","","1.13262498643663","0.513999998569489","","","","83","111","","","0.532029414657594","35.62","9","0","0","0","0","","","","","","","","","","","","","","","","",""
"","Run","","","","2017-01-26","","3310.57006835938","","","","","0.330586954752604","2.78200006484985","","85","","131","155","","","0.777653690812136","21.54","13","6","0","0","0","","","","","","","","","","","","","","","","",""
"","Bike","","","","2017-01-26","","177.229995727539","140","450","506.792","","1.00446526421441","0.0489999987185001","","78","","118","154","","","0.661307679292192","43.6","21","16","2","0","0","","","","","","37","7","12","3","0","0","","","","","",""
"","Bike","","","","2017-01-28","","87189.859375","206","597","1643.578","","2.62873318142361","9.21300029754639","","82","","127","161","","","0.857560678653262","162.1","32","83","16","0","0","","","","","","23","37","32","21","10","10","","","","","",""
"","Run","","","","2017-01-29","","11381.2998046875","","","","","1.0459336344401","3.02300000190735","","84","","142","155","","","0.824570999961521","78.88","10","47","0","0","0","","","","","","","","","","","","","","","","",""
"","Run","","","","2017-01-30","","2961.830078125","","","","","0.332919447157118","2.47099995613098","","81","","122","156","","","0.701287251074636","17.64","10","2","0","0","0","","","","","","","","","","","","","","","","",""
"","Run","","","","2017-01-31","","4745.58984375","","","","","0.500370551215278","2.6340000629425","","81","","129","147","","","0.745159318635319","30.24","23","7","0","0","0","","","","","","","","","","","","","","","","",""
"","Bike","","","","2017-01-31","","2745.669921875","158","343","902.176","","1.58479777018229","0.481000006198883","","75","","123","152","","","0.682918644073757","73.67","36","37","2","0","0","","","","","","38","29","24","4","0","0","","","","","",""
"","Run","","","","2017-02-01","","14047.330078125","","","","","1.33419284396701","2.92499995231628","","83","","146","173","","","0.786824910542121","92.2","14","52","14","0","0","","","","","","","","","","","","","","","","",""
"","Bike","","","","2017-02-02","","25727.01953125","","","","","1.34116577148438","5.32800006866455","","","","116","223","","","0.601820661780901","54.2","67","5","1","0","0","","","","","","","","","","","","","","","","",""
"","Run","","","","2017-02-03","","2073.96997070313","","","","","0.390628594292535","1.47500002384186","","50","","","","","","0.64730155588484","17.71","","","","","","","","","","","","","","","","","","","","","",""
"","Bike","","","","2017-02-04","","5964.5400390625","","","","","0.400086941189236","4.14099979400635","","","","119","139","","","0.610445230040869","16.14","19","4","0","0","0","","","","","","","","","","","","","","","","",""
"","Bike","","","","2017-02-04","","62602.578125","","","","","3.42653754340278","5.07499980926514","","","","151","168","","","0.787296989049529","242.63","6","47","151","0","0","","","","","","","","","","","","","","","","",""
"","Bike","","","","2017-02-05","","34.8600006103516","","","","","1.25233561197917","0.00800000037997961","","","","77","94","","","0.52040431539017","37.79","","","","","","","","","","","","","","","","","","","","","",""
"","Run","","","","2017-02-05","","4964.10986328125","","","","","0.64683831108941","2.13199996948242","","73","","108","157","","","0.630861779082836","28.2","15","2","0","0","0","","","","","","","","","","","","","","","","",""
"","Run","","","","2017-02-07","","3834.51000976563","","","","","0.425698886447483","2.50200009346008","","80","","118","181","","","0.713837723256487","23.53","18","1","1","0","0","","","","","","","","","","","","","","","","",""
"","Bike","","","","2017-02-07","","56143.328125","","","","","2.01295166015625","7.7480001449585","","","","122","204","","","0.622952248539542","88.06","78","28","5","0","1","","","","","","","","","","","","","","","","",""
