"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"","Run","","0.833333333333333","","2017-12-01","","6782.990234375","","","","","0.667580295138889","2.82200002670288","","81","","154","174","","","0.779353194731047","44.48","2","8","19","10","0","","","","","","","","","","","","","","","","",""
"","Bike","","","","2017-12-02","","57006.55859375","","","","","2.52452772352431","6.27299976348877","","81","","125","154","","","0.621226202559105","110.53","88","41","21","2","","","","","","","","","","","","","","","","","",""
"","Bike","","","","2017-12-03","","28704.560546875","","","","","1.41064493815104","5.65199995040894","","","","152","169","","","0.806336029474422","102.47","5","3","14","48","","","","","","","","","","","","","","","","","",""
"Lap Swimming","Swim","","","","2017-12-04","","2875","","","","","0.826885004573398","0.96567860670883","","23","","","","","","0.262254366086244","1.49","","","","","","","","","","","","","","","","","","","","","",""
"Treadmill Running","Run","","","","2017-12-05","","3548.97998046875","","","","","0.331528037786484","2.97399997711182","","80","","120","139","","","0.809607459168406","23.41","18","2","0","0","0","0","","","","","","","","","","","","","","","",""
"Treadmill Running","Run","","","","2017-12-06","","7449.240234375","","","","","0.682019710540771","3.03399991989136","","80","","118","139","","","0.825905678490636","51.06","37","4","0","0","0","0","","","","","","","","","","","","","","","",""
"Zwift - BST #2","Bike","","","","2017-12-07","","12947.7099609375","158","2000","504.187","","0.886169976128472","4.05800008773804","","79","","113","163","","","0.719417616024403","43.46","36","4","6","8","","","","","","","30","9","7","8","0","0","","","","","",""
"Running","Run","","","","2017-12-08","","8059.39990234375","","","","","0.759270310401917","2.94899988174438","","78","","150","170","","","0.786459265863036","51.72","2","3","12","21","7","0","","","","","","","","","","","","","","","",""
"Lap Swimming","Swim","","","","2017-12-11","","2950","","","","","0.821715004179213","0.997336941326499","","22","","","","","","0.270788859551475","1.63","","","","","","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2017-12-11","","6984.52001953125","","","","","0.667385876178741","2.90700006484985","","82","","146","162","","","0.772907235143774","43.77","4","8","6","22","0","0","","","","","","","","","","","","","","","",""
"Lap Swimming","Swim","","","","2017-12-12","","2100","","","","","0.632476669947306","0.922107393017979","","20","","","","","","0.250440624822737","0.99","","","","","","","","","","","","","","","","","","","","","",""
"Treadmill Running","Run","","","","2017-12-12","","3320.77001953125","","","","","0.420342236757278","2.19400000572205","","64","","122","137","","","0.661862660761426","19.96","22","3","0","0","0","0","","","","","","","","","","","","","","","",""
"Running","Run","","","","2017-12-14","","387.989990234375","","","","","0.0202605556696653","5.31899976730347","","89","","163","171","","","1.44433770342293","4.25","0","0","0","0","1","0","","","","","","","","","","","","","","","",""
"Running","Run","","","","2017-12-14","","2026.81994628906","","","","","0.179266661405563","3.14100003242493","","82","","143","157","","","0.792133611388925","11.95","2","1","3","5","0","0","","","","","","","","","","","","","","","",""
"Zwift - Mat Hayman Paris Roubaix 1","Bike","","","","2017-12-15","","28114.380859375","179","653","676.174","","1.04668999565972","7.46099996566772","","77","","128","163","","","0.714495704260345","52.37","371","6","12","9","11","1","","","","","376","0","6","23","4","3","","","","","",""
"Running","Run","","","","2017-12-16","","9512.009765625","","","","","0.881784439086914","2.99600005149841","","82","","143","157","","","0.75829346801655","55.98","4","1","39","8","0","0","","","","","","","","","","","","","","","",""
"Lap Swimming","Swim","","","","2017-12-18","","1300","","","","","0.372114168802897","0.969767136531277","","22","","","","","","0.263510023578275","0.68","","","","","","","","","","","","","","","","","","","","","",""
"","Swim","","1","","2017-12-18","","2606.03999603882","","","","","1","0.723899998899672","","","","","","","","0.196567208885885","0.76","","","","","","","","","","","","","","","","","","","","","",""
"Treadmill Running","Run","","","","2017-12-18","","6113.60009765625","","","","","0.55991917848587","3.03299999237061","","80","","119","136","","","0.839102783951046","43.05","28","5","0","0","0","0","","","","","","","","","","","","","","","",""
"Running","Run","","","","2017-12-20","","8632.169921875","","","","","0.834069669246674","2.875","","81","","142","152","","","0.752722953161869","52.16","4","2","39","5","0","0","","","","","","","","","","","","","","","",""
