Following Athlete ID,Follow Status,Created At
39634357,Accepted,"Apr 1, 2020, 1:06:34 PM"
1670010,Accepted,"Apr 6, 2020, 3:03:16 PM"
40091652,Accepted,"May 25, 2020, 1:56:13 PM"
57003172,Accepted,"Jun 1, 2020, 3:25:50 PM"
52186091,Accepted,"Jun 10, 2020, 2:47:48 AM"
10153438,Accepted,"Jun 27, 2020, 7:02:24 PM"
60666229,Accepted,"Jun 27, 2020, 7:02:27 PM"
35206873,Accepted,"Jun 28, 2020, 4:06:13 PM"
8639760,Accepted,"Jul 1, 2020, 2:57:45 AM"
56405165,Accepted,"Jul 1, 2020, 2:57:47 AM"
54049840,Accepted,"Jul 1, 2020, 2:57:50 AM"
14458034,Accepted,"Jul 1, 2020, 2:58:29 AM"
12053794,Accepted,"Jul 19, 2020, 1:24:30 AM"
51651719,Accepted,"Dec 18, 2020, 1:50:03 AM"
